node,degree,degree_rank,betweenness,betweenness_rank,eigenvector,eigenvector_rank,thanks,thanks_rank,papers,papers_rank
A SPERO,1,2736,0,2399,0.0009469667,1744,1,938,,
"A. Sullivan, Michael A.",0,3397,,,,,,,1,298
ABBOTT KELLER,2,1930,0,2399,0.0030688387,1024,1,938,,
ADAM APTER,1,2736,0,2399,0.0012134425,1564,1,938,,
ADAM DUNSBY,4,1218,2.18452544959803E-05,1323,0.0026827662,1095,2,556,,
AJ SENCHACK,2,1930,7.86375991903221E-08,2035,0.0006662463,1963,1,938,,
AL FANSOME,2,1930,1.09437325539865E-07,1975,0.0020077245,1275,1,938,,
AL HERLANDS,2,1930,0,2399,0.0001416798,2539,1,938,,
ALAN FRAGEN,3,1457,5.72888634979083E-07,1769,0.0010693953,1620,1,938,,
ALAN KIMCHE,2,1930,,,,,1,938,,
ALEJANDRO BERUETE,2,1930,1.32810167521433E-08,2310,0.0025095071,1139,1,938,,
"ALESSI, LOUIS DE",1,2736,0,2399,0.000161213,2501,1,938,,
ALEX HUMER,1,2736,0,2399,1.33788309012367E-05,2929,1,938,,
ALEXANDRE AGANINE,1,2736,0,2399,0.0042662059,854,1,938,,
ALFRED BUHLER,3,1457,7.4705719230806E-08,2040,1.23264455767192E-05,2948,1,938,,
ALLEN HUFFMAN,1,2736,0,2399,0.001913555,1298,1,938,,
AMY CHAN,2,1930,4.15031773504478E-09,2391,0.0007760034,1883,1,938,,
ANAND GUPTA,4,1218,9.62123290276093E-07,1662,0.001217381,1553,1,938,,
ANASTASIOS ANASTASOPOULOS,2,1930,0.0001261033,1137,1.58303882721786E-05,2905,1,938,,
ANDREAS RAMSAUER,1,2736,0,2399,0.000157853,2505,1,938,,
ANTHONY MARCIANO,1,2736,0,2399,0.0024430656,1153,1,938,,
ANTOINE KOTZE,3,1457,0.00000305,1513,0.0004650094,2110,1,938,,
ARNOLD JUSTER,4,1218,4.09350055107839E-07,1814,0.0071863553,637,3,390,,
ARTHUR MEZHLUMIAN,2,1930,1.76038811406008E-06,1601,0.0009700328,1720,1,938,,
"Aadland, David M.",2,1930,1.51270145351565E-07,1919,0.0004459145,2130,1,938,,
"Aarstol, Michael P.",1,2736,0,2399,2.70676371797732E-06,3033,1,938,,
"Abarbanell, Jeffery S.",1,2736,0,2399,0.0009846476,1693,1,938,,
"Abhyankar, Abhay H.",1,2736,,,,,,,1,298
"Aboody, David",8,782,0.0006604544,830,0.0034426664,969,,,1,298
"Abowd, John M.",1,2736,0,2399,0.000422462,2149,1,938,,
"Abreu, Dilip",2,1930,1.24509532051343E-08,2314,0.0003501879,2240,1,938,,
"Abrevaya, Jason",1,2736,0,2399,0.0082308624,580,1,938,,
"Acharya, Viral V.",8,782,0.0005039443,912,0.005854148,729,2,556,1,298
"Ackermann, Carl",15,432,0.0018366811,534,0.0117687781,438,1,938,1,298
"Adams, Mike B.",7,856,,,,,,,1,298
"Adler, Michael",1,2736,0,2399,3.83934370075768E-08,3163,1,938,,
"Admati, Anat R.",19,316,0.0020361497,481,0.0138088985,377,4,300,1,298
"Advani, Asheesh",4,1218,9.62123290276093E-07,1662,0.001217381,1553,1,938,,
"Affleck-Graves, John F.",10,677,0.0011457879,693,0.0074712681,617,2,556,1,298
"Agell, Jonas",1,2736,0,2399,3.52982637862852E-06,3021,1,938,,
"Aggarwal, Rajesh K.",26,185,0.002440863,431,0.0132719557,389,2,556,2,112
"Aggarwal, Reena",26,185,0.0080357694,107,0.0267271968,186,,,4,10
"Aghion, Philippe",8,782,2.25373468159695E-05,1320,0.0041449952,875,4,300,,
"Agrawal, Anup",32,112,0.0073799236,121,0.0165194947,310,5,230,1,298
"Agénor, Pierre Richard",11,598,0.0028068724,357,1.596617317743E-05,2902,,,1,298
"Aharony, Joseph",3,1457,7.15607408853938E-07,1708,0.0024348062,1158,1,938,,
"Ahmed, Anwer S.",2,1930,6.64050837607165E-08,2046,0.002444628,1151,1,938,,
"Ahmed, Shaghil",1,2736,0,2399,0.0017307159,1356,1,938,,
"Ahn, Dong Hyun",22,248,0.0046570403,215,0.012220793,418,1,938,2,112
"Aitken, Michael J.",3,1457,,,,,,,1,298
"Aiyagari, S. Rao",1,2736,0,2399,5.11123572534276E-06,2998,1,938,,
"Akerlof, George A.",1,2736,0,2399,0.00002991,2840,1,938,,
"Akhigbe, Aigbe O.",4,1218,,,,,,,3,34
"Al-Jazzaf, Mahdy I.",4,1218,9.62123290276093E-07,1662,0.001217381,1553,1,938,,
"Al-Suhaibani, Mohammad I.",5,1065,5.97645753846448E-07,1766,3.16607765443572E-05,2834,,,1,298
"Alexander, Gordon J.",8,782,0.0004170089,955,0.0042015406,870,2,556,1,298
"Alford, Andrew W.",4,1218,3.71985604269916E-05,1278,0.0035995791,942,2,556,,
"Algert, Peter",3,1457,4.56669228621701E-07,1805,0.0004497794,2125,1,938,,
"Aliber, Robert Z.",1,2736,0,2399,0.000133757,2556,1,938,,
"Alizadeh, Sassan",1,2736,0,2399,1.39042878096564E-05,2922,1,938,,
"Allayannis, George",3,1457,4.61515332136979E-06,1481,0.0011336254,1594,2,556,,
"Allaz, Blaise",3,1457,1.96444442300953E-06,1567,0.000576653,2013,1,938,,
"Allen, Franklin",62,16,0.0148803434,38,0.0630221516,42,21,12,4,10
"Allen, Jeffrey W.",15,432,0.0001671134,1096,0.0183390667,286,4,300,2,112
"Allen, Linda",3,1457,8.62826090876131E-05,1185,7.13070998203113E-05,2676,1,938,,
"Alm, James R.",1,2736,,,,,1,938,,
"Almeida, Alvaro Santos",1,2736,0,2399,3.22584743550899E-05,2828,1,938,,
"Altinkiliç, Oya",11,598,0.0002724427,1032,0.0079670416,599,,,1,298
"Altman, Edward I.",27,174,0.0071024612,127,0.0185174689,283,8,110,3,34
"Altonji, Joseph G.",2,1930,4.13454593964767E-05,1268,0.0003037638,2278,1,938,,
"Altunbaş, Yener",3,1457,,,,,,,1,298
"Altuǧ, Sumru G.",2,1930,0,2399,2.2445515628622E-05,2879,1,938,,
"Alvarez, Fernando E.",2,1930,1.70755929670414E-07,1912,0.0001952518,2429,1,938,,
"Amato, Amedeo",1,2736,,,,,,,1,298
"Amel, Dean F.",3,1457,0,2399,0.0005443732,2048,,,1,298
"Amihud, Yakov",46,38,0.0149145319,37,0.0236854657,211,23,9,1,298
"Amin, Kaushik I.",3,1457,8.72626651657892E-06,1405,0.0030555415,1034,2,556,,
"Amin, Magdi",3,1457,3.50982536296383E-06,1501,0.0007799452,1871,1,938,,
"Ammer, John",1,2736,0,2399,3.83934370075768E-08,3163,1,938,,
"Anand, Bharat N.",2,1930,1.53242500986269E-08,2287,0.0010659124,1639,1,938,,
"Andersen, Torben G.",16,403,0.0006769575,822,0.0063256997,695,5,230,1,298
"Anderson, Christopher W.",25,197,0.0030829405,331,0.0155112174,332,,,2,112
"Anderson, Richard G.",4,1218,0.0006308151,861,3.36768295025091E-05,2824,,,1,298
"Anderson, Robert M.",2,1930,,,,,1,938,,
"Anderson, Ronald C.",7,856,0.0005221126,905,0.0002477384,2329,,,1,298
"Anderson, Ronald W.",11,598,0.0003297111,990,0.006635785,682,5,230,1,298
"Andrade, Gregor",13,503,0.0001927034,1076,0.0210068407,241,1,938,1,298
"Ang, James",4,1218,6.94680157430962E-06,1433,0.0015687753,1421,,,1,298
"Angbazo, Lazarus A.",4,1218,3.80618085327761E-05,1275,0.003887258,906,,,1,298
"Angel, James J.",9,724,0.0007814335,790,0.009251684,534,6,176,1,298
"Angelini, Paolo",26,185,0.0128583877,53,0.0034991785,956,1,938,3,34
"Angeloni, Ignazio",2,1930,,,,,1,938,,
"Anglin, Paul M.",1,2736,0,2399,0.0005339393,2054,1,938,,
"Anshuman, V. Ravi",11,598,0.0008378701,777,0.0019521297,1289,1,938,1,298
"Antle, Rick",2,1930,0.000000021,2221,0.0001613874,2492,1,938,,
"Anton, James J.",2,1930,1.43551915690307E-07,1940,0.0016995313,1367,1,938,,
"Antunovich, Peter",1,2736,0,2399,0.0014389028,1464,1,938,,
"Ané, Thierry",1,2736,0,2399,3.91388380551309E-05,2798,,,1,298
"Aoki, Masahiko",1,2736,0,2399,0.0001524986,2517,1,938,,
"Appleyard, Tony R.",3,1457,,,,,1,938,,
"Aragon, George O.",2,1930,2.06375207459309E-08,2242,0.0013846636,1485,1,938,,
"Aranson, Peter H.",4,1218,6.7422211008931E-07,1734,3.92225126220445E-05,2787,1,938,,
"Armstrong, Jeff S.",1,2736,0,2399,5.43610763663346E-05,2730,1,938,,
"Arnold, Tom",19,316,0.0027923337,360,0.0053463247,754,2,556,1,298
"Arnott, Richard J.",1,2736,0,2399,0.0005339393,2054,1,938,,
"Arshadi, Nasser",2,1930,0.000000021,2217,0.0003905683,2179,1,938,,
"Arya, Anil",2,1930,0.00000001,2381,0.000200704,2417,1,938,,
"Ashman, Thomas D.",1,2736,0,2399,0.0001418482,2534,1,938,,
"Asquith, Daniel",12,553,0.0011391963,696,0.0096587562,514,1,938,1,298
"Atack, Jeremy",2,1930,6.64050837607165E-08,2048,7.58036084051059E-05,2665,1,938,,
"Atanasova, Christina V.",1,2736,0,2399,0.0002254606,2377,1,938,,
"Athanasoulis, Stefano G.",9,724,9.38323446733102E-05,1176,0.0028467812,1061,1,938,1,298
"Athanassopoulos, Antreas D.",3,1457,0.0012620286,650,0.0030281479,1037,,,1,298
"Ausubel, Lawrence M.",2,1930,0.000001815,1593,0.0012395188,1549,1,938,,
"Avellaneda, Marco M.",3,1457,1.54094933492562E-06,1629,5.65061090697348E-05,2700,1,938,,
"Avery, Christopher N.",1,2736,0,2399,0.0028537288,1056,1,938,,
"Avery, Robert B.",15,432,0.0005759888,888,0.0093755727,529,4,300,2,112
"Avkiran, Necmi Kemal",2,1930,,,,,,,1,298
"Avramov, Doron",1,2736,0,2399,0.002281628,1195,1,938,,
"Axelson, Ulf",1,2736,0,2399,0.002192101,1221,1,938,,
"Ayer, John D.",2,1930,1.17185441930676E-08,2332,0.0007480365,1910,1,938,,
"Ayres, Frances L.",1,2736,0,2399,1.30698208707989E-05,2938,1,938,,
"Azariadis, Costas",3,1457,0.0028268966,354,0.0003056956,2277,2,556,,
"Aziz, Andrew R.",6,956,,,,,,,1,298
"Aït-Sahalia, Yacine",27,174,0.00274043,371,0.0103070314,495,6,176,2,112
BEN WAISBREN,3,1457,5.72888634979083E-07,1769,0.0010693953,1620,1,938,,
BENJAMIN SAHEL,1,2736,0,2399,5.50184386011926E-05,2706,1,938,,
BERNARD BECK,1,2736,0,2399,0.0002673868,2312,1,938,,
BERND ZUGENBUHLER,2,1930,1.24509532051343E-08,2314,0.000050222,2750,1,938,,
BETTY STROCK BAGNANI,3,1457,0.000000388,1817,0.0007962337,1848,1,938,,
BHARATHRAM THOTHADRI,2,1930,4.98038128205373E-08,2086,0.0012655429,1532,1,938,,
"BHATTACHARYA, SUDIPTO",19,316,0.0085022561,99,0.0132286261,391,8,110,1,298
"BICKSLER, JAMES L.",3,1457,1.28819477391582E-07,1953,0.000819742,1826,1,938,,
BILL ATKINSON,3,1457,3.98430502564299E-08,2119,0.0018586233,1315,2,556,,
BILL LEWELLEN,3,1457,1.28819477391582E-07,1953,0.000819742,1826,1,938,,
BILL RUDNICK,1,2736,0,2399,0.002732908,1080,1,938,,
BILL WITTE,1,2736,0,2399,2.81336379650695E-06,3028,1,938,,
BLAIR CORKRAN,2,1930,7.96861005128597E-08,2030,0.0002231453,2383,1,938,,
BO HILER,3,1457,3.14749426800607E-06,1511,0.0002789643,2297,1,938,,
BOB VIRGIL,2,1930,0.000000021,2221,0.0001613874,2492,1,938,,
BRETT DREY,4,1218,6.7422211008931E-07,1734,3.92225126220445E-05,2787,1,938,,
BRIAN STUART,2,1930,1.81104773892863E-08,2250,8.03235931997443E-07,3094,1,938,,
"BROOKS, LEROY D.",4,1218,,,,,1,938,,
BRUCE FOERSTER,2,1930,1.75927548302166E-07,1900,0.0052405047,764,1,938,,
BRUNO DUPIRE,3,1457,1.96444442300953E-06,1567,0.000576653,2013,1,938,,
BYRON CHAPMAN,2,1930,6.64050837607164E-07,1747,0.000002357,3056,1,938,,
"Bacidore, Jeffrey M.",10,677,0.0001112656,1158,0.0041354321,876,5,230,,
"Back, Kerry",20,288,0.0028167891,355,0.009258337,533,9,82,2,112
"Backus, David K.",9,724,0.0005162868,908,0.0026922041,1094,4,300,,
"Baer, Herbert L.",5,1065,6.213058133379E-05,1218,0.0020424327,1262,2,556,,
"Baer, Werner",2,1930,2.84593216117356E-08,2149,7.51280595350714E-07,3103,1,938,,
"Bagella, Michele",8,782,0.0007573648,794,0.0002139279,2396,,,1,298
"Bagliano, Fabio Cesare",6,956,0.000636046,842,0.0001510559,2520,1,938,1,298
"Bagnoli, Mark",2,1930,0,2399,0.0014383655,1468,1,938,,
"Bagwell, Kyle W.",2,1930,1.24509532051343E-08,2314,0.0003501879,2240,1,938,,
