node,degree,degree_rank,betweenness,betweenness_rank,eigenvector,eigenvector_rank,thanks,thanks_rank,papers,papers_rank
A SPERO,1,2637,0,2336,0.000589136,1857,1,908,,
ABBOTT KELLER,2,1824,0,2336,0.0023555856,1083,1,908,,
ADAM APTER,1,2637,0,2336,0.001053529,1500,1,908,,
ADAM DUNSBY,4,1199,0.000051688,1235,0.0013489393,1375,2,540,,
AL FANSOME,2,1824,9.06222843213958E-08,1949,0.0030659174,945,1,908,,
AL HERLANDS,2,1824,0,2336,0.0001538323,2399,1,908,,
ALASTAIR CRAIG,2,1824,1.83934291700863E-07,1835,0.0001705861,2359,1,908,,
ALEJANDRO BERUETE,2,1824,5.47211213982534E-08,2021,0.0025511865,1040,1,908,,
"ALESSI, LOUIS DE",1,2637,0,2336,0.0001273223,2431,1,908,,
ALFRED BUHLER,3,1405,7.95505289049498E-08,1968,0.000013098,2832,1,908,,
ALGIS REMEZA,2,1824,1.83934291700863E-07,1835,0.0001705861,2359,1,908,,
ALLEN HUFFMAN,1,2637,0,2336,0.0025947808,1031,1,908,,
ANAND GUPTA,4,1199,2.99426402046746E-06,1488,0.0013773641,1351,1,908,,
ANDREAS RAMSAUER,1,2637,0,2336,0.0001192591,2452,1,908,,
ANDREI TASKIN,4,1199,0.000019831,1318,0.0002802463,2176,1,908,,
ANDREW JOHNSON,1,2637,0,2336,6.7600215207964E-08,3063,1,908,,
ANDY BRUNSON,3,1405,1.591010578099E-07,1863,2.62906053764785E-06,2950,1,908,,
ANDY MORTON,2,1824,2.68121690797196E-06,1507,0.0004312264,1995,1,908,,
ANNE-LOUISE STATT,1,2637,0,2336,8.86202778968657E-05,2515,1,908,,
ANTHONY MARCIANO,1,2637,0,2336,0.0024899218,1049,1,908,,
ANTOINE KOTZE,3,1405,0.000000718,1633,0.0001821695,2343,1,908,,
ARNOLD JUSTER,4,1199,5.62957155090455E-06,1441,0.0052743004,693,3,369,,
ARTHUR MEZHLUMIAN,2,1824,7.99470718715973E-06,1394,0.0010257306,1516,1,908,,
"Aarstol, Michael P.",1,2637,0,2336,1.96677882004083E-06,2963,1,908,,
"Abarbanell, Jeffery S.",1,2637,0,2336,0.0011524674,1451,1,908,,
"Abhyankar, Abhay H.",1,2637,,,,,,,1,310
"Abowd, John M.",1,2637,0,2336,0.0003882269,2060,1,908,,
"Abreu, Dilip",2,1824,1.32584214841583E-08,2250,0.0003071169,2156,1,908,,
"Acharya, Viral V.",1,2637,0,2336,0.0001556787,2396,1,908,,
"Ackermann, Carl",15,401,0.0019155773,506,0.0116816283,397,1,908,1,310
"Ackert, Lucy F.",4,1199,0.000000548,1689,1.52622151716064E-05,2819,1,908,,
"Adams, Renée Birgit",2,1824,0,2336,0.0010505577,1502,1,908,,
"Adler, Barry E.",1,2637,0,2336,0.0037731795,857,1,908,,
"Adler, Michael",3,1405,0.0011700558,689,0.0008746223,1628,2,540,,
"Admati, Anat R.",5,1061,0.0005602713,896,0.0065978009,606,3,369,,
"Advani, Asheesh",4,1199,2.99426402046746E-06,1488,0.0013773641,1351,1,908,,
"Affleck-Graves, John F.",10,655,0.001257833,662,0.0056263082,673,2,540,1,310
"Agell, Jonas",1,2637,0,2336,6.25170881615188E-07,3025,1,908,,
"Aggarwal, Rajesh K.",21,247,0.0014522454,596,0.0076675784,547,2,540,1,310
"Aggarwal, Reena",13,479,0.0046300412,211,0.0093327962,482,,,3,35
"Aghion, Philippe",2,1824,1.23350973759386E-05,1356,0.0005473093,1905,1,908,,
"Agrawal, Anup",34,94,0.0090314051,90,0.0212177714,221,5,210,1,310
"Agénor, Pierre Richard",11,595,0.0029122758,362,1.81074534022711E-05,2808,,,1,310
"Aharony, Joseph",3,1405,7.04748512613129E-07,1646,0.0026387553,1016,1,908,,
"Ahmed, Anwer S.",2,1824,3.23723588116665E-07,1747,0.0015390446,1288,1,908,,
"Ahmed, Shaghil",1,2637,0,2336,0.0013698752,1364,1,908,,
"Ahn, Dong Hyun",22,230,0.0048295973,199,0.0111455742,411,1,908,2,108
"Ahn, Seoungpil",1,2637,0,2336,0.0008628647,1653,1,908,,
"Aitken, Michael J.",3,1405,0,2336,8.07888717536394E-05,2557,,,1,310
"Aiyagari, S. Rao",1,2637,0,2336,1.9638527593824E-06,2969,1,908,,
"Akerlof, George A.",1,2637,0,2336,4.03227683678456E-05,2680,1,908,,
"Akhigbe, Aigbe O.",3,1405,,,,,,,2,108
"Al-Jazzaf, Mahdy I.",4,1199,2.99426402046746E-06,1488,0.0013773641,1351,1,908,,
"Alessie, Rob J.M.",3,1405,0.0002601196,1048,7.10203003838869E-05,2568,1,908,,
"Alexander, Gordon J.",8,760,0.0005119267,908,0.0028922882,970,2,540,1,310
"Alexandre, Hervé",1,2637,0,2336,0.0002567065,2200,1,908,,
"Alford, Andrew W.",5,1061,4.86217652133882E-05,1247,0.0076284239,549,3,369,,
"Algert, Peter",3,1405,3.67868583401726E-07,1732,0.0004408948,1987,1,908,,
"Aliber, Robert Z.",1,2637,0,2336,0.0001207052,2444,1,908,,
"Alizadeh, Sassan",1,2637,0,2336,3.64665537326292E-06,2908,1,908,,
"Allayannis, George",2,1824,3.53557906244222E-08,2082,0.0001333402,2423,1,908,,
"Allaz, Blaise",3,1405,0.00000265,1508,0.0003981019,2037,1,908,,
"Allen, Edward L.",2,1824,0,2336,0.0010505577,1502,1,908,,
"Allen, Franklin",49,34,0.013831433,42,0.0312777715,132,17,16,4,15
"Allen, Jeffrey W.",14,440,0.0001350073,1138,0.0194808162,241,3,369,2,108
"Allen, Linda",5,1061,4.94896047258076E-05,1244,0.0007582179,1728,3,369,,
"Alm, James R.",1,2637,,,,,1,908,,
"Almeida, Alvaro Santos",1,2637,0,2336,2.4049343294126E-05,2784,1,908,,
"Altig, David E.",2,1824,0.000000198,1826,6.70514811882481E-05,2578,1,908,,
"Altman, Edward I.",25,182,0.0052173359,175,0.0222158871,207,8,106,3,35
"Altonji, Joseph G.",2,1824,5.03989252087835E-05,1238,0.0003521191,2101,1,908,,
"Altuǧ, Sumru G.",2,1824,0,2336,3.47715672519139E-05,2729,1,908,,
