node,degree,degree_rank,betweenness,betweenness_rank,eigenvector,eigenvector_rank,thanks,thanks_rank
"(James) Huang Z., Zhijian",2,3318,0.00019592474983969968,1827,1.4953386814274142e-06,4792,,
A BASAK,2,3318,4.001961127871009e-07,3415,0.0021886794919752056,1629,1.0,1618
A GAYTAN,2,3318,4.518716049671914e-09,4287,7.164521271008125e-05,3853,1.0,1618
"A. Sullivan, Michael A.",2,3318,8.956720562649015e-07,3188,0.0004078458751195747,2876,1.0,1618
ABRAHAM THOMAS,3,2454,2.090008456184798e-06,2901,0.0014274043983292255,1970,1.0,1618
ADAM GILESKI,3,2454,0.0,4331,0.0007610006481058899,2442,2.0,958
AHMED NAGI,2,3318,6.401514403701877e-09,4178,3.8795941272717575e-06,4640,1.0,1618
AKIKO MITSUI,3,2454,1.0110896789738237e-05,2571,0.0016879079583911858,1813,1.0,1618
ALAIN BUTERY,1,4573,,,,,1.0,1618
ALAN PETERSEN,2,3318,5.909090218801733e-09,4211,1.3918007460749035e-05,4401,1.0,1618
ALAN RICHERT,2,3318,4.0236162042247074e-08,3839,0.0007268906921178468,2478,1.0,1618
ALFRED PLOTKIN,1,4573,0.0,4331,0.00034786851887677297,2969,1.0,1618
ALFREDO LARREA-FALCONY,3,2454,4.0211666298156784e-07,3405,0.006059348521153435,914,1.0,1618
AM TARANTOLA,3,2454,3.8409086422211266e-08,3862,7.799846271341376e-06,4514,1.0,1618
AMIT ARORA,1,4573,0.0,4331,0.0002793064893473855,3120,1.0,1618
ANDRE WENT,2,3318,5.48701234603018e-09,4237,6.684413354285132e-05,3887,1.0,1618
ANDREA PEDERZOLLI,1,4573,0.0,4331,0.0007585201447832079,2458,1.0,1618
ANDREAS SCHOENENBERGER,2,3318,0.0,4331,6.787168563226452e-05,3880,1.0,1618
ANDREI EVTIMOV,1,4573,0.0,4331,0.00010793920476096103,3563,1.0,1618
ANDREI SARYCHEV,1,4573,0.0,4331,6.858984296832766e-06,4538,1.0,1618
ANDREI ZAVIDONOV,2,3318,8.53535253826917e-09,4108,3.152238747931894e-05,4137,1.0,1618
ANDREW CLASTER,1,4573,0.0,4331,0.001010260433923691,2244,1.0,1618
ANDREW DEXTER,2,3318,1.711307406790392e-06,2960,0.00019125126105561894,3285,1.0,1618
ANDREW GRACIE,2,3318,1.0477788417346808e-06,3133,0.0020931300572652792,1655,1.0,1618
ANDREW MARQUEZ,1,4573,0.0,4331,0.0008246183515392626,2382,1.0,1618
ANDREW WASIBURD,3,2454,2.3996336392479053e-07,3531,0.00012779738203652424,3500,1.0,1618
ANDY MESSIER,2,3318,4.833462251979829e-08,3818,0.00010150699865308022,3614,1.0,1618
ANDY STURM,3,2454,1.3295875196549607e-06,3052,0.00045317580199369584,2822,1.0,1618
ANNA CALAMIA,2,3318,9.995436850678887e-07,3146,0.00030201405885930027,3064,1.0,1618
ANNA LUSARDI,1,4573,0.0,4331,0.0028672041691895672,1416,1.0,1618
ANNA MEYENDORFF,2,3318,6.430230301793979e-08,3775,0.0005981578238119974,2658,1.0,1618
ANNA TRAVIS,3,2454,9.025824061008886e-06,2594,1.3167091243459458e-05,4418,1.0,1618
ANNETTE VIS,2,3318,6.642312268251795e-07,3256,0.0011601735931963935,2147,1.0,1618
ANTHONY MARCIANO,1,4573,0.0,4331,0.0008187909750443167,2388,1.0,1618
ANTHONY NEOH,3,2454,1.957215473879449e-06,2919,0.0011412985070391505,2158,1.0,1618
ANTONIS PAPANTOLEON,3,2454,1.1085040988363765e-07,3682,7.882025465498562e-05,3774,1.0,1618
ANTONY THOMPSON,2,3318,2.560605761480751e-08,3914,4.145704858134834e-05,4029,1.0,1618
AR RADHAKRISHNAN,2,3318,2.5269208340306847e-07,3522,0.000327562085555967,3030,1.0,1618
ASHLEY HUBKA,1,4573,0.0,4331,0.001010260433923691,2244,1.0,1618
"ASQUITH, PAUL",16,659,0.0008784221389760601,1042,0.01431034368318492,432,,
ATINDRA BARUA,2,3318,5.909090218801733e-09,4211,0.0009226038264672126,2310,1.0,1618
AVI WHOL,3,2454,2.2711764589878123e-07,3543,0.0006878959601204953,2540,1.0,1618
