node,degree,degree_rank,betweenness,betweenness_rank,eigenvector,eigenvector_rank,thanks,thanks_rank,papers,papers_rank
A BASAK,2,2836,6.66856320604247E-09,3406,0.0008370337,2271,1,1399,,
"A. Sullivan, Michael A.",2,2836,3.33428160302123E-08,3047,0.0002446701,3162,1,1399,,
ADAM GILESKI,3,2197,0.00000003,3099,7.65263064775897E-05,3632,1,1399,,
ADAM NUNES,3,2197,1.50472954714696E-07,2835,0.0013193346,1985,1,1399,,
AGOSTINO FUSCONI,1,3955,0,3534,0.000023182,3965,1,1399,,
AKIHIRO KANAYA,1,3955,0,3534,0.0003601812,2915,1,1399,,
AKIRA ARIYOSHI,1,3955,0,3534,0.0003601812,2915,1,1399,,
AKIRA IEDA,1,3955,0,3534,0.0003034495,3041,1,1399,,
ALAIN BUTERY,1,3955,,,,,1,1399,,
ALEX URBINA,4,1903,8.27740194336692E-06,2177,0.0001359004,3396,1,1399,,
ALEXANDER CAPPELLO,2,2836,6.03943835643601E-07,2582,0.0003253487,3005,1,1399,,
ALEXANDRE AGANINE,1,3955,0,3534,0.0011364313,2071,1,1399,,
ALFRED PLOTKIN,1,3955,0,3534,0.0014467313,1894,1,1399,,
ALLAN BROWN,1,3955,0,3534,5.2269935318524E-05,3776,1,1399,,
AM TARANTOLA,3,2197,0.00000005,2985,2.06749810440818E-06,4330,1,1399,,
AMAR MOITON,3,2197,,,,,1,1399,,
AMIT ARORA,1,3955,0,3534,0.0010505263,2102,1,1399,,
AMY CHAN,3,2197,3.03799450311325E-08,3091,0.0014679068,1876,1,1399,,
ANDRE STERN,3,2197,9.13422402777881E-07,2505,0.0004693593,2702,1,1399,,
ANDREAS GINTSCHEL,2,2836,0,3534,0.0046746347,1082,3,573,,
ANDREI DRAGANESCU,1,3955,,,,,1,1399,,
ANDREI EVTIMOV,1,3955,0,3534,0.0003518008,2958,1,1399,,
ANDREI KHINCHUK,3,2197,0.000026677,1951,0.0028164742,1442,1,1399,,
ANDREW HAUSER,3,2197,0.00000002,3155,1.89280528675889E-05,4025,1,1399,,
ANDY LUTZ,3,2197,1.5253010852018E-07,2833,0.0028104119,1446,1,1399,,
ANNA MEYENDORFF,2,2836,4.16785200377654E-09,3491,0.0008794453,2224,1,1399,,
ANNA SANZ DE GALDEANO,2,2836,0.00000001,3297,1.94238129791625E-05,4016,1,1399,,
ANNA TRAVIS,3,2197,6.99801883849411E-05,1767,0.000053033,3764,1,1399,,
ANNE VALETTE,1,3955,0,3534,5.2269935318524E-05,3776,1,1399,,
ANTHONY MARCIANO,1,3955,0,3534,0.0015952057,1814,1,1399,,
ANTHONY NEOH,3,2197,9.79103548988441E-07,2487,0.0006099755,2512,1,1399,,
ANU ARRO,4,1903,8.27740194336692E-06,2177,0.0001359004,3396,1,1399,,
AR RADHAKRISHNAN,2,2836,9.68296455577156E-08,2885,0.0005895589,2540,1,1399,,
ARCHISMAN CHAKRABORTY,3,2197,9.10185707742133E-07,2513,0.0001469695,3355,1,1399,,
ARI WEINBERGER,2,2836,1.04924945549619E-07,2866,0.0054721117,985,1,1399,,
ART DENZAU,2,2836,5.2646551626651E-09,3459,0.000322772,3020,1,1399,,
ART GOLDSMITH,1,3955,0,3534,0.0003429444,2981,1,1399,,
"ASQUITH, PAUL",19,480,0.0016990009,624,0.0167444232,364,,,2,129
ATINDRA BARUA,2,2836,6.66856320604247E-09,3406,0.0012359579,2015,1,1399,,
AV SEKHAR,4,1903,8.27740194336692E-06,2177,0.0001359004,3396,1,1399,,
"Aadland, David M.",3,2197,0.00000006,2961,1.04493474742329E-05,4139,1,1399,,
"Abadie, Alberto",1,3955,0,3534,0.0006432678,2464,1,1399,,
"Abadir, Karim Maher",2,2836,3.15879309759906E-08,3085,0.0002776716,3096,1,1399,,
"Abarbanell, Jeffery S.",5,1666,0.000001204,2450,0.0031130264,1373,2,840,,
"Abate, James A.",3,2197,,,,,1,1399,,
"Abel, Andrew B.",7,1345,1.92830070166225E-06,2388,0.0044922452,1122,4,422,,
"Aboody, David",3,2197,5.52723038214598E-06,2255,0.0046982906,1079,1,1399,,
"Abrams, Burton A.",1,3955,0,3534,6.11270836211844E-05,3707,1,1399,,
"Abreu, Dilip",2,2836,2.67107179681537E-07,2707,0.0037978339,1232,1,1399,,
"Acemoglu, Daron",5,1666,6.65649492480301E-06,2220,0.0043985525,1134,2,840,,
"Acerbi, Carlo",3,2197,0.0017877334,608,2.30680412097148E-06,4322,2,840,,
"Acharya, Viral V.",60,38,0.0049716297,184,0.087406085,27,10,94,2,129
"Acito, Franklin",1,3955,0,3534,0.0006872935,2416,1,1399,,
"Ackermann, Carl",1,3955,0,3534,5.57059510853236E-06,4224,1,1399,,
"Ackert, Lucy F.",10,1035,0.0013978795,703,0.0002523849,3142,2,840,1,427
"Adam, Tim R.",6,1499,1.68233985451167E-05,2032,0.0019247659,1710,3,573,,
"Adams, Renée Birgit",21,395,0.0015184569,674,0.0096106242,630,1,1399,1,427
"Adams, Robert M.",7,1345,9.28106666378632E-06,2151,0.0010195804,2127,1,1399,1,427
"Admati, Anat R.",8,1233,2.62621979054194E-05,1957,0.0074821954,775,4,422,,
"Affleck-Graves, John F.",6,1499,3.83613994123005E-05,1883,0.0031255143,1371,3,573,,
"Agarwal, Vikas",30,198,0.0009082266,911,0.0205030258,283,1,1399,1,427
"Agbetsiafa, Douglas K.",2,2836,0.000100043,1701,4.62444292090147E-06,4253,1,1399,,
"Agell, Jonas",3,2197,0.00000005,2985,2.08231678281491E-07,4429,1,1399,,
"Aggarwal, Rajesh K.",36,139,0.0053439243,161,0.0293814543,168,8,151,2,129
"Aggarwal, Reena",22,370,0.0009105394,908,0.0272619042,190,2,840,2,129
"Aghion, Philippe",7,1345,0.0002850729,1412,0.0018704379,1736,4,422,,
"Aglietta, Michel",4,1903,3.3010672400966E-05,1899,9.60649372565593E-05,3545,1,1399,,
"Agrawal, Anup",5,1666,4.18753303103508E-05,1870,0.0008564368,2258,2,840,,
"Agrawal, Deepak",4,1903,3.56465015013906E-07,2683,0.0031097939,1374,1,1399,1,427
"Aguerrevere, Felipe L.",10,1035,0,3534,0.0167779089,362,,,1,427
"Aguiar, Mark",5,1666,0.0001056501,1685,0.0019235318,1711,3,573,,
"Agénor, Pierre Richard",2,2836,8.33570400755308E-09,3338,3.67930783032916E-06,4276,1,1399,,
