node,degree,degree_rank,betweenness,betweenness_rank,eigenvector,eigenvector_rank,thanks,thanks_rank
A BASAK,2,2909,7.410546260884156e-07,2949,0.0027390181226667797,1374,1.0,1438
A GAYTAN,2,2909,1.898591011383094e-07,3250,9.74800947508803e-05,3487,1.0,1438
"A. Sullivan, Michael A.",2,2909,2.3844244082369954e-07,3193,0.00028493565591401,2829,1.0,1438
ADAM GILESKI,3,2197,3.385779660703511e-07,3107,0.0002759974490581788,2861,1.0,1438
AGOSTINO FUSCONI,1,4095,0.0,3886,2.792674671849912e-06,4403,1.0,1438
AKIKO MITSUI,3,2197,8.853947386433089e-06,2341,0.0018713186295463548,1623,1.0,1438
AKIRA IEDA,1,4095,0.0,3886,0.00011830758159327948,3373,1.0,1438
ALAIN BUTERY,1,4095,,,,,1.0,1438
ALAN PETERSEN,2,2909,6.98381946105963e-09,3790,2.5190073679911216e-05,3922,1.0,1438
ALEXANDER CAPPELLO,2,2909,7.239217313082358e-07,2961,0.0005090185294936457,2456,1.0,1438
ALFRED PLOTKIN,1,4095,0.0,3886,0.0004169085022407431,2587,1.0,1438
ALFREDO LARREA-FALCONY,3,2197,1.3791762127749682e-06,2744,0.005129178924642286,940,1.0,1438
ALLAN BROWN,1,4095,0.0,3886,6.3407996786784575e-06,4277,1.0,1438
AM TARANTOLA,3,2197,4.5394826496887594e-08,3452,1.8851469471482321e-06,4447,1.0,1438
AMIT ARORA,1,4095,0.0,3886,0.00023430108021943043,2979,1.0,1438
ANDRE STERN,3,2197,1.6113228629291194e-06,2692,0.0007764394304063713,2179,1.0,1438
ANDREA PEDERZOLLI,1,4095,0.0,3886,0.001000220887795901,2027,1.0,1438
ANDREAS GINTSCHEL,1,4095,0.0,3886,0.00042003111498878387,2582,1.0,1438
ANDREI EVTIMOV,1,4095,0.0,3886,0.00010582251312334865,3445,1.0,1438
ANDREI ZAVIDONOV,2,2909,1.0087739221530575e-08,3687,3.839244522577876e-05,3798,1.0,1438
ANDREW CLASTER,1,4095,0.0,3886,0.0010624715835627627,1978,1.0,1438
ANDREW HAUSER,3,2197,8.727695808627794e-08,3382,5.940538854966752e-05,3654,1.0,1438
ANDREW MARQUEZ,1,4095,0.0,3886,0.0007886177554258543,2173,1.0,1438
ANDREW WASIBURD,3,2197,1.1770317449172192e-06,2813,0.0005662151975101137,2389,1.0,1438
ANDY MESSIER,2,2909,1.92023410921301e-07,3239,0.00015972573364587535,3179,1.0,1438
ANNA LUSARDI,1,4095,0.0,3886,0.0029199769102327207,1333,1.0,1438
ANNA MEYENDORFF,2,2909,1.1235665265577152e-07,3329,0.0009931011251843424,2030,1.0,1438
ANNA SANZ DE GALDEANO,2,2909,1.0087739221530575e-08,3687,2.5687928959431565e-05,3907,1.0,1438
ANNA TRAVIS,3,2197,4.856119590132885e-05,2081,1.678742400444976e-05,4055,1.0,1438
ANNE VALETTE,1,4095,0.0,3886,6.3407996786784575e-06,4277,1.0,1438
ANTHONY MARCIANO,1,4095,0.0,3886,0.0011149832576421372,1922,1.0,1438
ANTHONY NEOH,3,2197,1.4533871848691867e-06,2726,0.0009154486084823056,2076,1.0,1438
ANTONY THOMPSON,2,2909,3.026321766459173e-08,3500,3.551019009599771e-05,3814,1.0,1438
AR RADHAKRISHNAN,2,2909,9.105712706515432e-07,2886,0.0003484345119359911,2682,1.0,1438
ARI WEINBERGER,2,2909,8.156124310004582e-08,3393,0.0047485799719213986,998,1.0,1438
ART DENZAU,2,2909,4.25158944347252e-08,3475,0.00036212799886118225,2667,1.0,1438
ASHLEY HUBKA,1,4095,0.0,3886,0.0010624715835627627,1978,1.0,1438
"ASQUITH, PAUL",16,560,0.0005661241537447197,1259,0.018499523184508777,287,,
ATINDRA BARUA,2,2909,6.463400418812347e-08,3411,0.0011549730389118688,1910,1.0,1438
"Aadland, David M.",3,2197,8.523046646533634e-06,2347,1.7346376001948872e-05,4046,1.0,1438
"Abadir, Karim Maher",2,2909,2.8670416734876373e-08,3536,0.00014358191977267143,3256,1.0,1438
"Abarbanell, Jeffery S.",3,2197,3.7181376509616526e-06,2481,0.00019192080477923082,3070,1.0,1438
"Abate, James A.",3,2197,,,,,1.0,1438
"Abel, Andrew B.",8,1217,8.289621276801717e-06,2353,0.009753098660389932,595,6.0,251
"Abramitzky, Ran",2,2909,7.565804416147932e-09,3752,5.736970242105248e-05,3667,1.0,1438
"Abrams, Burton A.",1,4095,0.0,3886,2.261104155818526e-05,3975,1.0,1438
"Abreu, Dilip",2,2909,0.0,3886,0.0034668526724494476,1204,1.0,1438
"Acemoglu, Daron",2,2909,3.931518125191047e-05,2119,0.00012702964989908053,3344,2.0,870
"Acerbi, Carlo",3,2197,0.0017032441533808872,625,4.5276077685817926e-07,4578,2.0,870
"Acharya, Viral V.",37,116,0.005717655348868075,124,0.058076830698169726,62,13.0,56
"Ackermann, Carl",1,4095,0.0,3886,2.0018006456068468e-06,4434,1.0,1438
"Ackert, Lucy F.",6,1454,0.000907628282386792,1008,0.00014233941944348334,3269,1.0,1438
"Adam, Klaus",9,1080,0.001064903453807757,921,0.00023070460360571964,2989,,
"Adam, Tim R.",18,470,0.0011858727266361286,851,0.006529645460255312,804,3.0,589
"Adams, Mike B.",8,1217,0.0014899943901073415,723,1.755788675474286e-05,4040,,
"Adams, Renée Birgit",17,520,0.0007927839377936647,1097,0.009907204069718288,587,,
"Adams, Robert M.",6,1454,1.0780357004556773e-05,2320,0.0006054885397234612,2357,2.0,870
"Admati, Anat R.",8,1217,7.466351767707537e-05,1990,0.006388105644839728,811,4.0,424
"Adolfson, Malin",3,2197,8.665699969953116e-06,2345,3.829360639244296e-05,3802,1.0,1438
"Aerts, Marc Goov",2,2909,1.1348706624221898e-08,3663,1.677037706198871e-05,4061,1.0,1438
"Affleck-Graves, John F.",2,2909,8.984615984996842e-07,2896,0.0017530290997776472,1669,1.0,1438
"Agarwal, Sumit",19,425,0.0015357537985327503,694,0.001472671483846668,1768,,
"Agarwal, Vikas",31,174,0.001988599731875067,535,0.011323882484392157,513,1.0,1438
"Agbetsiafa, Douglas K.",2,2909,0.00014196475406461195,1844,1.96866922441936e-05,4015,1.0,1438
"Agell, Jonas",3,2197,4.5394826496887594e-08,3452,7.648343132690767e-08,4655,1.0,1438
"Aggarwal, Rajesh K.",20,395,0.0010466201207916049,936,0.031698692161333926,161,10.0,107
"Aggarwal, Reena",10,982,0.00032923014657083703,1531,0.005184896688731104,935,5.0,322
"Aghion, Philippe",5,1631,0.0012036167925011418,843,0.000780167777491481,2177,3.0,589
"Agnew, Julie Richardson",2,2909,1.9352196615914292e-07,3232,0.0010416379440858793,2001,1.0,1438
"Agrawal, Anup",5,1631,3.558986401198426e-05,2140,0.0005597257465404022,2398,2.0,870
"Aguiar, Mark",7,1325,0.0002070319577892824,1737,0.0020647642732509798,1561,4.0,424
"Ahmed, Anwer S.",1,4095,0.0,3886,0.00010117211983681129,3477,1.0,1438
"Ahn, Dong Hyun",2,2909,1.536349582479079e-07,3290,0.0005250323284486251,2432,1.0,1438
"Ahn, Seoungpil",10,982,0.00042958428906193904,1404,0.005524970636341544,896,2.0,870
"Aisen, Ari",2,2909,0.00021299252592339659,1718,3.3058406822079505e-07,4606,,
"Aitken, Michael J.",3,2197,0.0004259396570202963,1422,8.91820442352374e-06,4210,1.0,1438
"Aizenman, Joshua",4,1852,0.0008325601283570185,1079,0.00018761437110703427,3080,2.0,870
"Akdoĝu, Evrim",3,2197,2.8371766560554746e-09,3879,0.010355271175590508,569,1.0,1438
"Alawode, Abayomi A.",3,2197,2.0884384782649677e-05,2215,0.001068447254214913,1972,1.0,1438
"Albanese, Claudio",11,892,0.0010734308204552769,915,0.0007440544996384297,2207,1.0,1438
"Albuquerque, Rui",7,1325,0.00011847014531328039,1892,0.005230904164073076,928,6.0,251
"Alderson, Michael J.",4,1852,6.412062775713679e-05,2025,0.0028895152113333927,1343,1.0,1438
"Alencar, Leonardo S.",2,2909,4.441056342842417e-06,2443,2.0309100591463092e-05,4007,1.0,1438
"Alesina, Alberto F.",2,2909,2.365157928568929e-05,2202,0.0010163168172749228,2022,2.0,870
"Alessie, Rob J.M.",2,2909,1.0087739221530575e-08,3687,8.138495252047764e-06,4214,1.0,1438
"Alexander, Carol O.",9,1080,0.00255512187462055,411,0.00015677928659906066,3210,1.0,1438
"Alexander, Gordon J.",5,1631,8.62521778048239e-05,1958,0.0017014304709142575,1689,2.0,870
"Alford, Andrew W.",5,1631,9.125321878394571e-05,1946,0.0028502062014365195,1348,3.0,589
"Ali, Ashiq",2,2909,5.674353312110949e-09,3838,0.00011114308402209369,3400,1.0,1438
"Allayannis, George",16,560,0.0019572334506364666,548,0.006861915890276428,764,2.0,870
"Allen, Franklin",39,103,0.010363504625824247,41,0.013777198512604496,418,11.0,86
"Allen, Jeffrey W.",1,4095,0.0,3886,0.00021213139860425055,3033,1.0,1438
"Allen, Linda",6,1454,0.00022204785865107956,1691,0.0016180122555139928,1705,2.0,870
"Allen, William A.",3,2197,2.4760814452847778e-08,3550,2.0802841739016933e-05,4000,1.0,1438
"Allen, William T.",4,1852,1.0659549778877684e-05,2323,0.004292059531624659,1069,2.0,870
"Almazan, Andres",25,260,0.0024487934808571274,428,0.012692022479191179,455,10.0,107
"Almeida, Heitor V.",54,43,0.00646758757014278,102,0.09809193078786092,21,3.0,589
"Alphonse, Pascal",2,2909,7.565804416147932e-09,3752,0.00012188213285415623,3358,1.0,1438
"Alston, Lee J.",2,2909,1.7900714206624817e-06,2657,2.3226231869773904e-05,3958,1.0,1438
"Alti, Aydoǧan",21,362,0.0019762940082259164,541,0.023858866183568556,222,2.0,870
"Altig, David E.",1,4095,0.0,3886,0.00013689470510363074,3291,1.0,1438
"Altman, Edward I.",16,560,0.002341661065429827,450,0.010391637183177638,568,5.0,322
