node,degree,degree_rank,betweenness,betweenness_rank,eigenvector,eigenvector_rank,thanks,thanks_rank,papers,papers_rank
"(James) Huang Z., Zhijian",3,2971,,,,,,,1,604
A BEN TAL,2,3992,,,,,1,1766,,
A GAYTAN,2,3992,3.62126701312736E-08,3859,8.29224846517722E-05,4315,1,1766,,
A LANGVARDT,4,2496,2.89931004828885E-07,3442,9.4590857738704E-05,4253,1,1766,,
"A. Sullivan, Michael A.",1,5345,0,4646,1.02464362542006E-05,5122,1,1766,,
ABRAHAM THOMAS,3,2971,4.64840790040258E-06,2833,0.0015385537,2233,1,1766,,
ADAM GILESKI,3,2971,4.80370435466888E-07,3339,0.0001321615,4051,1,1766,,
ADAM LUBIN,3,2971,3.33187978564075E-06,2906,0.0008980268,2736,1,1766,,
AHMED NAGI,2,3992,4.76271855174797E-09,4431,2.49619252527225E-05,4862,1,1766,,
AKIKO FUJIMOTO,4,2496,1.42751117692564E-06,3100,0.0017671328,2070,1,1766,,
AKIKO MITSUI,3,2971,1.27551908547303E-05,2622,0.0016240627,2173,1,1766,,
ALAN PETERSEN,2,3992,4.42252436948026E-09,4459,1.30960984326236E-05,5031,1,1766,,
ALAN RICHERT,2,3992,0,4646,0.0010973439,2565,1,1766,,
ALAN SHAFFRAN,2,3992,1.02714429223641E-07,3687,0.0014981397,2271,1,1766,,
ALBERTO NICCOLI,3,2971,2.65351462168815E-08,3949,2.61907701118084E-08,5662,1,1766,,
ALEXANDRA WEST,3,2971,3.06619932895273E-07,3420,0.00040674,3359,1,1766,,
ALFREDO FERREIRA,1,5345,,,,,1,1766,,
ALFREDO LARREA-FALCONY,3,2971,0,4646,0.0027378165,1649,1,1766,,
ALLEN SEWARD,1,5345,0,4646,1.16846941344182E-06,5527,1,1766,,
ALPO KUPARINEN,2,3992,7.03358275722136E-05,2266,0.0000035,5338,1,1766,,
AMY PETRIELLO,2,3992,,,,,1,1766,,
ANDRE WENT,2,3992,2.38135927587398E-08,3990,0.0001388732,4013,1,1766,,
ANDREA PEDERZOLLI,1,5345,0,4646,0.0017482808,2087,1,1766,,
ANDREAS SCHOENENBERGER,2,3992,1.26078462809927E-07,3632,6.82095681129574E-05,4420,1,1766,,
ANDREI SARYCHEV,1,5345,0,4646,4.0662388912482E-05,4669,1,1766,,
ANDREI ZAVIDONOV,2,3992,6.19153411727236E-09,4370,5.18423375191619E-05,4519,1,1766,,
