node,degree,degree_rank,betweenness,betweenness_rank,eigenvector,eigenvector_rank,thanks,thanks_rank
"(James) Huang Z., Zhijian",2,4140,,,,,,
A BEN TAL,2,4140,,,,,1.0,1984
A LANGVARDT,4,2590,9.383552002813077e-08,4424,0.0002715027735723248,3968,1.0,1984
"A. Sullivan, Michael A.",1,5505,0.0,5186,2.0172489073597e-05,5224,1.0,1984
ABIMANYU YOOPI,2,4140,0.00011643866278113535,2216,7.140917311537054e-06,5461,1.0,1984
ABRAHAM THOMAS,3,3006,3.49739855087707e-06,3274,0.0023019235609847543,2043,1.0,1984
ADAM GILESKI,3,3006,3.617325449924305e-07,3964,0.0002781271178629519,3946,1.0,1984
ADAM LUBIN,3,3006,2.0349242339968107e-06,3419,0.0010828376331608223,2847,1.0,1984
ADOLFO CORRALES,3,3006,1.2353813161098268e-07,4327,0.00017926807945829246,4223,1.0,1984
AGUEDA MADOZ,2,4140,0.00011055830125491206,2262,1.6761573061279146e-05,5288,1.0,1984
AHMAD FUAD RAHMANY,2,4140,0.00011643866278113535,2216,7.140917311537054e-06,5461,1.0,1984
AHMED NAGI,2,4140,4.587481379871827e-09,4969,2.3767847309967592e-05,5155,1.0,1984
AINO LEVONMAA,1,5505,0.0,5186,0.00015831501067869335,4305,1.0,1984
AKIKO FUJIMOTO,4,2590,5.099793181381936e-07,3827,0.003895251220972005,1491,1.0,1984
ALAN RICHERT,2,4140,8.684480354370127e-08,4466,0.0009255493564433621,3001,1.0,1984
ALAN SHAFFRAN,2,4140,7.599658271945375e-07,3695,0.0014742720921679493,2494,1.0,1984
ALBERTO NICCOLI,3,3006,2.3592761382197966e-08,4696,8.70791248882296e-08,5942,1.0,1984
ALEX REYFMAN,3,3006,4.079126041332457e-08,4658,0.0017160064298651905,2341,1.0,1984
ALEXANDRA WEST,3,3006,3.87394683963078e-07,3929,0.0006894234738616968,3243,1.0,1984
ALFREDO FERREIRA,1,5505,,,,,1.0,1984
ALLEN SEWARD,1,5505,,,,,1.0,1984
ALPO KUPARINEN,2,4140,8.290496349704366e-05,2405,1.026871075070976e-06,5804,1.0,1984
AMANDA MCCLAIN,2,4140,4.587481379871827e-09,4969,0.00039420299553862454,3707,1.0,1984
AMR ADDAS,3,3006,1.0691636705136805e-07,4384,0.0017113351141162276,2352,1.0,1984
AMY PETRIELLO,2,4140,1.3762444139615481e-08,4802,1.2809318512659108e-07,5913,1.0,1984
ANASTASIOS PLATANIOTIS,3,3006,3.2382221504977604e-09,5073,0.00010413517885591253,4567,1.0,1984
ANDERSON SILVA,3,3006,8.27374396510439e-06,3100,0.0013746742006150614,2560,1.0,1984
ANDRE KURMAN,2,4140,3.6699851038974618e-09,5031,0.00011469418279274354,4493,1.0,1984
ANDRE WENT,2,4140,2.293740689935914e-08,4713,0.0001508596492288493,4343,1.0,1984
ANDREAS SAVVA,2,4140,2.2937406899359133e-09,5152,0.0005158601098887106,3524,1.0,1984
ANDREAS SCHOENENBERGER,2,4140,8.217578410534192e-07,3650,2.5559212334103608e-05,5131,1.0,1984
ANDREI SARYCHEV,1,5505,0.0,5186,1.1741413134466123e-05,5380,1.0,1984
ANDREW CAFFREY,3,3006,1.493393841902792e-06,3496,0.0010171042185988524,2911,1.0,1984
ANDREW DEXTER,2,4140,1.9941871192781284e-07,4163,0.0011491078835624926,2752,1.0,1984
ANDREW DUBINSKY,1,5505,0.0,5186,0.0003540069892106676,3807,1.0,1984
ANDREW GRACIE,2,4140,0.0,5186,0.00486901138975697,1302,2.0,1206
ANDREW GUSTAR,3,3006,3.3464087426733284e-07,3983,8.38226894499123e-05,4685,1.0,1984
ANDREW HARMSTONE,2,4140,,,,,1.0,1984
ANDRIS NOBL,3,3006,1.4127181697423132e-07,4267,0.0038655963943777043,1503,1.0,1984
ANDY STURM,3,3006,4.3404364880744325e-07,3882,0.0005612843064528112,3459,1.0,1984
ANDY WONG,1,5505,0.0,5186,0.001275121173132765,2656,1.0,1984
ANJO KOETER-KANT,2,4140,1.186809411581138e-07,4338,0.0006517730772842279,3300,1.0,1984
ANN BRADENTON,3,3006,1.9771354752888477e-06,3428,0.0011558068486344768,2749,1.0,1984
ANNA CALAMIA,2,4140,5.455916123181771e-07,3811,0.0003839206668717982,3755,1.0,1984
ANNA LUSARDI,2,4140,0.0,5186,0.0001158868350030396,4479,1.0,1984
ANNA MEYENDORFF,2,4140,9.174962759743655e-08,4436,2.22241855338379e-05,5184,1.0,1984
