node,degree,degree_rank,betweenness,betweenness_rank,eigenvector,eigenvector_rank,thanks,thanks_rank,papers,papers_rank
"(James) Huang Z., Zhijian",3,2665,0.0001912046,1803,4.81855550200478E-06,4753,,,1,544
A BASAK,2,3522,2.2397835313066E-08,3622,0.0022792491,1550,1,1618,,
A GAYTAN,2,3522,4.30355000442362E-09,4120,5.554479151352E-05,4065,1,1618,,
"A. Sullivan, Michael A.",2,3522,2.66037636637096E-08,3579,0.000355071,3072,1,1618,,
ABRAHAM THOMAS,3,2665,1.65778002579574E-06,2762,0.000746756,2464,1,1618,,
ADAM GILESKI,3,2665,0,4217,0.000338068,3091,2,958,,
AHMED NAGI,2,3522,5.62771923655396E-09,3987,0.000003254,4840,1,1618,,
AKIKO MITSUI,3,2665,1.76633382536018E-05,2325,0.0018209633,1755,1,1618,,
ALAIN BUTERY,1,4821,,,,,1,1618,,
ALAN PETERSEN,2,3522,5.22573929108582E-09,4031,8.33978306787899E-06,4666,1,1618,,
ALAN RICHERT,2,3522,3.65801750376008E-09,4166,0.000715763,2518,1,1618,,
ALFRED PLOTKIN,1,4821,0,4217,0.0011233194,2184,1,1618,,
ALFREDO LARREA-FALCONY,3,2665,3.78353771222243E-08,3468,0.0034726781,1212,1,1618,,
AM TARANTOLA,3,2665,3.65801750376008E-08,3489,4.59262220679619E-06,4763,1,1618,,
AMIT ARORA,1,4821,0,4217,0.000561671,2723,1,1618,,
ANDRE WENT,2,3522,4.8773566716801E-09,4075,4.44577520954028E-05,4174,1,1618,,
ANDREA PEDERZOLLI,1,4821,0,4217,0.001651164,1844,1,1618,,
ANDREAS SCHOENENBERGER,2,3522,2.24663241689265E-07,3190,7.52521201674979E-05,3923,1,1618,,
ANDREI EVTIMOV,1,4821,0,4217,0.0002010998,3398,1,1618,,
ANDREI SARYCHEV,1,4821,0,4217,2.2935905124034E-05,4401,1,1618,,
ANDREI ZAVIDONOV,2,3522,7.31603500752015E-09,3899,3.32354877778108E-05,4263,1,1618,,
ANDREW CLASTER,1,4821,0,4217,0.002340154,1516,1,1618,,
ANDREW DEXTER,2,3522,0,4217,0.000179883,3450,1,1618,,
ANDREW GRACIE,2,3522,3.30948993631216E-08,3514,0.0023249045,1524,1,1618,,
ANDREW MARQUEZ,1,4821,0,4217,0.0019072686,1723,1,1618,,
ANDREW WASIBURD,3,2665,1.61247311834577E-06,2774,5.80075699082739E-05,4036,1,1618,,
ANDY MESSIER,2,3522,5.22573929108582E-09,4031,0.0001006682,3764,1,1618,,
ANDY STURM,3,2665,1.32270609852535E-06,2821,0.0003039547,3160,1,1618,,
ANNA CALAMIA,2,3522,5.07852033929428E-07,3014,0.000365437,3043,1,1618,,
ANNA LUSARDI,1,4821,0,4217,0.0065818812,806,1,1618,,
ANNA MEYENDORFF,2,3522,2.92641400300806E-09,4189,0.0005123954,2805,1,1618,,
ANNA TRAVIS,3,2665,1.39417841650973E-06,2802,0.000018736,4495,1,1618,,
ANNETTE VIS,2,3522,0.00000002,3644,0.0010148176,2275,1,1618,,
ANTHONY MARCIANO,1,4821,0,4217,0.0018732868,1740,1,1618,,
ANTHONY NEOH,3,2665,1.6956267652709E-06,2750,0.0007242334,2500,1,1618,,
ANTONIS PAPANTOLEON,3,2665,9.87664726015221E-08,3352,3.32353072272979E-05,4266,1,1618,,
