node,degree,degree_rank,betweenness,betweenness_rank,eigenvector,eigenvector_rank,thanks,thanks_rank,papers,papers_rank
A BASAK,2,3039,1.54913086508536E-08,3400,0.0027612549,1357,1,1438,,
A GAYTAN,2,3039,5.10301932028119E-09,3740,0.0001122763,3517,1,1438,,
"A. Sullivan, Michael A.",2,3039,2.89171094815934E-08,3260,0.0002303339,3122,1,1438,,
ADAM GILESKI,3,2359,2.65481308971398E-07,2887,0.0001202515,3494,1,1438,,
AGOSTINO FUSCONI,1,4299,0,3826,1.29945667083194E-05,4325,1,1438,,
AKIKO MITSUI,3,2359,1.01257270746165E-05,2234,0.0020876159,1598,1,1438,,
AKIRA IEDA,1,4299,0,3826,0.0003081087,2908,1,1438,,
ALAIN BUTERY,1,4299,,,,,1,1438,,
ALAN PETERSEN,2,3039,6.19652346034145E-09,3673,1.30071918590129E-05,4313,1,1438,,
ALEXANDER CAPPELLO,2,3039,1.73502656889561E-08,3364,0.0003259986,2854,1,1438,,
ALFRED PLOTKIN,1,4299,0,3826,0.0013305896,1881,1,1438,,
ALFREDO LARREA-FALCONY,3,2359,0.000000203,2946,0.003061534,1258,1,1438,,
ALLAN BROWN,1,4299,0,3826,2.58246883230179E-05,4111,1,1438,,
AM TARANTOLA,3,2359,4.33756642223902E-08,3207,1.35177393646289E-06,4646,1,1438,,
AMIT ARORA,1,4299,0,3826,0.0005491713,2480,1,1438,,
ANDRE STERN,3,2359,1.12177789230348E-06,2599,0.0004447266,2672,1,1438,,
ANDREA PEDERZOLLI,1,4299,0,3826,0.0024973231,1468,1,1438,,
ANDREAS GINTSCHEL,1,4299,0,3826,0.0010395908,2034,1,1438,,
ANDREI EVTIMOV,1,4299,0,3826,0.0001699409,3308,1,1438,,
ANDREI ZAVIDONOV,2,3039,8.67513284447803E-09,3535,3.89323666754193E-05,3942,1,1438,,
ANDREW CLASTER,1,4299,0,3826,0.0026556432,1397,1,1438,,
ANDREW HAUSER,3,2359,1.03915032137081E-07,3079,0.000024634,4136,1,1438,,
ANDREW MARQUEZ,1,4299,0,3826,0.00219038,1556,1,1438,,
ANDREW WASIBURD,3,2359,0.000000957,2640,0.0002460653,3072,1,1438,,
ANDY MESSIER,2,3039,1.5567847709865E-07,3013,0.0002021679,3228,1,1438,,
ANNA LUSARDI,1,4299,0,3826,0.0068245663,742,1,1438,,
ANNA MEYENDORFF,2,3039,3.61463868519918E-09,3807,0.0007411483,2270,1,1438,,
ANNA SANZ DE GALDEANO,2,3039,8.67513284447803E-09,3535,2.42798722468033E-05,4154,1,1438,,
ANNA TRAVIS,3,2359,4.2564901698405E-05,2000,2.41480535887944E-05,4157,1,1438,,
ANNE VALETTE,1,4299,0,3826,2.58246883230179E-05,4111,1,1438,,
ANTHONY MARCIANO,1,4299,0,3826,0.0023996044,1490,1,1438,,
ANTHONY NEOH,3,2359,1.76239077407471E-06,2506,0.0005340742,2503,1,1438,,
ANTONY THOMPSON,2,3039,2.16878321111951E-08,3333,7.1596703660261E-05,3721,1,1438,,
AR RADHAKRISHNAN,2,3039,3.01219890433265E-08,3253,0.0003177557,2891,1,1438,,
ARI WEINBERGER,2,3039,1.02878177963361E-08,3484,0.0046303775,963,1,1438,,
ART DENZAU,2,3039,4.81951824693224E-09,3766,0.0002509584,3039,1,1438,,
ASHLEY HUBKA,1,4299,0,3826,0.0026556432,1397,1,1438,,
"ASQUITH, PAUL",19,485,0.0006215064,1201,0.0168595427,323,,,2,138
ATINDRA BARUA,2,3039,6.19652346034145E-09,3673,0.0012488088,1931,1,1438,,
"Aadland, David M.",3,2359,6.85335494713765E-07,2698,2.64726806453776E-05,4088,1,1438,,
"Abadir, Karim Maher",2,3039,2.73951563509832E-08,3284,0.000133726,3438,1,1438,,
"Abarbanell, Jeffery S.",3,2359,3.23309050369575E-06,2405,9.54148618612715E-05,3575,1,1438,,
"Abate, James A.",3,2359,,,,,1,1438,,
"Abel, Andrew B.",8,1324,5.54244598397207E-08,3176,0.0122578337,470,6,251,,
"Abramitzky, Ran",2,3039,6.67317911113695E-09,3614,6.1214210791986E-05,3789,1,1438,,
"Abrams, Burton A.",1,4299,0,3826,8.50478176967497E-05,3639,1,1438,,
"Abreu, Dilip",2,3039,2.4277577113465E-07,2901,0.0036852814,1117,1,1438,,
"Acemoglu, Daron",2,3039,0,3826,0.0003960677,2721,2,870,,
"Acerbi, Carlo",3,2359,0.0016649532,666,1.48733361378895E-06,4623,2,870,,
"Acharya, Viral V.",38,121,0.0035532409,279,0.0667109584,47,13,56,1,444
"Ackermann, Carl",1,4299,0,3826,7.53951830150711E-06,4406,1,1438,,
"Ackert, Lucy F.",7,1450,0.0007741441,1107,8.21763310841191E-05,3647,1,1438,1,444
"Adam, Klaus",10,1094,0.0010643889,917,0.0003202832,2883,,,1,444
"Adam, Tim R.",18,532,0.0003002075,1561,0.0062460659,800,3,589,1,444
"Adams, Mike B.",9,1188,0.0014565114,731,2.71613071727418E-05,4078,,,1,444
"Adams, Renée Birgit",19,485,0.0013184075,792,0.0111518991,513,,,1,444
"Adams, Robert M.",8,1324,2.3580091182767E-05,2091,0.0006019848,2406,2,870,1,444
"Admati, Anat R.",8,1324,8.68435387710394E-06,2257,0.0060864372,819,4,424,,
"Adolfson, Malin",3,2359,1.17058176876787E-05,2198,2.10092591301533E-05,4188,1,1438,,
"Aerts, Marc Goov",2,3039,9.63903649386448E-09,3503,1.81031217293895E-05,4236,1,1438,,
"Affleck-Graves, John F.",2,3039,0,3826,0.0014070557,1842,1,1438,,
"Agarwal, Sumit",22,364,0.0018951842,578,0.0011811998,1960,,,2,138
"Agarwal, Vikas",32,181,0.0007468201,1124,0.0109090139,529,1,1438,1,444
