node,degree,degree_rank,betweenness,betweenness_rank,eigenvector,eigenvector_rank,thanks,thanks_rank,papers,papers_rank
ABBOTT KELLER,3,3663,1.08396621841875E-07,4446,0.0012805902,2278,1,2256,,
ABE FRIEDMAN,3,3663,2.00467004563034E-06,3552,0.000044048,5437,1,2256,,
ABEL ELIZALDE,2,5014,7.48620126368983E-08,4585,3.05877407419432E-05,5608,1,2256,,
ABIMANYU YOOPI,2,5014,2.31156443743988E-06,3490,1.83459277311379E-05,5871,1,2256,,
ADAM ZARETSKY,3,3663,6.67927792290187E-07,3857,6.57093585436862E-06,6254,1,2256,,
ADOLF HENGSTSCHLAGER,3,3663,7.70059061322262E-07,3811,0.0005225968,3330,1,2256,,
ADOLFO CORRALES,3,3663,1.15887004415288E-07,4427,0.0001607687,4623,1,2256,,
ADRIAN VAN RIXTEL,3,3663,4.02428091854331E-07,4003,3.18080774306104E-05,5593,1,2256,,
ADRIANNA LOHNES,3,3663,9.93103214396471E-08,4497,6.31597558357246E-05,5199,1,2256,,
AGUEDA MADOZ,2,5014,1.0208456268668E-08,5099,8.01934869889365E-07,6702,1,2256,,
AHARONI GIL,2,5014,8.42602739636085E-09,5157,3.656056057681E-05,5538,1,2256,,
AHMAD FUAD RAHMANY,2,5014,2.31156443743988E-06,3490,1.83459277311379E-05,5871,1,2256,,
AIDYN BIBOLOV,1,6641,0,5693,6.28637034522425E-06,6267,1,2256,,
AINO LEVONMAA,1,6641,0,5693,0.0001849436,4480,1,2256,,
AL KLEMKOVSKI,2,5014,0,5693,0.001738009,1970,1,2256,,
AL LEMON,2,5014,0,5693,0.0006920254,2977,1,2256,,
ALAN DOUGLAS HARRIS,1,6641,0,5693,0.0004499345,3518,1,2256,,
ALEJANDRO DIAZ DE LEON,2,5014,6.84751835867573E-08,4621,6.874348975011E-06,6230,1,2256,,
ALEJANDRO GIL ORTIZ,1,6641,0,5693,0.0004499345,3518,1,2256,,
ALEX HANRAHAN,2,5014,3.14106346728245E-09,5450,0.0001379896,4717,1,2256,,
ALEX REYFMAN,3,3663,0.000000287,4139,0.0002332166,4232,1,2256,,
ALEXANDRE BRUNEL,2,5014,1.22501475224015E-07,4416,0.000036057,5543,1,2256,,
ALFRED MURATA,1,6641,0,5693,0.0009849842,2603,1,2256,,
ALICIA WILLIAMS,3,3663,2.25051796131174E-06,3499,4.81787523651874E-05,5375,1,2256,,
ALLAN MORTENSEN,3,3663,1.63339371051814E-06,3611,0.0016826433,2005,1,2256,,
ALLEN MCDOWELL,2,5014,0,5693,0.0012802084,2289,1,2256,,
ALLISON KEANE,2,5014,0,5693,0.0001533226,4658,1,2256,,
AMANDA CARMIGNANI,1,6641,0,5693,1.21690706421798E-05,6053,1,2256,,
AMANDA MCCLAIN,2,5014,3.10616276209042E-08,4836,0.0001735472,4569,1,2256,,
AMEDEO DE CESARI,3,3663,4.43279071691839E-09,5352,0.0009887982,2595,1,2256,,
AMR ADDAS,3,3663,4.25454684941552E-08,4749,0.000376048,3767,1,2256,,
AMY CHENG,4,3178,0.0004285102,1645,6.71002252450284E-09,6969,1,2256,,
AMY CREW-CUTTS,4,3178,8.46603196325134E-07,3783,0.0002204001,4296,1,2256,,
AMY SLIPOWITZ,2,5014,,,,,1,2256,,
ANASTASIOS PLATANIOTIS,3,3663,1.03939432518503E-07,4477,6.45923711836532E-05,5171,1,2256,,
ANDERSON SILVA,3,3663,6.70294812179184E-06,3240,0.0008268603,2782,1,2256,,
ANDRE KURMAN,2,5014,1.02084562686679E-08,5120,3.69432948475351E-05,5530,1,2256,,
ANDREA REED,2,5014,3.3347623810982E-09,5446,0.0011938331,2367,1,2256,,
ANDREAS SAVVA,2,5014,1.63335300298687E-09,5631,0.0001762489,4534,1,2256,,
ANDREW CAFFREY,3,3663,3.37792703941186E-07,4092,0.0006686753,3024,1,2256,,
ANDREW DUBINSKY,1,6641,0,5693,0.0009729267,2626,1,2256,,
ANDREW FRANKEL,3,3663,0,5693,0.0026715916,1585,1,2256,,
ANDREW GRACIE,3,3663,9.37604051653062E-08,4512,9.27671867521832E-05,4973,1,2256,,
ANDREW HARMSTONE,2,5014,,,,,1,2256,,
ANDREW LEVENTIS,2,5014,3.14106346728245E-09,5450,0.0007566698,2892,1,2256,,
ANDREW TUCH,1,6641,0,5693,0.0004499345,3518,1,2256,,
ANDY STURM,2,5014,1.04148119607483E-06,3727,9.32430627348195E-05,4968,1,2256,,
ANIL KAYSHUP,1,6641,0,5693,0.0009849842,2603,1,2256,,
ANN BRADENTON,3,3663,2.38728605283658E-07,4202,0.0004503009,3515,1,2256,,
ANNA BORDON,2,5014,0,5693,0.0006595035,3040,1,2256,,
ANNA LUSARDI,5,2783,0.000013651,3044,0.000582557,3174,2,1382,,
ANNA RENDINA,2,5014,2.55211406716699E-09,5530,9.47374077586699E-06,6163,1,2256,,
ANNA TRAVIS,3,3663,3.85025311711706E-08,4779,0.0004518474,3507,1,2256,,
ANNE BAGUETTE,2,5014,,,,,1,2256,,
ANTI RIPATTI,4,3178,3.018594086179E-07,4125,1.58832158653773E-05,5933,1,2256,,
ANU GURUNG,3,3663,4.66537754890935E-07,3964,0.0006746966,3016,1,2256,,
AOFIE HANLEY,1,6641,0,5693,1.88111515035531E-05,5856,1,2256,,
APOORVA KOTICHA,3,3663,9.06897679242331E-08,4519,0.0008075544,2808,1,2256,,
APOSTOLOS KOURTIES,2,5014,8.42602739636085E-09,5157,3.656056057681E-05,5538,1,2256,,
ARI JACOBS,2,5014,1.61633890920576E-08,4992,0.0005699634,3196,1,2256,,
ARNAUD DE SERVIGNY,2,5014,0.000000001,5676,0.0005197926,3346,1,2256,,
ART BUSHONVILLE,3,3663,5.4671123031227E-07,3917,0.0005213296,3338,1,2256,,
ARTHUR BERD,2,5014,0,5693,0.000249727,4193,1,2256,,
ARUN NARAYANASAMY,3,3663,2.42280695443053E-07,4194,8.97388949810893E-05,4986,1,2256,,
ARY NAIM,3,3663,5.54134263259056E-07,3909,3.89169319073646E-05,5497,1,2256,,
ASHLEY POLLET,2,5014,3.89777421167322E-09,5379,0.0006228666,3089,1,2256,,
ASHWINI AGARWAL,3,3663,3.62704265583675E-07,4052,0.0015666805,2076,1,2256,,
"ASQUITH, PAUL",6,2487,1.63339371051814E-06,3611,0.0098020477,670,4,760,,
AUGIO KONG,3,3663,1.20564046161003E-07,4421,0.0003968264,3702,1,2256,,
AUGUSTA MARIA ALJOVIN,1,6641,0,5693,0.0004499345,3518,1,2256,,
AVI NACHMANY,3,3663,3.17257626345218E-07,4117,0.000832928,2772,1,2256,,
AXEL SPAMANN,1,6641,0,5693,0.0004499345,3518,1,2256,,
AYESHA AFTAB,2,5014,0,5693,0.001540309,2105,1,2256,,
AZIZ AIMOV,2,5014,0,5693,0.0004644303,3464,1,2256,,
"Aabo, Tom",5,2783,0.0011426245,865,0.001161426,2400,2,1382,,
"Aaken, Anne Van",2,5014,0,5693,0.00011207,4878,1,2256,,
"Aaronson, Daniel",3,3663,2.93352891676557E-08,4859,0.000002633,6443,1,2256,,
"Abad, Pilar",2,5014,0,5693,8.72421866832732E-06,6177,,,1,773
"Abadie, Alberto",4,3178,2.13641874884586E-05,2935,0.000978633,2619,1,2256,,
"Abadir, Karim Maher",3,3663,1.24884588314349E-06,3682,0.0002632956,4104,1,2256,,
"Abarbanell, Jeffery S.",3,3663,3.06553503514496E-08,4842,9.51408463955407E-05,4955,1,2256,,
"Abe, Naohito",4,3178,1.06523021933926E-08,5082,1.07318013409394E-06,6610,1,2256,,
"Abel, Andrew B.",24,776,7.61404477042593E-05,2559,0.0207610046,297,13,160,,
"Abhyankar, Abhay H.",4,3178,,,,,,,1,773
"Abrahamson, Mark",2,5014,0,5693,0.0001184563,4830,,,1,773
"Abreu, Dilip",3,3663,8.40983285421355E-08,4559,0.0004392049,3595,1,2256,,
"Abreu, Margarida",3,3663,0,5693,0.0005445108,3273,,,1,773
"Abrevaya, Jason",4,3178,2.13641874884586E-05,2935,0.000978633,2619,1,2256,,
"Abugri, Benjamin A.",2,5014,2.08252240488728E-06,3521,4.75610530100098E-07,6758,1,2256,,
"Acemoglu, Daron",10,1811,0.0001619023,2208,0.0018868205,1920,2,1382,1,773
"Acerbi, Carlo",4,3178,6.12507376120077E-08,4679,4.86343053618105E-07,6755,1,2256,,
"Acharya, Viral V.",193,1,0.0288394487,3,0.1202480819,9,29,22,8,3
"Ackert, Lucy F.",6,2487,0.0005724833,1401,0.0032372064,1418,3,982,,
"Adam, Tim R.",15,1308,0.0011427754,857,0.0078766889,783,,,1,773
