node,x,y
"A. Sullivan, Michael A.",1899.0,1174.0
"Aboody, David",1901.4,-804.68
"Abreu, Dilip",-794.6,-1620.7
"Acerbi, Carlo",-331.6,1898.3
"Acharya, Viral V.",426.32,440.53
"Ackert, Lucy F.",-629.83,383.25
"Adam, Tim R.",523.0,-339.0
"Adams, Mike B.",-1511.4,238.68
"Admati, Anat R.",-1580.4,-1461.3
"Aggarwal, Rajesh K.",693.02,-879.66
"Aggarwal, Reena",-403.59,-786.06
"Agrawal, Deepak",1382.1,887.63
"Ahmed, Parvez",1851.0,2024.0
"Ahn, Dong Hyun",164.35,-851.08
"Ahn, HeeJoon",656.64,330.33
"Aitken, Michael J.",-1442.7,986.55
"Aizenman, Joshua",1011.4,-1484.7
"Akhigbe, Aigbe O.",1204.1,878.01
"Al-Suhaibani, Mohammad I.",-1158.4,816.68
"Alam, Ila M Semenick",-1097.0,1888.0
"Alexander, Gordon J.",-1561.6,1133.3
"Alexandrou, George",874.33,1598.6
"Alizadeh, Sassan",781.46,-347.12
"Allayannis, George",1444.6,579.61
"Allen, Franklin",979.58,881.05
"Almazan, Andres",1756.0,-1971.0
"Altinkiliç, Oya",-1553.4,34.68
"Altman, Edward I.",182.05,357.58
"Altunbaş, Yener",-987.39,515.12
"Alvarez, Fernando E.",1719.4,1405.3
"Amable, Bruno",847.9,1106.4
"Amato, Amedeo",342.4,-1705.7
"Ambrose, Brent William",-448.4,-1410.3
"Amoako-Adu, Ben",-49.924,-151.73
"Andersen, Leif B.G.",-193.4,-1546.3
"Andersen, Torben G.",927.42,-352.13
"Anderson, Ronald C.",1369.7,154.46
"Anderson, Ronald W.",-1124.3,307.46
"Andreasen, Jesper",-264.6,-1535.7
"Ang, Andrew",62.825,18.928
"Ang, James",1291.1,31.698
"Angelini, Paolo",-1906.0,-1495.0
"Anshuman, V. Ravi",845.57,-661.99
"Ané, Thierry",864.35,34.916
"Arestis, Philip",-1326.7,1122.6
"Atanasova, Christina V.",-159.87,843.11
"Athanasoulis, Stefano G.",-1336.4,-390.32
"Avard, Stephen L.",860.94,-1416.0
"Avramov, Doron",-1884.0,-33.0
"Aziz, Andrew R.",1814.6,-1665.3
"Aït-Sahalia, Yacine",683.96,-353.12
"Bacidore, Jeffrey M.",-876.4,-1546.3
"Back, Kerry",-890.39,1184.5
"Backus, David K.",750.16,1328.0
"Badrinath, Swaminathan G.",-688.03,936.62
"Bagella, Michele",836.73,1524.5
"Bagliano, Fabio Cesare",1523.9,776.96
"Bailey, Warren",-355.24,1265.1
"Baker, Malcolm P.",1360.6,1327.6
"Baks, Klaas P.",-941.94,777.86
"Bakshi, Gurdip S.",794.28,248.98
"Balachandran, Bala V.",1458.3,-356.0
"Balbás, Alejandro",1667.3,1105.6
"Balduzzi, Pierluigi",382.45,604.39
"Balke, Nathan S.",-1611.6,-1059.7
"Ball, Clifford A.",970.95,-715.13
"Balvers, Ronald J.",1259.5,-211.74
"Bandi, Federico M.",-684.0,1004.0
"Bangia, Anil",813.27,-474.83
"Bansal, Ravi",-403.6,249.32
"Baranoff, Etti G.",1209.4,1762.3
"Barber, Brad M.",844.49,616.51
"Barberis, Nicholas C.",1804.4,-1348.7
"Barnhill, Theodore M.",-470.4,1547.7
"Barron, John M.",-423.6,1728.3
"Bartolini, Leonardo",1457.7,1456.5
"Baruch, Lev",1972.6,-815.32
"Basak, Suleyman",-600.36,1208.6
"Battalio, Robert H.",-556.12,125.01
"Bear, Larry Alan",921.4,-1569.7
"Beattie, Vivien A.",1588.7,1592.5
"Becchetti, Leonardo",873.33,1462.6
"Beck, Thorsten",-1091.1,902.4
"Beetsma, Roel M.W.J.",158.6,-1529.3
"Bekaert, Geert",14.16,90.637
"Belay, Halefom",1648.4,-328.68
"Bell, Leonie",1873.4,-90.68
"Beltratti, Andrea E.",397.6,1683.7
"Benartzi, Shlomo",1824.4,1014.3
"Bencivenga, Valerie R.",-724.43,622.22
"Bennedsen, Morten",98.086,902.48
"Bennett, Paul",-1427.1,-243.04
"Benveniste, Lawrence M.",116.47,837.63
"Benzoni, Luca",1004.7,-338.73
"Berentsen, Aleksander",788.0,-1886.0
"Bergen, Mark E.",-1419.7,697.55
"Berger, Allen N.",-335.51,-265.96
"Berger, Tommy",-910.65,-1291.0
"Bergstresser, Daniel",-221.26,-1188.5
"Berk, Jan Marc",1867.4,-175.68
"Berk, Jonathan B.",2047.0,-322.0
"Berkman, Henk",-1479.3,1048.5
"Berkowitz, Jeremy",-1533.4,-441.32
"Berlin, Mitchell",-1054.0,-1084.1
"Bernardo, Antonio E.",1004.0,957.25
"Bertola, Giuseppe",1494.3,1394.6
"Bertsimas, Dimitris J.",-4.0133,-319.19
"Bessembinder, Hendrik",-138.21,394.16
"Bessler, Wolfgang",-44.395,1887.7
"Bettis, J. Carr",-55.109,343.28
"Betton, Sandra",-1097.3,-521.4
"Betts, Caroline M.",60.395,1643.3
"Bharath, Sreedhar T.",224.98,323.67
"Bhattacharya, Utpal",1114.1,375.04
"Bhattacharyya, Sugato",-928.74,-840.42
"Biais, Bruno",1239.6,-831.39
"Bikker, Jacob A.",-1187.4,1734.7
"Billett, Matthew T.",1847.4,-481.68
"Birchler, Urs W.",-1884.0,35.0
"Bischoff, Charles W.",1719.6,-339.32
"Bittlingmayer, George",244.4,-1450.7
"Black, Sandra E.",-898.04,-581.03
"Blair, Bevan J.",1433.9,-1205.8
"Blass, Asher A.",-1683.6,793.32
"Bliss, Richard T.",1181.6,-1699.3
"Bliss, Robert R.",1835.6,-713.32
"Bloomfield, Robert J.",314.23,-417.4
"Blum, Jürg M.",285.0,545.0
"Boatright, John R.",722.0,-1954.0
"Bodnar, Gordon M.",1221.2,-1103.9
"Boehm, Thomas P.",-1093.3,1592.5
"Boehme, Rodney D.",-545.53,-398.42
