node,x,y
"A. Sullivan, Michael A.",-1654.0,681.0
"Abhyankar, Abhay H.",-913.4,1598.7
"Aboody, David",958.6,1768.7
"Acharya, Viral V.",-10.028,11.518
"Ackermann, Carl",1552.9,164.96
"Adams, Mike B.",-1375.4,-271.32
"Admati, Anat R.",-1444.4,-543.32
"Affleck-Graves, John F.",-1382.6,385.32
"Aggarwal, Rajesh K.",1256.6,307.61
"Aggarwal, Reena",-689.53,-199.81
"Agrawal, Anup",-920.6,-1552.7
"Agénor, Pierre Richard",-505.4,-1529.3
"Ahn, Dong Hyun",932.27,248.12
"Aitken, Michael J.",1329.6,-354.99
"Akhigbe, Aigbe O.",-964.87,1218.2
"Al-Suhaibani, Mohammad I.",1457.4,-923.68
"Alexander, Gordon J.",1666.6,-1359.3
"Allen, Franklin",639.7,971.39
"Allen, Jeffrey W.",-1164.3,902.46
"Altinkiliç, Oya",-1451.4,816.68
"Altman, Edward I.",-652.02,-133.29
"Altunbaş, Yener",-1271.4,-694.99
"Amato, Amedeo",-150.6,-1637.7
"Amel, Dean F.",1100.4,-1654.7
"Amihud, Yakov",-968.4,276.16
"Andersen, Torben G.",1702.6,986.68
"Anderson, Christopher W.",143.6,-1427.3
"Anderson, Richard G.",-1520.4,170.68
"Anderson, Ronald C.",-146.27,-901.24
"Anderson, Ronald W.",429.47,-967.73
"Andrade, Gregor",147.6,-1597.3
"Ang, James",477.65,-690.32
"Angbazo, Lazarus A.",-84.983,-204.48
"Angel, James J.",-705.03,-287.91
"Angelini, Paolo",1227.2,528.14
"Anshuman, V. Ravi",-1519.4,1139.7
"Ané, Thierry",1807.4,419.32
"Arnold, Tom",-386.1,-379.88
"Asquith, Daniel",946.36,1121.6
"Athanasoulis, Stefano G.",703.6,-1393.3
"Athanassopoulos, Antreas D.",1661.0,-560.0
"Avery, Robert B.",217.37,-779.74
"Avkiran, Necmi Kemal",-1673.0,766.0
"Aziz, Andrew R.",1695.6,-1104.3
"Aït-Sahalia, Yacine",13.64,843.62
"BHATTACHARYA, SUDIPTO",-571.33,1059.1
"Back, Kerry",1053.2,-745.41
"Bagella, Michele",832.33,-1325.4
"Bagliano, Fabio Cesare",1385.7,28.487
"Bailey, Warren",403.34,-1032.4
