node,x,y
A BASAK,163.18,-41.024
A GAYTAN,-22.213,173.42
"A. Sullivan, Michael A.",115.67,122.73
ADAM GILESKI,110.88,-344.23
AGOSTINO FUSCONI,-394.92,13.276
AKIKO MITSUI,58.249,-219.07
AKIRA IEDA,-242.78,23.264
ALAIN BUTERY,723.73,131.76
ALAN PETERSEN,339.26,-76.469
ALEXANDER CAPPELLO,212.61,-36.755
ALFRED PLOTKIN,205.82,-151.33
ALFREDO LARREA-FALCONY,-53.936,-167.14
ALLAN BROWN,-322.06,-236.15
AM TARANTOLA,-353.05,121.52
AMIT ARORA,-210.23,-149.63
ANDRE STERN,94.567,-265.68
ANDREA PEDERZOLLI,192.33,-154.06
ANDREAS GINTSCHEL,83.542,-331.81
ANDREI EVTIMOV,51.339,-352.21
ANDREI ZAVIDONOV,288.31,55.944
ANDREW CLASTER,-187.36,-142.86
ANDREW HAUSER,-39.228,232.8
ANDREW MARQUEZ,-104.58,-262.01
ANDREW WASIBURD,171.52,-249.2
ANDY MESSIER,-225.38,53.982
ANNA LUSARDI,138.11,52.394
ANNA MEYENDORFF,54.332,108.12
ANNA SANZ DE GALDEANO,-146.97,211.4
ANNA TRAVIS,-269.78,84.833
ANNE VALETTE,-347.63,-180.4
ANTHONY MARCIANO,152.24,-230.0
ANTHONY NEOH,-159.44,-154.99
ANTONY THOMPSON,-295.12,-241.2
AR RADHAKRISHNAN,136.3,108.83
ARI WEINBERGER,146.49,-66.26
ART DENZAU,-110.72,-314.03
ASHLEY HUBKA,-185.89,-146.84
"ASQUITH, PAUL",69.42,-131.0
ATINDRA BARUA,203.91,5.1404
"Aadland, David M.",195.26,170.68
"Abadir, Karim Maher",70.937,193.5
"Abarbanell, Jeffery S.",153.55,-285.77
"Abate, James A.",952.06,823.8
"Abel, Andrew B.",106.49,23.742
"Abramitzky, Ran",223.51,-288.33
"Abrams, Burton A.",-257.11,-269.75
"Abreu, Dilip",-81.111,-145.11
"Acemoglu, Daron",-250.61,-144.96
"Acerbi, Carlo",-197.79,288.82
"Acharya, Viral V.",-16.607,-51.718
"Ackermann, Carl",66.363,-438.42
"Ackert, Lucy F.",37.977,-340.03
"Adam, Klaus",22.357,174.33
"Adam, Tim R.",-56.889,-71.375
"Adams, Mike B.",-32.646,-406.87
"Adams, Renée Birgit",-74.9,-136.19
"Adams, Robert M.",-248.73,22.564
"Admati, Anat R.",55.92,26.652
"Adolfson, Malin",-309.86,29.444
"Aerts, Marc Goov",-347.03,-134.42
"Affleck-Graves, John F.",-41.565,32.6
"Agarwal, Sumit",-187.24,-82.566
"Agarwal, Vikas",55.78,-55.856
"Agbetsiafa, Douglas K.",344.15,-21.328
"Agell, Jonas",126.71,421.68
"Aggarwal, Rajesh K.",14.668,-148.48
"Aggarwal, Reena",-107.99,-158.5
"Aghion, Philippe",144.3,-239.75
"Agnew, Julie Richardson",5.125,80.814
"Agrawal, Anup",-62.134,-310.68
"Aguiar, Mark",144.39,43.798
"Ahmed, Anwer S.",236.04,-250.89
"Ahn, Dong Hyun",234.95,-109.61
"Ahn, Seoungpil",-54.31,-198.12
"Aisen, Ari",149.52,335.51
"Aitken, Michael J.",-291.22,-246.97
"Aizenman, Joshua",-117.23,125.76
"Akdoĝu, Evrim",-2.8626,-0.32817
"Alawode, Abayomi A.",-212.6,-101.79
"Albanese, Claudio",122.2,75.316
"Albuquerque, Rui",98.468,19.731
"Alderson, Michael J.",91.249,-182.04
"Alencar, Leonardo S.",-319.05,-186.26
"Alesina, Alberto F.",29.973,107.54
"Alessie, Rob J.M.",-343.21,101.65
"Alexander, Carol O.",19.063,180.89
"Alexander, Gordon J.",-51.389,26.409
"Alford, Andrew W.",76.2,-224.79
"Ali, Ashiq",-113.93,-367.98
"Allayannis, George",-58.255,-105.78
"Allen, Franklin",-66.711,-60.567
"Allen, Jeffrey W.",-6.5113,-356.24
"Allen, Linda",-131.58,-101.7
"Allen, William A.",-155.51,222.51
"Allen, William T.",88.304,44.157
"Almazan, Andres",-69.778,-121.61
"Almeida, Heitor V.",-19.413,-93.371
"Alphonse, Pascal",87.859,-348.25
"Alston, Lee J.",12.622,223.44
"Alti, Aydoǧan",-20.378,-121.75
"Altig, David E.",-280.98,-66.124
"Altman, Edward I.",-55.079,-57.52
"Alvarez, Fernando E.",132.79,-2.0829
"Amador, Manuel",208.46,-128.51
"Amato, Jeffery D.",-238.69,-191.48
"Ambrose, Brent William",-187.23,-85.031
"Amel, Dean F.",-263.13,-29.978
"Amenc, Noël",223.51,-100.96
"Ameriks, John",-29.808,-278.95
"Amihud, Yakov",-18.084,-101.31
"Amilon, Henrik",330.01,124.64
"Amir, Eli",165.17,-283.04
"Amit, Raphael Raffi",10.207,-142.03
