node,x,y
A BEN TAL,454.61,-793.78
A LANGVARDT,-226.08,-254.88
"A. Sullivan, Michael A.",-254.1,-288.78
ABBOTT KELLER,-42.19,-195.99
ABE FRIEDMAN,-296.28,39.675
ABEL ELIZALDE,230.6,-3.4525
ABIMANYU YOOPI,-92.75,-338.85
ADAM LUBIN,-223.01,91.64
ADAM ZARETSKY,-7.9155,272.98
ADOLFO CORRALES,154.51,119.21
AGUEDA MADOZ,-312.93,114.07
AHMAD FUAD RAHMANY,-0.70497,-334.81
AINO LEVONMAA,145.05,-172.02
AKIKO FUJIMOTO,-219.06,-40.836
AL KLEMKOVSKI,-144.73,122.45
ALAN DOUGLAS HARRIS,-219.57,134.93
ALAN SHAFFRAN,141.01,-65.637
ALBERTO NICCOLI,-202.25,193.6
ALEJANDRO DIAZ DE LEON,216.49,654.24
ALEJANDRO GIL ORTIZ,156.59,-21.224
ALEX REYFMAN,49.279,137.37
ALEXANDRA WEST,-129.94,-240.52
ALEXANDRE BRUNEL,-307.6,16.124
ALFRED MURATA,99.743,-168.58
ALFREDO FERREIRA,-293.6,-841.68
ALICIA WILLIAMS,-165.35,202.9
ALLAN MORTENSEN,48.313,147.68
ALLEN MCDOWELL,-197.49,-154.75
ALLEN SEWARD,104.57,-421.6
ALPO KUPARINEN,-380.4,-252.45
AMANDA CARMIGNANI,287.48,-69.039
AMANDA MCCLAIN,-295.57,-21.251
AMEDEO DE CESARI,60.624,-171.82
AMR ADDAS,-69.516,-245.68
AMY CHENG,-511.71,850.06
AMY PETRIELLO,232.36,-361.56
ANASTASIOS PLATANIOTIS,60.27,206.49
ANDERSON SILVA,64.144,89.525
ANDRE KURMAN,239.39,-64.201
ANDREAS SAVVA,-257.69,79.027
ANDREW CAFFREY,7.9334,-239.57
ANDREW DUBINSKY,-28.598,138.53
ANDREW FRANKEL,-151.92,17.576
ANDREW GRACIE,67.274,-139.32
ANDREW GUSTAR,-311.25,84.379
ANDREW HARMSTONE,677.07,-95.874
ANDREW TUCH,49.61,-248.23
ANDRIS NOBL,-215.81,-17.703
ANDY WONG,83.319,-127.31
ANIL KAYSHUP,114.56,-149.08
ANJO KOETER-KANT,17.676,-233.89
ANN BRADENTON,-242.1,-133.74
ANNA LUSARDI,181.87,37.741
ANNA MEYENDORFF,208.19,-247.12
ANNA RENDINA,223.05,28.058
ANNE BAGUETTE,-280.7,-459.39
ANTI RIPATTI,212.66,106.0
ANTONELLO D AGOSTINO,-80.266,321.97
ANTONIO DIEZ DE LOS RIOS,-303.18,26.237
AOFIE HANLEY,-317.39,-251.16
APOORVA KOTICHA,98.299,-125.51
AREEDAM CHANDA,27.085,200.28
ARI JACOBS,-220.4,-200.9
ARKADEB CHATTERJEE,-151.16,899.99
ART BUSHONVILLE,47.533,-216.21
ARTO THURLIN,-333.17,69.33
ARUN NARAYANASAMY,-269.86,-202.69
ARY NAIM,-84.545,146.4
ASHLEY POLLET,75.941,100.56
"ASQUITH, PAUL",80.269,-19.052
AUGIO KONG,79.896,69.078
AUGUSTA MARIA ALJOVIN,-204.34,147.12
AVI NACHMANY,-138.77,105.42
AXEL SPAMANN,-105.25,-279.11
