node,x,y
"Abhyankar, Abhay H.",-1372.4,1615.7
"Ackermann, Carl",-1201.1,-1280.0
"Affleck-Graves, John F.",-158.38,-910.07
"Aggarwal, Rajesh K.",-543.6,-1433.7
"Aggarwal, Reena",231.89,190.07
"Agrawal, Anup",-1532.6,317.32
"Agénor, Pierre Richard",395.6,1564.7
"Ahn, Dong Hyun",-49.908,-12.258
"Aitken, Michael J.",-1190.7,-1070.0
"Akhigbe, Aigbe O.",1472.7,-753.51
"Alexander, Gordon J.",-1393.4,-611.32
"Allen, Franklin",311.25,-719.17
"Allen, Jeffrey W.",-504.38,1367.9
"Altman, Edward I.",283.91,257.84
"Alziary, Bénédicte",298.94,1355.0
"Ambrose, Brent William",-1124.3,-1144.5
"Amel, Dean F.",-1024.6,-1620.7
"Amihud, Yakov",1104.7,-21.881
"Amin, Kaushik I.",1065.7,1208.5
"Andersen, Torben G.",748.4,1575.3
"Anderson, Christopher W.",970.94,-130.03
"Anderson, Richard G.",1080.6,-1631.3
"Andrabi, Tahir",778.0,-1070.0
"Andrade, Gregor",-1510.6,-1331.7
"Angbazo, Lazarus A.",329.04,286.98
"Angel, James J.",253.37,103.08
"Angelini, Paolo",-1148.7,1445.6
"Anshuman, V. Ravi",37.743,1140.5
"Arnold, Tom",-409.06,-335.89
"Asquith, Daniel",92.202,-951.26
"Athanassopoulos, Antreas D.",-1399.0,-1495.0
"Atkins, Allen B.",53.605,1700.7
"Avery, Robert B.",175.67,937.42
"Avkiran, Necmi Kemal",1829.0,-169.0
"Aït-Sahalia, Yacine",1763.4,-685.68
"BHATTACHARYA, SUDIPTO",-102.33,-708.93
"Bacidore, Jeffrey M.",1870.0,-33.0
"Back, Kerry",-1034.5,486.76
"Badrinath, Swaminathan G.",109.4,-1348.7
"Bakshi, Gurdip S.",193.3,-55.737
"Balbás, Alejandro",1820.6,34.68
"Balduzzi, Pierluigi",838.01,177.37
"Bali, Rakesh",-1610.6,1269.3
"Ball, Clifford A.",524.25,1368.0
"Ball, Laurence M.",1363.3,1258.6
"Baltensperger, Ernst",1677.6,527.68
"Bamber, Linda Smith",1635.4,-396.68
"Bansal, Ravi",1926.0,1888.0
"Barber, Brad M.",1514.7,-1280.5
"Barberis, Nicholas C.",-521.26,80.241
"Barclay, Michael J.",-108.27,601.1
"Bardos, Mireille",1906.0,-1818.0
"Basak, Suleyman",-873.4,1649.7
"Bates, David S.",-1548.6,725.32
"Battalio, Robert H.",-516.66,-947.45
"Baytas, Ahmet",-1550.4,-1410.3
"Beard, T. Randolph",-1155.1,232.96
"Beatty, Randolph P.",-1198.1,1236.0
"Becker, Connie",976.99,-432.1
"Beetsma, Roel M.W.J.",780.6,-832.32
"Bekaert, Geert",763.63,-345.02
"Benartzi, Shlomo",-691.89,957.15
"Bental, Benjamin",-1078.4,-1699.3
"Benveniste, Lawrence M.",867.73,-1212.5
"Berg, Sigbjørn Atle",-1488.4,-883.32
"Bergemann, Dirk",1806.4,1218.3
"Bergen, Mark E.",-455.75,1122.1
"Berger, Allen N.",417.26,387.38
"Berger, Philip G.",699.65,29.091
"Berk, Jonathan B.",-134.98,936.09
"Berkman, Henk",1728.6,-101.32
"Berkovitch, Elazar",-1503.4,-101.32
"Berlin, Mitchell",483.43,534.02
"Bernanke, Ben S.",-1377.4,578.68
"Bernardo, Antonio E.",1566.4,-5.6804
"Bernhardt, Dan",1810.6,-1019.3
"Bertola, Giuseppe",899.98,202.47
"Bessembinder, Hendrik",1488.4,-1144.7
"Bethel, Jennifer E.",419.87,-305.11
"Bhargava, Rahul",-473.97,-741.86
"Bhattacharya, Utpal",1866.0,-1121.0
"Bhattacharyya, Sugato",-1098.4,-49.39
"Biais, Bruno",-971.36,-1001.4
"Billett, Matthew T.",-315.67,-1291.4
"Bittlingmayer, George",-1643.0,1752.0
"Bizer, David S.",1697.4,-770.68
"Black, Bernard S.",516.4,-1586.7
"Bloomfield, Robert J.",-623.68,-587.57
"Blum, Jürg M.",-582.0,1021.0
"Blume, Marshall E.",-834.62,-470.84
"Bohn, Henning",-700.0,-1818.0
"Bollerslev, Tim",819.6,1564.7
"Bolton, Patrick",1441.4,470.32
"Boot, Arnoud W. A.",-153.59,-760.11
"Booth, Geoffrey Geoffrey",1482.3,1394.6
"Borokhovich, Kenneth A.",-80.819,357.9
"Bose, Niloy",-269.6,1728.3
"Bossaerts, Peter",1750.4,-1688.7
"Bostic, Raphael W.",149.37,988.26
"Boubakri, Narjess",-1428.4,850.68
"Boudoukh, Jacob",-115.15,4.0746
"Boudreaux, Donald J.",1599.6,714.68
"Boyd, John H.",-722.06,17.875
"Boyle, Phelim P.",1227.4,1711.3
"Brandt, Michael W.",-1668.0,-441.0
"Braun, R. Anton",-457.6,1643.3
"Brav, Alon",207.74,545.46
"Brealey, Richard A.",287.6,1683.7
"Breeden, Douglas T.",1665.4,-311.68
"Brennan, Michael J.",736.94,699.66
"Brickley, James A.",-642.06,1491.0
"Britten-Jones, Mark",-1431.0,-1733.0
"Broadie, Mark N.",-980.27,1439.5
"Brockman, Paul D.",1456.4,-1586.7
"Brook, Yaron",1147.3,-1342.4
"Brooks, Robert D.",-345.67,1496.6
"Brown, Craig R.",-113.39,-1103.0
"Brown, David P.",-694.6,1660.3
"Brown, Stephen J.C.",-986.71,-338.99
"Bruce, Neil",1776.6,1377.7
"Brunarski, Kelly R.",-145.22,366.56
"Bruner, Robert F.",1875.0,-1546.0
"Buffie, Edward F.",-1574.0,1820.0
"Bunsis, Howard",-1233.7,1173.6
"Burdekin, Richard C.K.",-227.6,-1552.7
"Busse, Jeffrey A.",-183.0,-543.0
"Buttimer, Richard J.",-1052.1,-1144.0
"Bättig, Robert J.",-797.74,434.58
"Bøhren, Øyvind",-1023.8,1264.4
"Bühler, Wolfgang J.",1341.3,970.0
"Cadsby, C. Bram",6.4885,-443.7
"Cai, Jun",1553.7,1592.5
"Cakici, Nusret",-1621.6,-1399.7
"Calem, Paul S.",91.651,956.58
"Calomiris, Charles W.",-1643.0,239.0
"Campbell, Cynthia J.",-927.62,-678.79
"Canina, Linda",-564.6,920.57
"Canner, Glenn B.",126.7,902.06
"Cantor, Richard",1830.6,170.68
"Canzoneri, Matthew B.",-1153.1,1372.0
"Cao, Charles Q.",262.58,-91.453
"Cao, H. Henry",819.62,678.97
"Caplin, Andrew S.",-1299.3,368.49
"Capone, Charles A.",-1087.7,-1206.4
"Carcano, Nicola",922.85,320.22
"Carey, Mark",-1338.3,-396.51
"Carhart, Mark M.",-1166.0,1820.0
"Carleton, Willard T.",5.4205,537.45
"Carow, Kenneth A.",547.7,-743.82
"Carpenter, Jennifer N.",906.63,35.34
"Carpenter, Robert E.",-403.89,1004.5
"Carr, Peter P.",92.734,1541.5
"Carter, David A.",-172.56,-469.22
"Carter, Richard B.",1299.7,-1212.5
"Casamatta, Catherine",-947.26,-1069.5
"Cather, David A.",-1089.4,1581.7
"Caudill, Steven B.",-1190.7,170.55
"Cavalcanti, Ricardo de O.",691.6,-1512.3
"Cavalluzzo, Ken S.",140.6,1615.7
"Cavalluzzo, Linda C.",69.395,1626.3
"Chalmers, John M.R.",784.4,1055.4
"Chamberlain, Sandra L.",1404.7,-311.51
"Champ, Bruce",-752.55,231.58
"Chan, Kam C.",1590.3,1530.6
"Chan, Louis Kuo Chi",-501.08,-135.1
"Chan, Suhan",1291.6,-779.99
"Chang, Carolyn W.",-293.27,1422.5
"Chang, Chun",-791.82,32.294
"Chang, Eric C.",1139.4,-274.29
"Chang, Fwuranq",-1732.0,-84.0
"Chang, Jack Sk",-256.67,1360.6
"Chang, Saeyoung",821.0,1837.0
"Chaplinsky, Susan",1334.7,-73.513
"Chapman, David A.",-241.51,553.94
"Chappell, David",1863.6,-1478.3
"Charoenwong, Charlie",1007.7,-934.16
"Chay, Jong Bom",1284.0,-439.38
"Chemmanur, Thomas J.",-194.03,-629.46
"Chen, Andrew H.Y.",-1362.6,-1195.7
"Chen, Carl R.",-1384.3,-260.51
"Chen, Zhiwu",191.18,-121.64
"Cheng, Joseph W.",1203.5,-206.31
"Cheng, Minder",-81.263,-169.48
"Chevalier, Judith A.",1765.4,-243.68
"Chia, Ngee Choon",-1481.4,-1257.3
"Chiang, Raymond C.",739.1,406.05
"Cho, Myeonghyeon",-225.0,1803.0
"Choe, Hyuk",346.24,-92.344
"Choi, Jongmoo Jay",1465.9,640.96
"Choi, Woon Gyu",1704.0,1837.0
"Chordia, Tarun",673.43,733.4
"Christensen, Bent Jesper",-1078.4,-832.32
"Christie, William Gary",-58.294,636.24
"Christopherson, Jon A.",948.31,-310.42
"Chu, Kamhon",-1775.0,1616.0
"Chung, Dennis",1527.6,-1597.3
"Chung, Kee H.",1000.3,-860.13
"Chunhachinda, Pornchai",-606.01,1189.4
"Claessens, Stijn",-1786.0,-1155.0
"Clare, Andrew D.",-759.95,-877.34
