node,positions
DAVID STOLIN,"(3852.8, 2988.2)"
DAVID T BROWN,"(4682.5, 1984.6)"
DAVID T ROBINSON,"(1818.7, 2300.8)"
DAVID VINES,"(5027.6, 4734.6)"
DAVID WEINBAUM,"(3387.9, 3352.2)"
DAYONG HUANG,"(4423.2, 428.64)"
DEAN FOSTER,"(1654.5, 2112.7)"
DELROY M HUNTER,"(3360.5, 2059.6)"
DENIS KESSLER,"(117.34, 4578.0)"
DENIS TALAY,"(2534.3, 1252.3)"
DENISE R OSBORN,"(4599.8, 5138.0)"
DENNIS GLENNON,"(3847.9, 3566.5)"
DENNIS J LASSER,"(2587.9, 4658.0)"
DENNIS J SNOWER,"(5489.0, 4608.6)"
DENNIS OSWALD,"(5523.2, 4148.6)"
DENNIS P QUINN,"(4601.2, 168.64)"
DEV VENCAPPA,"(4903.2, 5084.6)"
DEVIN SHANTHIKUMAR,"(1443.6, 1630.6)"
DEVRAJ BASU,"(5017.3, 3158.0)"
DEVRIM YAMAN,"(3544.5, 4698.2)"
DHAMMIKA DHARMAPALA,"(2408.9, 3213.4)"
DIANE DELGUERCIO,"(928.09, 5098.0)"
DIANE K DENIS,"(3190.7, 2358.0)"
DIANNE M RODEN,"(3493.5, 3155.5)"
DIEGO GARCIA,"(434.09, 4659.9)"
DIEGO ROMERO-AVILA,"(5608.5, 2838.0)"
DIETER GERDESMEIER,"(4919.6, 1818.0)"
DIETER NAUTZ,"(738.0, 1400.4)"
DIMITRI VAYANOS,"(4473.1, 906.21)"
DIMITRIS K CHRISTOPOULOS,"(3153.2, 3448.6)"
DIMITRIS MARGARITIS,"(3351.7, 1423.0)"
DIMITRIS PSYCHOYIOS,"(4487.9, 1346.5)"
DIONIGI GERACE,"(419.64, 3038.0)"
DIRK BROUNEN,"(1797.9, 3024.0)"
DIRK HACKBARTH,"(2121.4, 3491.5)"
DIRK JENTER,"(4779.0, 2843.6)"
DMITRIY LEVCHENKOV,"(3711.1, 2324.9)"
DMYTRO HOLOD,"(4077.5, 138.0)"
DOMENICO CUOCO,"(1952.5, 3875.7)"
DOMENICO J MARCHETTI,"(1103.5, 558.0)"
DOMINIC GASBARRO,"(4935.5, 3387.4)"
DONAL G MCKILLOP,"(3838.1, 1158.0)"
DONALD LIEN,"(2698.0, 538.0)"
DONALD P MORGAN,"(5515.6, 3358.0)"
DONALD R FRASER,"(3591.1, 2665.7)"
DONG HEON KIM,"(4563.2, 5199.9)"
DONG HONG,"(2655.2, 2176.2)"
DONGGYU SUL,"(594.09, 1979.9)"
DONGHANG ZHANG,"(3691.6, 2226.8)"
DONGHUI LI,"(1785.3, 3470.1)"
DORIS NEUBERGER,"(2352.3, 999.93)"
DORON AVRAMOV,"(2682.0, 2814.6)"
DORON KLIGER,"(3176.7, 368.64)"
DORON NISSIM,"(1174.7, 5488.6)"
DOSOUNG CHOI,"(1206.7, 1708.4)"
DOUGLAS A SHACKELFORD,"(1219.5, 2427.4)"
DOUGLAS D EVANOFF,"(5464.6, 5028.6)"
DOUGLAS H JONES,"(4694.0, 739.93)"
DOUGLAS J CUMMING,"(5345.3, 2468.6)"
DOUGLAS J SKINNER,"(198.79, 2598.0)"
DOUGLAS W DWYER,"(538.79, 1488.6)"
DOULAS O COOK,"(2346.3, 1495.7)"
DREW B WINTERS,"(2320.8, 4364.2)"
DUANE STOCK,"(572.79, 4459.9)"
DUSAN STOJANOVIC,"(5132.1, 1578.0)"
DYLAN C THOMAS,"(2309.7, 4843.5)"
E HAN KIM,"(897.84, 5488.6)"
ED VOS,"(922.88, 3018.0)"
EDITH GINGLINGER,"(1576.4, 418.0)"
EDITH S HOTCHKISS,"(1756.2, 4939.9)"
EDMUND CANNON,"(949.69, 228.64)"
EDUARDO LEVY YEYATI,"(1530.0, 4404.8)"
EDUARDO S SCHWARTZ,"(2620.4, 2986.2)"
EDWARD J KANE,"(3580.6, 3313.7)"
EDWARD KUTSOATI,"(3419.3, 3892.7)"
EDWARD MAYDEW,"(1133.6, 2414.6)"
EDWARD P SWANSON,"(5005.1, 2100.4)"
EDWIN J ELTON,"(2682.7, 760.41)"
EGON KALOTAY,"(1661.6, 4108.0)"
EGON ZAKRAJSEK,"(2067.7, 548.64)"
EHUD I RONN,"(1209.2, 3338.2)"
EIRINI KONSTANTINIDI,"(4584.5, 1233.3)"
EITAN GOLDMAN,"(5513.1, 1798.0)"
EKKEHART BOEHMER,"(3205.4, 2209.8)"
ELAINE HUTSON,"(2540.6, 5219.9)"
ELENA BECCALLI,"(145.14, 5098.0)"
ELENA CARLETTI,"(4653.3, 2246.8)"
ELENA MEDOVA,"(5211.6, 4298.0)"
ELENA PESAVENTO,"(1200.3, 378.0)"
ELEUTERIO VALLELADO,"(5322.2, 2778.0)"
ELIAS RANTAPUSKA,"(4296.8, 98.0)"
ELIEZER M FICH,"(1219.3, 188.64)"
ELIJAH BREWER,"(519.94, 5328.6)"
ELISEO NAVARRO,"(2298.5, 5058.0)"
ELIZA WU,"(1698.5, 3560.3)"
ELIZABETH K KISER,"(5075.4, 760.41)"
ELIZABETH R ODDERS-WHITE,"(4107.3, 538.0)"
ELIZABETH R WEBB,"(4026.5, 3437.0)"
ELIZABETH SHEEDY,"(1526.6, 4044.0)"
ELIZABETH TASHJIAN,"(741.08, 1778.0)"
ELMIRA POPOVA,"(1233.4, 5160.4)"
ELTON DAAL,"(1739.8, 5018.0)"
ELYAS ELYASIANI,"(4011.2, 1393.0)"
EMANUELA ROSAZZA GIANIN,"(2204.7, 618.0)"
EMILIA BONACCORSI DI PATTI,"(3746.1, 3555.6)"
EMILIA TZAGKARAKI,"(4515.9, 1218.0)"
EMILIO BARUCCI,"(403.19, 3628.6)"
EMMANUEL FARHI,"(3271.3, 438.0)"
EMMANUELLE NYS,"(850.65, 2704.0)"
EMRE OZDENOREN,"(2318.1, 4177.1)"
ENRICA DETRAGIACHE,"(3673.6, 3380.1)"
ENRICO ANGELELLI,"(4134.9, 679.93)"
ENRIQUE SCHROTH,"(212.94, 3178.0)"
ERIC A POWERS,"(5014.4, 5438.0)"
ERIC C CHANG,"(2461.6, 1884.9)"
ERIC DE BODT,"(2106.4, 4610.1)"
ERIC K KELLEY,"(4802.3, 398.0)"
ERIC M LEEPER,"(2057.9, 5300.4)"
ERIC MAYER,"(1688.2, 858.0)"
ERIC RASMUSEN,"(101.24, 4338.0)"
ERIC RENAULT,"(5206.1, 5118.0)"
ERIC S ROSENGREN,"(2983.8, 1178.0)"
ERIC SANTOR,"(5548.2, 2768.6)"
ERIC T SWANSON,"(145.14, 3018.0)"
ERIC VAN TASSEL,"(5267.1, 828.64)"
ERIC VAN WINCOOP,"(5334.6, 1718.0)"
ERIK FEIJEN,"(3518.1, 3399.7)"
ERIK KOLE,"(1904.6, 3063.6)"
ERIK LIE,"(1324.8, 2679.9)"
ERIK R SIRRI,"(1792.8, 4878.0)"
ERIK STAFFORD,"(2458.1, 2293.6)"
ERIK THEISSEN,"(2675.4, 4098.8)"
ERLEND W NIER,"(2819.3, 5428.6)"
ERNAN HARUVY,"(5261.2, 4968.6)"
ERNEST Y OU,"(700.94, 2478.0)"
ERNESTO S PASTEN,"(2692.8, 3440.4)"
ERNST MAUG,"(3088.2, 5368.6)"
ERWAN MORELLEC,"(2045.3, 3472.0)"
ESTER FAIA,"(5022.3, 218.0)"
ETIENNE TANRE,"(2573.4, 1218.0)"
ETSURO SHIOJI,"(394.4, 4518.0)"
ETTORE CROCI,"(253.44, 2308.6)"
EUGENE F FAMA,"(5388.7, 898.0)"
EUGENE KANDEL,"(2087.2, 2031.7)"
EUGENIO CERUTTI,"(3728.8, 3454.3)"
EUGENIO GAIOTTI,"(3487.7, 408.64)"
EVA DE FRANCISCO,"(1986.6, 3230.5)"
EVA SCHNEIDER,"(4527.1, 5060.4)"
EVAN GATEV,"(2973.8, 2741.9)"
EVGENIA PORTNIAGUINA,"(4085.0, 2448.3)"
EVGENIY A KUZNETSOV,"(5339.6, 2958.0)"
EVGENY LYANDRES,"(3589.4, 3991.3)"
EVI PAPPA,"(3939.8, 5058.0)"
EVREN ORS,"(5535.9, 5018.0)"
FABIO BELLINI,"(2133.4, 628.64)"
FABIO CANOVA,"(3975.4, 5120.4)"
FABIO CASTIGLIONESI,"(5355.7, 2378.0)"
FABIO M NATALUCCI,"(2412.4, 1652.8)"
FABIO SCHIANTARELLI,"(2348.5, 3479.9)"
FABIO TROJANI,"(4408.3, 1958.0)"
FABRICE COLLARD,"(4671.6, 1437.7)"
FABRIZIO CORICELLI,"(5243.7, 2300.4)"
FABRIZIO MATTESINI,"(474.4, 3618.0)"
FALKO FECHT,"(3330.5, 4161.7)"
FAN YU,"(4225.0, 3826.0)"
FANG (FRANK) YU,"(927.74, 5558.0)"
FARIBORZ MOSHIRIAN,"(1719.1, 3486.2)"
FAUSTO PANUNZI,"(2529.2, 198.0)"
FEDERICO M BANDI,"(5334.9, 5268.6)"
FEDERICO NARDARI,"(4308.3, 2302.5)"
FEDERICO RAVENNA,"(2338.8, 1662.8)"
FEI WU,"(141.6, 5528.6)"
FEI XIE,"(2870.7, 2268.3)"
FELICIA MARSTON,"(2841.9, 3593.7)"
FELIPE MEZA,"(87.594, 2518.0)"
FELIX MUNNICH,"(812.78, 4078.0)"
FELIX OBERHOLZER-GEE,"(5256.3, 4148.6)"
FENG ZHAO,"(4308.6, 3326.2)"
FENGHUA SONG,"(2498.7, 3959.4)"
FERNANDO ZAPATERO,"(4325.1, 4266.9)"
FERRE DE GRAEVE,"(3950.3, 1012.3)"
FIDEL PEREZ-SEBASTIAN,"(5058.5, 1958.0)"
FILIP VESELY,"(647.59, 248.64)"
FLORENCE LABEGORRE,"(2658.3, 458.0)"
FLORENCIO LOPEZ-DE-SILANES,"(1355.0, 3866.2)"
FLORIN O BILBIIE,"(785.14, 5019.9)"
FOUSSENI CHABI-YO,"(5241.8, 5180.4)"
FRANCESCA CORNELLI,"(2769.8, 3520.3)"
FRANCESCO CORIELLI,"(1184.6, 808.64)"
FRANCESCO FRANZONI,"(1174.9, 3123.6)"
FRANCESCO NUCCI,"(1032.3, 568.64)"
FRANCESCO PAOLO MONGELLI,"(4883.0, 1879.9)"
FRANCESCO ZANETTI,"(2042.0, 138.0)"
FRANCESCO ZIRILLI,"(5051.0, 4960.4)"
FRANCIS A LONGSTAFF,"(4293.1, 3820.8)"
FRANCISCO J GOMES,"(2357.9, 778.0)"
FRANCISCO J RUGE-MURCIA,"(1850.6, 668.64)"
FRANCISCO JOSE VEIGA,"(5505.2, 3038.0)"
FRANCISCO M GONZALEZ,"(5149.4, 3778.0)"
FRANCISCO RODRIGUEZ-FERNANDEZ,"(3385.3, 3601.9)"
FRANCO FIORDELISI,"(5616.8, 3938.0)"
FRANCOIS DEGEORGE,"(1197.5, 1068.4)"
FRANCOIS DERRIEN,"(1152.9, 1125.8)"
FRANK DE JONG,"(4893.2, 1307.4)"
FRANK FEHLE,"(4136.4, 2858.0)"
FRANK HEID,"(3699.7, 2775.6)"
FRANK J FABOZZI,"(1525.5, 1423.0)"
FRANK KERINS,"(4914.7, 4552.3)"
FRANK PARTNOY,"(2907.4, 1762.0)"
FRANK SCHORFHEIDE,"(4450.2, 698.0)"
FRANK SCHUHMACHER,"(1766.0, 5318.0)"
FRANK WESTERMANN,"(4485.9, 4759.1)"
FRANKLIN ALLEN,"(5241.7, 3858.0)"
FRED ESPEN BENTH,"(1074.2, 2598.0)"
FREDERIC MARTEL,"(3243.2, 700.41)"
FREDERIC S MISHKIN,"(5072.0, 458.0)"
FREDERIK P SCHLINGEMANN,"(4286.0, 2320.8)"
G ANDREW KAROLYI,"(4212.0, 2452.4)"
G DAVID HAUSHALTER,"(4156.5, 4105.3)"
G GEOFFREY BOOTH,"(1537.1, 1044.6)"
G MUJTABA MIAN,"(300.75, 3938.0)"
G YIN,"(3381.9, 5440.4)"
GABOR NAGY,"(525.65, 3460.4)"
GABRIEL ASAFTEI,"(147.09, 2038.0)"
GABRIEL JIMENEZ,"(1309.2, 4500.9)"
GABRIEL PEREZ-QUIROS,"(1293.7, 1323.5)"
GABRIELE CAMERA,"(718.8, 238.0)"
GABRIELLA CHIESA,"(194.89, 1698.0)"
GADY JACOBY,"(2812.8, 5268.6)"
GAELLE LE FOL,"(2954.0, 1486.0)"
GAETAN NICODEME,"(3506.6, 3443.5)"
GAIYAN ZHANG,"(818.64, 4678.0)"
GALINA HALE,"(2050.1, 2658.0)"
GARLAND B DURHAM,"(3184.0, 118.0)"
GARRY TWITE,"(2527.2, 3049.5)"
GARY KOOP,"(638.0, 4320.4)"
GARY S FISSEL,"(3749.4, 3714.3)"
GARY S MONROE,"(4849.5, 3374.6)"
GAURAV MALLIK,"(2513.5, 2173.2)"
GAUTAM MITRA,"(1997.7, 1484.8)"
GAUTI B EGGERTSSON,"(5605.9, 2918.0)"
GAYANE HOVAKIMIAN,"(2515.8, 3005.1)"
GAYLE L DELONG,"(3841.6, 3604.4)"
GEERT BEKAERT,"(3013.8, 2072.3)"
GEOFFREY A TATE,"(1312.9, 1578.0)"
GEOFFREY C FRIESEN,"(2951.8, 338.0)"
GEORG C PFLUG,"(1179.3, 5408.6)"
GEORGE ALLAYANNIS,"(4365.3, 2792.4)"
GEORGE C CHACKO,"(2508.9, 2232.8)"
GEORGE C PHILIPPATOS,"(5152.4, 2168.6)"
GEORGE DOTSIS,"(4556.6, 1361.2)"
GEORGE J JIANG,"(4225.6, 910.09)"
GEORGE M KORNIOTIS,"(2906.6, 98.0)"
GEORGE O ARAGON,"(174.89, 1238.0)"
GEORGE SKIADOPOULOS,"(4535.9, 1289.7)"
GEORGE W EVANS,"(389.04, 3548.6)"
GEORGE Z LI,"(3365.0, 4378.0)"
GEORGES DIONNE,"(2887.1, 719.93)"
GEORGES HUBNER,"(869.69, 1174.6)"
GEORGIOS RALLIS,"(4288.4, 3170.8)"
GERALD A HANWECK,"(3789.3, 3690.3)"
GERALD F DAVIS,"(969.05, 5478.0)"
GERALD S MARTIN,"(2654.1, 1392.3)"
GERALD T GARVEY,"(2252.9, 3768.9)"
GERARD CAPRIO,"(3521.8, 3352.3)"
GERARD HOBERG,"(2685.1, 378.0)"
GERBEN DRIESPRONG,"(1505.0, 3578.0)"
GERGANA JOSTOVA,"(2651.4, 2844.9)"
GERNOT J MULLER,"(857.35, 5020.4)"
GERSON M GOLDBERG,"(4486.6, 3964.9)"
GERT PEERSMAN,"(3543.2, 5388.6)"
GIACOMO NOCERA,"(2169.0, 1806.9)"
GIAM P CIPRIANI,"(1020.9, 218.0)"
GIAN MARIA MILESI-FERRETTI,"(1581.0, 788.64)"
GIANCARLO BERTOCCO,"(5611.8, 3198.0)"
GIANCARLO SPAGNOLO,"(4611.8, 2185.1)"
GIANLUCA FUSAI,"(4018.4, 4311.5)"
GIANNA FIGA-TALAMANCA,"(5026.2, 2378.0)"
GIANNI DE NICOLO,"(3497.6, 3382.3)"
GIDEON SAAR,"(2454.9, 3021.8)"
GIL S BAE,"(4748.0, 2398.0)"
GILBERT W BASSETT,"(339.44, 4738.0)"
GILLES HILARY,"(2320.3, 2906.5)"
GIORGIO CALCAGNINI,"(964.64, 1359.9)"
GIORGIO CONSIGLI,"(5045.6, 2878.0)"
GIORGIO DI GIORGIO,"(4738.8, 568.64)"
GIORGIO GOBBI,"(3812.4, 3623.3)"
GIORGIO VALENTE,"(2089.6, 1210.6)"
GIOVANNA NICODANO,"(4807.2, 1294.6)"
GIOVANNI BARONE-ADESI,"(3993.6, 3838.0)"
GIOVANNI CESPA,"(144.49, 958.0)"
GIOVANNI DELL'ARICCIA,"(3711.6, 3416.0)"
GIULIANO IANNOTTA,"(2227.7, 1766.5)"
GIUSEPPE VULPES,"(5268.9, 4600.4)"
GJERGJI CICI,"(3709.9, 1301.5)"
GLENN D RUDEBUSCH,"(1304.6, 2538.0)"
GLENN W BOYLE,"(403.19, 1648.6)"
GLENN WILLIAMS,"(4707.7, 977.69)"
GONUL COLAK,"(2317.0, 3606.7)"
GONZALO A CHAVEZ,"(2900.1, 508.64)"
GONZALO RUBIO,"(483.19, 1119.9)"
GORAN BERGENDAHL,"(3164.0, 3629.1)"
GORDON J ALEXANDER,"(3671.4, 1370.7)"
GORDON M PHILLIPS,"(3756.7, 3244.6)"
GRAEME A GUTHRIE,"(474.4, 1638.0)"
GRAHAM ELLIOTT,"(1129.0, 388.64)"
GRAZIELLA PACELLI,"(4978.8, 4959.9)"
GREG NINI,"(4880.8, 5518.0)"
GREGOR MATVOS,"(5217.8, 3298.0)"
GREGORY A WILLARD,"(1950.8, 4030.0)"
GREGORY C ARQUETTE,"(3876.6, 4558.0)"
GREGORY F UDELL,"(3666.8, 3582.2)"
GREGORY R DUFFEE,"(2036.8, 5538.0)"
GREGORY R STONE,"(5012.3, 1414.6)"
GREGORY W BROWN,"(4236.6, 2944.4)"
GRIGORI ERENBURG,"(2658.9, 4668.4)"
GRIGORY ZRAZHEVSKY,"(3746.8, 1810.6)"
GUILLAUME PLANTIN,"(5203.3, 2708.6)"
GUILLAUME ROCHETEAU,"(3352.2, 4306.6)"
GUNTHER MARKWARDT,"(859.75, 698.0)"
GUNTRAMG B WOLFF,"(1042.7, 2043.5)"
GUOFU ZHOU,"(943.15, 3665.8)"
GUOJIN GONG,"(1067.1, 2158.0)"
GUOJUN WU,"(2227.0, 3694.0)"
GUR HUBERMAN,"(2885.5, 1653.9)"
GURDIP S BAKSHI,"(3229.4, 2957.7)"
GUSTAVO GRULLON,"(4504.7, 2804.8)"
GUY KAPLANSKI,"(3110.1, 3065.0)"
GWANGHEON HONG,"(1736.8, 308.64)"
GWENDOLYN WEBB,"(3996.8, 1854.6)"
GYONGYI LORANTH,"(2936.5, 3374.1)"
H EVREN DAMAR,"(3944.5, 5578.0)"
H NEJAT SEYHUN,"(1666.3, 4678.0)"
H SEMIH YILDIRIM,"(5223.6, 2158.0)"
H VEIGA,"(3126.8, 3348.6)"
HAFIZE G ERKAN,"(5503.2, 2688.6)"
HAIM LEVY,"(3080.4, 2986.9)"
HAITAO LI,"(4289.9, 3396.7)"
HAIZHI WANG,"(3267.6, 2060.4)"
HALBERT WHITE,"(1083.0, 2298.8)"
HALINA FRYDMAN,"(3260.2, 1746.9)"
HALUK UNAL,"(488.24, 3919.9)"
HAMID MEHRAN,"(4362.8, 2385.2)"
HANNO N LUSTIG,"(3798.4, 4306.2)"
HANS CHRISTIAN KONGSTED,"(4739.3, 818.0)"
HANS DEGRYSE,"(5275.1, 5438.0)"
HANS DEWACHTER,"(372.94, 1768.6)"
HANS GERSBACH,"(941.36, 2886.2)"
HANS R STOLL,"(2872.8, 428.64)"
HAO ZHANG,"(3511.3, 2636.2)"
HARALD HAU,"(2028.9, 3128.6)"
HARALD SANDER,"(2385.1, 388.64)"
HARALD UHLIG,"(897.34, 2943.5)"
HAROLD H ZHANG,"(1170.1, 2464.0)"
HARRIS DELLAS,"(4744.5, 1446.1)"
HARRISON HONG,"(2265.6, 2447.0)"
HARRY DEANGELO,"(4278.6, 2417.1)"
HARRY HUIZINGA,"(3478.3, 3409.0)"
HARRY MAMAYSKY,"(2909.1, 2914.8)"
HARRY ZHENG,"(4033.4, 3738.0)"
HASHMAT KHAN,"(322.54, 4448.6)"
HASSAN TEHRANIAN,"(3374.0, 3648.2)"
HATO SCHMEISER,"(2618.3, 5298.0)"
HAYNE E LELAND,"(2103.9, 3560.6)"
HEATH WINDCLIFF,"(750.99, 1059.9)"
HEATHER E TOOKES,"(5396.8, 78.0)"
HEATHER MITCHELL,"(1739.7, 498.0)"
HEFEI WANG,"(3805.6, 3938.0)"
HEIKO SCHMIEDEL,"(3563.0, 2841.3)"
HEINZ ZIMMERMANN,"(3570.0, 478.0)"
HEITOR W ALMEIDA,"(3411.2, 3810.5)"
HELENE REY,"(2100.1, 3118.0)"
HELGE A NORDAHL,"(2059.1, 458.0)"
HELMUT LUTKEPOHL,"(5373.8, 3998.0)"
HELYETTE GEMAN,"(2096.2, 4826.2)"
HENDRIK BESSEMBINDER,"(4056.5, 3977.1)"
HENGYONG MO,"(3121.4, 2860.3)"
HENK VON EIJE,"(4976.0, 308.64)"
HENOCK LOUIS,"(1057.3, 2230.1)"
HENRI SERVAES,"(2953.8, 2465.3)"
HERBERT YT LAM,"(3966.4, 4960.4)"
HERCULES VLADIMIROU,"(1855.7, 1410.8)"
HERVE VAN OPPENS,"(2116.2, 4538.0)"
HESS T CHUNG,"(2022.2, 5238.0)"
HIDEAKI KIYOSHI KATO,"(3729.5, 5040.4)"
HIDEAKI MIYAJIMA,"(1966.6, 218.0)"
HIDEYUKI TAKAMIZAWA,"(5238.3, 158.0)"
HIONA BALFOUSSIA,"(1733.9, 5158.0)"
HIROFUMI UCHIDA,"(2471.0, 628.64)"
HIROSHI FUJIKI,"(2215.4, 4078.0)"
HO-SEOK LEE,"(2017.2, 3818.0)"
HOJE JO,"(4684.2, 5043.5)"
HOLGER KRAFT,"(237.34, 3868.6)"
HOLGER M MULLER,"(776.19, 4139.9)"
HONG LIU,"(2047.9, 3936.1)"
HONG YAN,"(2854.7, 3653.4)"
HONG ZHANG,"(2876.3, 2929.2)"
HONGPING TAN,"(4334.1, 2388.9)"
HUAI ZHANG,"(385.64, 1399.9)"
HUAXIONG HUANG,"(1490.0, 5318.0)"
HUGO RODRIGUEZ MENDIZABAL,"(1337.8, 1266.2)"
HUI GUO,"(3846.0, 2668.7)"
HUI OU-YANG,"(3306.9, 2941.4)"
HUI XUE,"(3619.6, 1148.7)"
HUIMIN CHUNG,"(117.34, 578.0)"
HUSAYN SHAHRUR,"(5531.6, 388.64)"
HUSEYIN GULEN,"(2827.0, 2607.7)"
HUU NHAN DUONG,"(912.83, 3318.2)"
HWAGYUN KIM,"(4205.6, 5318.0)"
HYENG KEUN KOO,"(1978.4, 3938.2)"
HYUN SONG SHIN,"(5205.1, 3919.9)"
HYUNBAE CHUN,"(2781.2, 3923.8)"
I IGAL MAGENDZO,"(736.5, 3758.0)"
IAN A COOPER,"(272.14, 5268.6)"
IAN ISCOE,"(333.95, 5408.6)"
IBOLYA SCHINDELE,"(4843.8, 1344.0)"
ICHIRO FUKUNAGA,"(192.94, 3638.0)"
IFTEKHAR HASAN,"(3337.6, 2004.4)"
IGNACIO HERNANDO,"(4829.3, 4086.2)"
IGOR MASTEN,"(5171.5, 2299.9)"
IGOR OSOBOV,"(3050.8, 2377.7)"
ILAN COOPER,"(88.894, 4138.0)"
ILAN KREMER,"(2331.6, 3014.7)"
ILHYOCK SHIM,"(3994.8, 3118.0)"
ILIAN MIHOV,"(1054.9, 4127.4)"
ILIAS TSIAKAS,"(112.79, 4418.0)"
ILKO NAABORG,"(557.34, 2179.9)"
ILYA A STREBULAEV,"(2119.0, 1292.9)"
IMAN VAN LELYVELD,"(5344.6, 3628.6)"
IMRE KONDOR,"(453.44, 3459.9)"
INDER K KHURANA,"(5297.8, 4818.0)"
INES CHAIEB,"(1526.3, 2318.0)"
INESSA LOVE,"(3661.3, 3275.2)"
INGOLF DITTMANN,"(3159.5, 5358.0)"
INGUNN LONNING,"(4007.7, 5408.6)"
INMOO LEE,"(3968.1, 2122.0)"
IOANNIS D VRONTOS,"(4564.1, 1610.1)"
IQBAL MANSUR,"(4036.8, 1318.0)"
IRINA LEVINA,"(5628.6, 458.0)"
IRIS CLAUS,"(78.495, 1498.0)"
ISAAC OTCHERE,"(3448.1, 5298.0)"
ISABEL SCHNABEL,"(3779.8, 3378.7)"
ITAY GOLDSTEIN,"(2763.2, 1747.1)"
ITZHAK VENEZIA,"(1199.8, 1441.2)"
ITZIK SHURKI,"(816.35, 2144.0)"
IVA PETROVA,"(3049.5, 5488.6)"
IVALINA KALCHEVA,"(298.14, 2188.6)"
IVAN E BRICK,"(3091.3, 4135.3)"
IVAN PAYA,"(3459.1, 5508.6)"
IVILINA POPOVA,"(1161.2, 5159.9)"
IVO PH JANSEN,"(3942.3, 924.01)"
IVO WELCH,"(2816.6, 2780.5)"
J ABAFFY,"(5027.0, 2960.3)"
J BARRY LIN,"(637.35, 4800.4)"
J BEIRLANT,"(1767.1, 2738.0)"
J DARRELL DUFFIE,"(2028.2, 4396.8)"
J DAVID CUMMINS,"(1312.4, 1994.3)"
J DAVID LOPEZ-SALIDO,"(1439.8, 4218.0)"
J DELGADO,"(1438.5, 4509.3)"
J HAROLD MULHERIN,"(2678.8, 1577.2)"
J NESLEHOVA,"(601.25, 5020.4)"
JAAP WP BOS,"(3626.3, 2791.9)"
JACKY (QI) ZHANG,"(3309.7, 5439.9)"
JACOB BOUDOUKH,"(3979.6, 2587.5)"
JACOB S SAGI,"(4485.0, 3664.8)"
JACQUELYN E HUMPHREY,"(4442.2, 608.64)"
JACQUES HAMON,"(1505.1, 428.64)"
JACQUES MINIANE,"(290.34, 4108.6)"
JACQUES OLIVIER,"(1107.1, 2998.0)"
JAEBEOM KIM,"(1031.5, 4665.1)"
JAIME F ZENDER,"(4042.4, 2467.4)"
JAKSA CVITANIC,"(4277.5, 4233.0)"
JAKUB W JUREK,"(2436.3, 2223.4)"
JAMES A PRIMBS,"(383.35, 818.0)"
JAMES B BULLARD,"(2692.5, 278.0)"
JAMES B THOMSON,"(5293.6, 699.93)"
JAMES C BRAU,"(974.34, 1625.8)"
JAMES C MORLEY,"(147.09, 5438.0)"
JAMES E MCNULTY,"(3247.3, 198.0)"
JAMES EAVES,"(1329.5, 268.64)"
JAMES H STOCK,"(279.29, 4028.6)"
JAMES JD WANG,"(644.8, 840.41)"
JAMES KENTON ZUMWALT,"(4886.1, 3424.0)"
JAMES M STEELEY,"(5650.3, 5578.0)"
JAMES P WESTON,"(4438.6, 2758.4)"
JAMES PEERY COVER,"(661.08, 2918.0)"
JAMES R BOOTH,"(5618.2, 678.0)"
JAMES R HINES,"(2540.7, 3150.1)"
JAMES R WEBB,"(355.39, 3248.6)"
JAMES S DORAN,"(1220.9, 3265.8)"
JAMES S LINCK,"(4157.7, 2580.7)"
JAMES VICKERY,"(120.59, 4498.0)"
JAMES W KOLARI,"(3674.7, 2713.7)"
JAMIE JOHN MCNUTT,"(3321.7, 3712.4)"
JAN ANTELL,"(223.69, 4208.6)"
JAN HENDRIK SCHMIDT,"(2551.1, 4939.9)"
JAN MAHRT-SMITH,"(2332.7, 3997.6)"
JAN PIPLACK,"(1385.1, 878.0)"
JAN SZILAGYI,"(1937.7, 1707.1)"
JAN-EGBERT STURM,"(2399.6, 298.0)"
JANA FIDRMUC,"(1734.2, 3266.6)"
JANET KIHOLM SMITH,"(4975.2, 4630.1)"
JANET MITCHELL,"(3555.7, 238.0)"
JAP EFENDI,"(4969.5, 2038.0)"
JARED M CAHAN,"(4662.5, 4485.1)"
JARRAD HARFORD,"(4205.7, 3979.0)"
JASON FINK,"(4500.1, 2706.0)"
JASON KARCESKI,"(1918.5, 4678.0)"
JASON SELIGMAN,"(3646.4, 58.0)"
JASON T GREENE,"(4552.5, 2998.0)"
JASON WEI,"(3422.9, 4018.0)"
JASON ZEIN,"(1723.2, 3421.0)"
JASON ZEZHONG XIAO,"(3806.6, 1548.9)"
JAY C HARTZELL,"(2486.1, 3044.2)"
JAY DAHYA,"(2697.7, 2383.5)"
JAY F COUGHENOUR,"(818.14, 5328.6)"
JAY R RITTER,"(3733.7, 2162.2)"
JAY SHANKEN,"(931.49, 3738.2)"
JAYANT R KALE,"(5602.9, 378.0)"
JB CHAY,"(1135.7, 1698.0)"
JEAN BOIVIN,"(3225.6, 4798.0)"
JEAN DERMINE,"(695.39, 4888.6)"
JEAN HELWEGE,"(4387.4, 2418.3)"
JEAN-CHARLES ROCHET,"(1816.7, 4612.2)"
JEAN-FRANCOIS GAJEWSKI,"(3872.5, 458.0)"
