node,positions
ANDRE GUTTLER,"(1087.4, 3806.2)"
ANDRE LUCAS,"(2620.3, 5458.0)"
ANDRE MEIER,"(821.73, 4958.0)"
ANDREA BURASCHI,"(434.24, 3708.6)"
ANDREA CAGGESE,"(5650.3, 918.0)"
ANDREA CONSIGLIO,"(1938.1, 1358.0)"
ANDREA FRAZZINI,"(4322.2, 1482.9)"
ANDREA GAMBA,"(497.8, 1838.0)"
ANDREA L EISFELDT,"(678.14, 3528.6)"
ANDREA M MAECHLER,"(5075.9, 618.0)"
ANDREA RESTI,"(2119.9, 1671.5)"
ANDREA RONCORONI,"(3994.1, 4380.7)"
ANDREA SIRONI,"(2161.7, 1733.7)"
ANDREAS BLOCHLINGER,"(4496.5, 2099.7)"
ANDREAS KAECK,"(1485.1, 3940.1)"
ANDREAS MAROSI,"(3282.2, 3517.4)"
ANDREI A LEVCHENKO,"(5428.5, 2088.6)"
ANDREI SHLEIFER,"(1348.9, 3803.6)"
ANDREI SIMONOV,"(2044.2, 1978.5)"
ANDRES ALMAZAN,"(5127.1, 1040.4)"
ANDREW A KISH,"(4045.1, 3480.3)"
ANDREW ANG,"(3059.1, 2142.7)"
ANDREW C SZAKMARY,"(1107.1, 4940.4)"
ANDREW ELLUL,"(3336.3, 2289.8)"
ANDREW H CHEN,"(3359.2, 3053.2)"
ANDREW J EPSTEIN,"(1292.5, 3488.4)"
ANDREW K ROSE,"(1043.2, 4199.1)"
ANDREW LEPONE,"(455.25, 3100.4)"
ANDREW W LO,"(2115.1, 2421.2)"
ANDREW WINTON,"(2032.2, 2798.5)"
ANDREY I KIBZUN,"(5268.4, 2968.6)"
ANDREY KUDRYAVTSEV,"(3247.9, 358.0)"
ANDRIY BODNARUK,"(2048.0, 2031.1)"
ANDRZEJ RUSZCZYNSKI,"(2232.4, 708.64)"
ANDY JIA-YUH YEH,"(873.59, 3054.6)"
ANDY NARANJO,"(4839.1, 1029.3)"
ANDY PUCKETT,"(448.09, 2538.0)"
ANEEL KESWANI,"(3926.8, 2973.7)"
ANGEL LEON,"(555.4, 1120.4)"
ANGELOS KANAS,"(3044.5, 5578.0)"
ANH H NGUYEN,"(897.99, 3178.0)"
ANIL SHIVDASANI,"(1290.5, 178.0)"
ANJAN V THAKOR,"(2446.2, 3904.5)"
ANJOLEIN SCHMEITS,"(2363.0, 3767.2)"
ANN B GILLETTE,"(1553.3, 3347.9)"
ANN MARIE HIBBERT,"(3416.5, 5018.0)"
ANN MARIE WHYTE,"(4790.4, 4766.8)"
ANNA CHERNOBAI,"(3728.1, 5258.0)"
ANNA D MARTIN,"(4832.9, 4828.0)"
ANNA GRAZIA QUARANTA,"(1503.5, 708.64)"
ANNA KOVNER,"(1901.2, 2477.0)"
ANNA PAVLOVA,"(3763.0, 1920.6)"
ANNA SCHERBINA,"(2099.1, 4168.5)"
ANNA ZALEWSKA,"(1987.1, 5468.6)"
ANNE SIBERT,"(1031.1, 4058.0)"
ANTHONY SAUNDERS,"(3434.9, 3608.4)"
ANTOINE GIANNETTI,"(2857.8, 5118.0)"
ANTOINE MARTIN,"(3289.7, 4100.5)"
ANTOINETTE SCHOAR,"(1808.8, 2593.4)"
ANTONELLA TRIGARI,"(2560.1, 1674.7)"
ANTONIO DIAZ,"(2334.1, 5120.4)"
ANTONIO E BERNARDO,"(609.19, 778.0)"
ANTONIO FATAS,"(1110.6, 4174.3)"
ANTONIO MELE,"(277.34, 5598.0)"
ANTONIO MORENO,"(477.65, 978.0)"
ANTONIO NICOLO,"(4892.0, 1558.0)"
ANTONIO S MELLO,"(5491.0, 2548.6)"
ANTONIOS ANTONIOU,"(3930.8, 4898.0)"
ANUP SRIVASTAVA,"(4932.9, 2099.9)"
ANURAG GUPTA,"(2571.6, 2078.0)"
ANUSHA CHARI,"(1002.7, 3466.2)"
AQM KHALIQ,"(3337.2, 2578.0)"
ARABINDA BASISTHA,"(2602.7, 4798.2)"
ARASH ALAVI,"(1845.6, 3377.6)"
ARI AISEN,"(5433.9, 3048.6)"
ARI D ANDRICOPOULOS,"(1791.1, 1034.6)"
ARI HYYTINEN,"(3373.4, 1868.6)"
ARIANE CHAPELLE,"(906.25, 1224.0)"
ARIE MELNIK,"(1246.0, 5478.0)"
ARIF KHURSHED,"(1689.0, 3235.4)"
ARIS STOURAITIS,"(2857.5, 2563.3)"
ARMIN SCHWIENBACHER,"(3138.9, 4370.2)"
ARNOUD WA BOOT,"(2411.3, 3829.3)"
ARON A GOTTESMAN,"(2884.0, 5258.0)"
ARTEMIZA WOODGATE,"(1150.5, 1838.2)"
ARTHUR WARGA,"(4467.2, 2429.4)"
ARTUR RAVIV,"(651.15, 158.0)"
ARTURO BRIS,"(2855.1, 2700.1)"
ARVIND KRISHNAMURTHY,"(4575.0, 1829.9)"
ARVIND MAHAJAN,"(2091.0, 388.64)"
ARVIND RAJAN,"(4344.2, 3761.3)"
ASHAY KADAM,"(5594.9, 238.0)"
ASHOKA MODY,"(2896.8, 5040.4)"
ASLI ASCIOGLU,"(4601.2, 4059.9)"
ASLI DEMIRGUC-KUNT,"(3629.2, 3363.8)"
ASSAF EISDORFER,"(128.39, 58.0)"
ASTRID A DICK,"(3669.2, 3611.4)"
ASTRID VAN LANDSCHOOT,"(5566.1, 3118.0)"
ATAKAN YALCIN,"(3298.3, 3678.3)"
ATANU GHOSHRAY,"(491.15, 1558.0)"
ATHANASIOS EPISCOPOS,"(5595.7, 3438.0)"
ATIF R MIAN,"(1605.0, 4518.0)"
ATREYA CHAKRABORTY,"(5466.0, 1198.0)"
ATSUYUKI NAKA,"(1703.2, 5079.9)"
ATTILA RATFAI,"(5436.7, 5598.0)"
ATTILIO MEUCCI,"(4011.7, 4238.0)"
AUDRA L BOONE,"(2629.6, 1518.6)"
AUGUSTO DE LA TORRE,"(3478.9, 3185.6)"
AUGUSTO HASMAN,"(5253.6, 1328.6)"
AUKE PLANTINGA,"(2598.6, 5080.4)"
AUSTIN MURPHY,"(4383.2, 268.64)"
AVANIDHAR SUBRAHMANYAM,"(2586.0, 2942.9)"
AVINASH VERMA,"(3372.5, 3008.6)"
AVNER KALAY,"(776.7, 1840.4)"
AVRAHAM KAMARA,"(2045.3, 4221.4)"
AWA DIOP,"(2618.3, 1244.6)"
AXEL H KIND,"(2630.7, 5378.0)"
AYAKO YASUDA,"(2341.2, 38.0)"
AYDOGAN ALTI,"(5657.3, 1878.0)"
AYLA KAYHAN,"(2536.9, 3019.1)"
B ESPEN ECKBO,"(508.05, 4878.0)"
BALASINGHAM BALACHANDRAN,"(1692.1, 4310.1)"
BALAZS EGERT,"(4265.4, 1205.8)"
BARBARA OSTDIEK,"(512.94, 4179.9)"
BARBARA ROFFIA,"(4955.2, 1880.4)"
BARIS SERIFSOY,"(5564.0, 1378.0)"
BARRY EICHENGREEN,"(2824.6, 5039.9)"
BARRY FALK,"(326.29, 2108.6)"
BARRY SCHOLNICK,"(3359.2, 3579.0)"
BARRY WILLIAMS,"(2328.4, 308.64)"
BART M LAMBRECHT,"(4492.1, 4338.0)"
BART TAUB,"(3323.3, 3970.3)"
BARTLEY R DANIELSEN,"(4170.2, 4617.8)"
BASSAM FATTOUH,"(2942.1, 178.0)"
BATIA PILO,"(779.79, 2094.6)"
BEATRICE WEDER DI MAURO,"(3692.7, 2904.1)"
BEEN-LON CHEN,"(2541.2, 38.0)"
BEHZAD T DIBA,"(1416.1, 4158.0)"
BELEN JEREZ,"(935.22, 1838.0)"
BELEN VILLALONGA,"(5018.8, 388.64)"
BEN JACOBSEN,"(1508.8, 3651.0)"
BEN R CRAIG,"(3343.4, 4234.6)"
BEN R MARSHALL,"(4704.1, 4546.8)"
BENG-SOON CHONG,"(3234.9, 1349.5)"
BENJAMIN CROITORU,"(3658.5, 2008.7)"
BENJAMIN GOMES-CASSERES,"(1995.8, 818.0)"
BENJAMIN MAAT,"(1444.5, 3616.4)"
BENT E SORENSEN,"(3869.0, 4819.9)"
BERNADETTE A MINTON,"(3572.7, 1642.4)"
BERNARD YEUNG,"(2869.3, 3923.5)"
BERNARDO BORTOLOTTI,"(4856.5, 1258.0)"
BERNT ARNE ODEGAARD,"(1737.6, 5478.0)"
BERT SCHOLTENS,"(2526.4, 5079.9)"
BERTRAND CANDELON,"(1348.5, 939.93)"
BEVERLY J HIRTLE,"(2306.0, 2689.3)"
BHASKARAN SWAMINATHAN,"(1581.7, 2813.0)"
BI-SHIA HONG,"(5470.8, 168.64)"
BIDISHA CHAKRABARTY,"(2243.2, 1378.0)"
BILAL H ZIA,"(2702.4, 3338.0)"
BILL B FRANCIS,"(3290.8, 2001.3)"
BIN DU,"(2864.7, 2998.0)"
BIN WEI,"(3217.5, 1198.2)"
BING HAN,"(4375.3, 3812.5)"
BING LIANG,"(2987.0, 2843.8)"
BINGGUANG LI,"(2298.1, 1387.7)"
BJORN-JAKOB TREUTLER,"(3171.7, 1761.1)"
BO BECKER,"(1999.8, 5618.0)"
BODO VOGT,"(3714.5, 940.41)"
BONG SOO LEE,"(1653.7, 1249.7)"
BONG-GYU JANG,"(2028.8, 3896.0)"
BORJA LARRAIN,"(1838.7, 1903.6)"
BOSTJAN JAZBEC,"(5208.1, 2238.0)"
BRAD M BARBER,"(1212.7, 2862.2)"
BRADFORD D JORDAN,"(3739.7, 2089.3)"
BRADLEY HOWELLS,"(4136.7, 3562.5)"
BRENT GOLDFARB,"(3629.0, 5179.9)"
BRENT W AMBROSE,"(4636.3, 1144.0)"
BRETT TRUEMAN,"(1145.1, 2889.2)"
BRIAN A CIOCHETTI,"(4749.2, 1958.0)"
BRIAN F SMITH,"(633.9, 5238.0)"
BRIAN H BOYER,"(2452.6, 4214.1)"
BRIAN IRONSIDE,"(4261.2, 5408.6)"
BRIAN J HENDERSON,"(2459.3, 4562.3)"
BRIAN L BETKER,"(645.0, 4460.4)"
BRIAN ROUNTREE,"(4362.7, 2730.8)"
BRICE DUPOYET,"(3379.9, 5079.9)"
BRUCE A BENET,"(2893.4, 5180.4)"
BRUCE I CARLIN,"(3273.8, 1068.4)"
BRUCE MCCULLOUGH,"(4884.6, 1179.9)"
BRUCE MCGOUGH,"(460.25, 3538.0)"
BRUCE MIZRACH,"(2083.9, 958.0)"
BRUNO M PARIGI,"(4823.8, 1683.5)"
BRYAN STANHOUSE,"(3866.1, 378.0)"
BURTON HOLLIFIELD,"(1408.7, 3005.5)"
BV PHANI,"(428.25, 2020.4)"
BYEONGYONG PAUL CHOI,"(5286.6, 2618.0)"
BYUNG-UK CHONG,"(5135.4, 3700.4)"
C EDWARD FEE,"(5016.0, 899.93)"
C FRITZ FOLEY,"(2502.0, 3084.0)"
C JAMES HUENG,"(696.7, 2980.4)"
C MITCHELL CONOVER,"(1071.5, 4878.0)"
C WEI LI,"(1305.5, 2610.2)"
CAIO ALMEIDA,"(5602.1, 1658.0)"
CAMPBELL R HARVEY,"(2968.9, 2002.7)"
CANDIDA FERREIRA,"(4916.2, 2639.9)"
CARA LOWN,"(5444.3, 3368.6)"
CARALEE MCLIESH,"(1314.0, 3738.0)"
CARL R CHEN,"(4748.9, 4705.1)"
CARLOS MANUEL PEREIRA DA SILVA,"(4608.3, 2928.6)"
CARLOS P BARROS,"(4952.8, 2578.0)"
CARMELO GIACCOTTO,"(4551.5, 3938.0)"
CAROL ALEXANDER,"(1558.3, 3971.1)"
CAROL LANCASTER,"(1034.9, 4939.9)"
CAROLE GRESSE,"(3801.2, 468.64)"
CAROLE HARITCHABALET,"(969.5, 3978.0)"
CAROLINA SALVA,"(4276.0, 2535.0)"
CATHERINE CASAMATTA,"(898.29, 3988.6)"
CATHERINE M SCHRAND,"(3510.0, 1671.8)"
CECILE KHAROUBI,"(2120.3, 4758.0)"
CECILIA GARCIA-PENALOSA,"(2290.0, 868.64)"
CELINE GONDAT-LARRALDE,"(5211.3, 2548.6)"
CEZARY WOJCIK,"(4881.9, 148.64)"
CHAD J ZUTTER,"(4241.7, 2301.3)"
CHAIRAT CHUWONGANANT,"(2689.3, 918.0)"
CHANG-JIN KIM,"(660.43, 3118.0)"
CHARLES AE GOODHART,"(2296.3, 5498.0)"
CHARLES CAO,"(2528.5, 1924.1)"
CHARLES CHANG,"(4344.5, 3643.7)"
CHARLES ENGEL,"(361.89, 3328.6)"
CHARLES J CUNY,"(4763.8, 78.0)"
CHARLES J HADLOCK,"(5088.2, 900.41)"
CHARLES L WEISE,"(148.39, 1778.0)"
CHARLES M JONES,"(3153.6, 2258.6)"
CHARLES N NOUSSAIR,"(5332.5, 4958.0)"
CHARLES NOLAN,"(3272.0, 278.0)"
CHARLES T CARLSTROM,"(5135.0, 5048.6)"
CHARLES W HODGES,"(4543.9, 3069.3)"
CHARLES X HU,"(5394.7, 1208.6)"
CHARLOTTE OSTERGAARD,"(3941.2, 4820.4)"
CHARU G RAHEJA,"(2549.1, 1484.2)"
CHAYAWAT ORNTHANALAI,"(4688.1, 3827.4)"
CHEK DERASHID,"(3513.5, 2687.1)"
CHEN CHEN,"(302.85, 4799.9)"
CHEN-MIAO LIN,"(4716.5, 4289.3)"
CHENDI ZHANG,"(1742.7, 3108.0)"
CHENGSI ZHANG,"(4635.4, 5200.4)"
CHENYANG WEI,"(3350.6, 3238.1)"
CHEOL S EUN,"(1711.6, 2026.3)"
CHETAN SUBRAMANIAN,"(4134.4, 5328.6)"
CHI-YOUNG CHOI,"(666.3, 1980.4)"
CHIEN-CHIANG LEE,"(3492.9, 328.64)"
CHING-CHONG LAI,"(1529.9, 4918.0)"
CHINMOY GHOSH,"(392.64, 1958.0)"
CHIRAPHOL N CHIYACHANTANA,"(3498.9, 1207.4)"
CHITRU S FERNANDO,"(2545.0, 2901.6)"
CHIWON YOM,"(560.45, 3920.4)"
CHODECHAI SUWANAPORN,"(2424.5, 1000.4)"
CHOON CHAT CHAN,"(4695.5, 5288.6)"
CHOONG TZE CHUA,"(1631.5, 2045.7)"
CHRIS BROOKS,"(4443.1, 3212.3)"
CHRIS DOWNING,"(3387.9, 4866.2)"
CHRIS KIRBY,"(585.15, 4180.4)"
CHRIS O BRIEN,"(4839.7, 5140.3)"
CHRIS PAPAGEORGIOU,"(4987.2, 1968.6)"
CHRIS YUNG,"(2391.0, 3589.1)"
CHRISTIAN BRODA,"(1593.0, 4440.5)"
CHRISTIAN JULLIARD,"(1142.0, 728.64)"
CHRISTIAN LEUZ,"(5327.5, 4138.0)"
CHRISTIAN MENN,"(1602.4, 1538.5)"
CHRISTIAN SCHLAG,"(4454.9, 5059.9)"
CHRISTIAN T LUNDBLAD,"(3017.3, 1998.0)"
CHRISTIAN ZEHNDER,"(3800.7, 308.64)"
CHRISTINE A PARLOUR,"(5274.6, 2698.0)"
CHRISTINE X JIANG,"(3412.9, 1194.6)"
CHRISTINE ZULEHNER,"(921.25, 4420.4)"
CHRISTO PIRINSKY,"(4371.9, 2352.8)"
CHRISTOPH SCHENZLER,"(2944.0, 418.0)"
CHRISTOPHE PERIGNON,"(2680.1, 2718.7)"
CHRISTOPHE VILLA,"(2713.6, 2753.1)"
CHRISTOPHE WUYTS,"(5018.8, 2468.6)"
CHRISTOPHER A HENNESSY,"(2176.0, 3551.4)"
CHRISTOPHER BOWDLER,"(1437.0, 5088.6)"
CHRISTOPHER C GECZY,"(3512.5, 1596.1)"
CHRISTOPHER F BAUM,"(5260.3, 1118.0)"
CHRISTOPHER J MALLOY,"(4217.0, 1578.3)"
CHRISTOPHER J NEELY,"(2107.9, 1026.2)"
CHRISTOPHER J WALLER,"(630.5, 3998.0)"
CHRISTOPHER L HANES,"(5330.5, 5518.0)"
CHRISTOPHER M JAMES,"(1894.4, 4746.2)"
CHRISTOPHER M LEWIS,"(1319.4, 1918.0)"
CHRISTOPHER M MEISSNER,"(3804.2, 618.0)"
CHRISTOPHER POLK,"(1798.7, 1618.0)"
CHRISTOPHER R BLAKE,"(2610.5, 759.93)"
CHRISTOPHER S JONES,"(4566.6, 2572.3)"
CHRISTOPHER SCHWARZ,"(2940.6, 2839.2)"
CHRISTOPHER W ANDERSON,"(1911.9, 748.64)"
CHRISTOPHETTE BLANCHET-SCALLIET,"(2554.8, 1300.3)"
CHRISTOS CABOLIS,"(2899.3, 2686.3)"
CHRISTOS PANTZALIS,"(601.73, 4738.0)"
CHUAN-YANG HWANG,"(926.59, 488.64)"
CHUCK CY KWOK,"(5486.4, 5428.6)"
CHUNCHI WU,"(1320.6, 2211.9)"
CHUNG-HUA SHEN,"(3564.2, 318.0)"
CHUNLIN LIU,"(4649.0, 1058.0)"
CIHAN YALCIN,"(554.09, 2739.9)"
CINDY L YU,"(4295.5, 3472.8)"
CLARA VEGA,"(1819.7, 5238.0)"
CLARE MCANDREW,"(3814.9, 4034.5)"
CLAS G WIHLBORG,"(3746.0, 3685.0)"
CLAUDIA CHAMPAGNE,"(3588.5, 808.64)"
CLAUDIA M BUCH,"(647.74, 1708.6)"
CLAUDIO ALBANESE,"(469.2, 618.0)"
CLAUDIO BORIO,"(679.94, 58.0)"
CLAUDIO RADDATZ,"(5389.2, 4438.0)"
CLAUS MUNK,"(308.55, 3858.0)"
CLEMENS JM KOOL,"(3666.9, 2768.6)"
CLEMENS SIALM,"(2630.9, 3696.8)"
CLEMENT SHUM,"(3901.7, 1654.4)"
CLIVE WJ GRANGER,"(3992.5, 2383.8)"
CNV KRISHNAN,"(5365.8, 700.41)"
COLIN MCKENZIE,"(405.79, 2848.6)"
COLM KEARNEY,"(2612.8, 5220.4)"
CONG WANG,"(2810.9, 2258.0)"
CONGSHENG WU,"(5557.7, 5418.0)"
CONNIE X MAO,"(4041.5, 1464.1)"
CORNELIA HOLTHAUSEN,"(1816.3, 4539.9)"
CORNELIS A LOS,"(1341.2, 58.0)"
CRAIG DOIDGE,"(4223.0, 2401.9)"
