node,x,y
"Bailey, Warren",-119.47,-52.103
"Baillie, Richard T.",-57.029,316.26
"Baird, Douglas G.",-87.148,82.953
"Baker, Alan R.H.",-148.03,-685.61
"Baker, George P.",-107.53,-91.686
"Baker, Malcolm P.",-14.29,-22.625
"Bakshi, Gurdip S.",-84.592,-5.3768
"Balbás, Alejandro",-148.27,-262.12
"Balduzzi, Pierluigi",-118.97,26.18
"Baldwin, Carliss Y.",30.378,-269.25
"Bali, Rakesh",-136.51,-128.41
"Balistreri, Edward J.",615.84,-429.53
"Balke, Nathan S.",-104.79,235.71
"Ball, Clifford A.",-96.107,-27.085
"Ball, Laurence M.",-374.73,-170.66
"Ball, Ray",71.931,-179.88
"Baltensperger, Ernst",-100.48,407.86
"Balvers, Ronald J.",-15.065,-335.89
"Bamber, E. Michael",56.247,-268.73
"Bamber, Linda Smith",7.7549,-118.97
"Bandopadhyaya, Arindam",802.98,698.69
"Banerjee, Abhijit V.",-44.911,136.04
"Banerjee, Ajeyo",-333.18,530.31
"Bansal, Ravi",-223.53,-13.868
"Barber, Brad M.",-36.762,-88.994
"Barber, John",-138.74,37.315
"Barberis, Nicholas C.",-71.745,19.589
"Barclay, Michael J.",-25.193,-69.836
"Barkai, Haim",460.46,-118.35
"Barlevy, Gadi",-292.12,42.275
"Barnea, Amir",169.6,79.426
"Barnett, William A.",-8.5689,114.32
"Barone-Adesi, Giovanni",-238.59,-6.1387
"Barrett, W. Brian",128.47,-202.09
"Barron, John M.",901.25,-490.43
"Barros, Pedro Pita",715.03,-164.14
"Barry, Christopher B.",58.792,-52.985
"Barsky, Robert B.",-153.18,319.54
"Barth, James R.",158.17,-36.507
"Barth, Mary E.",-190.97,-157.41
"Bartov, Eli L.I.",-96.369,-313.95
"Baruch, Lev",-113.8,28.84
"Baruch, Shmuel",-180.34,-66.603
"Basak, Gopal K.",-283.89,-69.873
"Basak, Suleyman",-129.19,65.732
"Basu, Sudipta",-129.52,-244.47
"Batchelor, Roy A.",756.52,-60.212
"Bates, David S.",-168.56,-11.839
"Bateson, Richard D.",-322.77,250.43
"Battalio, Robert H.",-115.06,-65.55
"Bauer, Gregory H.",-193.18,-26.508
"Baums, Theodor",159.12,-236.14
"Bayless, Mark E.",-85.27,191.25
"Beattie, Vivien A.",935.68,-781.84
"Beatty, Randolph P.",12.439,-146.7
"Beaudry, Paul",-99.464,384.82
"Beaver, William H.",-40.519,-195.71
"Bebchuk, Lucian A.",-62.186,32.706
"Becchetti, Leonardo",104.03,164.94
"Becht, Marco",90.323,-23.298
"Becker, Connie",-193.93,-74.526
"Becsi, Zsolt",208.32,106.47
"Beetsma, Roel M.W.J.",-74.829,288.05
"Beim, David O.",-4.4646,116.89
"Bekaert, Geert",-98.732,22.594
"Benartzi, Shlomo",-123.42,-95.808
"Bencivenga, Valerie R.",46.268,126.95
"Bennedsen, Morten",-68.231,79.584
"Bennett, Rosalind L.",13.679,295.72
"Benston, George J.",29.698,-63.535
"Benveniste, Lawrence M.",23.799,35.596
"Berentsen, Aleksander",-28.48,330.0
"Berg, Sigbjørn Atle",110.47,125.26
"Bergemann, Dirk",-63.959,40.393
"Bergen, Mark E.",180.37,-1.4667
"Berger, Allen N.",53.109,54.652
"Berger, Philip G.",28.382,-127.66
"Berglof, Erik",120.77,36.854
"Bergström, Clas",153.58,-114.07
"Berk, Jonathan B.",-82.39,-96.192
"Berkman, Henk",-210.53,-155.69
"Berkovitch, Elazar",-44.854,-73.721
"Berkowitz, Jeremy",398.84,135.2
"Berlin, Mitchell",48.272,26.826
"Bernanke, Ben S.",-16.827,140.96
"Bernard, Andrew B.",-190.61,-104.51
"Bernardo, Antonio E.",-56.549,-49.158
"Bernhardt, Dan",59.851,-245.95
"Bernheim, B. Douglas",90.351,-20.341
"Bernholz, Peter",281.6,92.124
"Bertola, Giuseppe",96.458,45.033
"Bertrand, Marianne",-102.24,123.98
"Bertsimas, Dimitris J.",-167.15,-98.613
"Bessembinder, Hendrik",-80.698,-135.01
"Bessler, Wolfgang",155.15,7.5427
"Bester, Helmut",302.62,104.48
"Bethel, Jennifer E.",38.226,-83.983
"Betker, Brian L.",-36.127,175.62
"Bettis, J. Carr",-23.308,-135.76
"Betton, Sandra",-18.392,-58.813
"Bewley, Ronald A.",167.78,405.04
"Bhagat, Sanjai",45.13,-178.56
"Bhattacharya, Utpal",-6.8487,-137.09
"Bhattacharyya, Sugato",-2.6314,-28.777
"Bhidé, Amar V.",-38.933,-277.56
"Biais, Bruno",-62.125,-91.686
"Bick, Avi",-247.71,-252.97
"Bickel, Peter J.",-80.885,-230.42
"Biddle, Gary C.",-172.46,-213.79
"Bierman, Harold",-194.32,-23.549
"Bierwag, Gerald O.",136.86,77.542
"Billett, Matthew T.",6.1987,10.09
"Binder, Michael",4.1332,415.34
"Birchler, Urs W.",66.92,90.986
"Bisignano, Joseph",199.88,53.295
"Bisière, Christophe",-199.52,-185.26
"Bittlingmayer, George",-95.248,-219.36
"Bizer, David S.",106.68,9.9989
"Bizjak, John M.",35.791,-152.43
"Black, Bernard S.",96.986,-64.648
"Black, Fischer",3.1734,89.633
"Black, Harold A.",807.98,257.74
"Blackwell, David W.",-0.65709,-187.68
"Blake, Christopher R.",-153.18,-137.5
"Blanchard, Olivier Jean",-2.4047,74.879
"Blazenko, George W.",-294.4,-190.09
"Blaško, Matej",223.47,-85.692
"Blinder, Alan S.",38.992,323.1
"Bliss, Robert R.",-151.59,-132.9
"Bloomfield, Robert J.",-194.22,-57.829
"Blum, Jürg M.",-120.15,250.36
"Blume, Marshall E.",59.262,-30.748
"Board, John L.G.",9.4976,-149.65
"Bodnar, Gordon M.",-29.787,58.488
"Boebel, Richard B.",-80.212,-253.65
"Boehm, Thomas P.",904.54,237.05
"Boehmer, Beatrice",207.6,-171.31
"Boehmer, Ekkehart",89.481,-92.77
"Bohn, James G.",240.11,-59.576
"Boldin, Michael",208.82,240.95
"Bollen, Kenneth Alan",-551.97,-580.14
"Bollerslev, Tim",-69.363,39.083
"Bolton, Patrick",27.704,48.869
"Bonaccorsi di Patti, Emilia",117.43,112.03
"Bond, Stephen R.",-108.03,86.727
"Bondarenko, Oleg",-165.28,200.91
"Boni, Leslie",131.84,-87.136
"Bonime, Seth D.",45.214,80.002
"Bonnier, Karl Adam",238.73,-150.36
"Bonser-Neal, Catherine",68.848,311.74
"Boone, Peter D.",44.999,21.802
"Boot, Arnoud W. A.",41.751,35.814
"Booth, James R.",-36.374,-254.65
"Booth, Laurence D.",-279.65,-144.99
"Bordo, Michael David",35.256,128.99
"Borokhovich, Kenneth A.",-23.694,-243.43
"Borrmann, Jörg",-57.015,126.6
"Bortolotti, Bernardo",102.84,-167.8
"Bos, Ted",41.448,-208.26
"Bosch, Jean Claude",-395.07,583.23
"Bose, Subir",-248.53,-66.387
"Bossaerts, Peter",-154.59,10.595
