node,x,y
"(James) Huang Z., Zhijian",-195.75,-786.43
A BEN TAL,754.61,-793.78
A GAYTAN,-231.92,106.38
A LANGVARDT,-238.82,-93.737
"A. Sullivan, Michael A.",-103.46,-421.72
ABRAHAM THOMAS,4.5423,149.3
ADAM GILESKI,214.11,-176.54
ADAM LUBIN,-3.7914,-232.54
AHMED NAGI,301.53,37.626
AKIKO FUJIMOTO,-62.701,-192.84
AKIKO MITSUI,117.35,-156.8
ALAN PETERSEN,-348.8,-81.525
ALAN RICHERT,-30.653,-245.11
ALAN SHAFFRAN,-9.199,160.74
ALBERTO NICCOLI,94.138,428.21
ALEXANDRA WEST,64.558,-249.56
ALFREDO FERREIRA,-503.6,-811.68
ALFREDO LARREA-FALCONY,35.418,-194.11
ALLEN SEWARD,-361.19,181.5
ALPO KUPARINEN,368.75,-47.187
AMY PETRIELLO,50.667,798.06
ANDRE WENT,-137.99,-262.5
ANDREA PEDERZOLLI,125.7,130.01
ANDREAS SCHOENENBERGER,-209.81,-272.54
ANDREI SARYCHEV,-338.07,16.023
ANDREI ZAVIDONOV,-161.62,220.39
ANDREW CLASTER,-142.92,-211.21
ANDREW DEXTER,-55.743,171.9
ANDREW GRACIE,-161.36,-65.753
ANDREW GUSTAR,220.16,-228.06
ANDREW MARQUEZ,-169.46,-201.51
ANDREW WASIBURD,200.09,145.66
ANDRIS NOBL,50.67,-192.12
ANDY MESSIER,-49.042,-314.94
ANDY STURM,-185.91,-200.35
ANDY WONG,-167.51,-20.663
ANJO KOETER-KANT,118.68,-216.43
ANNA CALAMIA,-117.21,-218.65
ANNA LUSARDI,-30.28,127.93
ANNA MEYENDORFF,-320.13,-216.16
ANNETTE VIS,-94.513,133.92
ANTONELLO D AGOSTINO,-83.524,-381.06
ANTONIO DIEZ DE LOS RIOS,146.21,203.67
ANTONIS PAPANTOLEON,9.9483,245.02
ANTONY THOMPSON,-71.902,-380.71
AREEDAM CHANDA,-267.32,-136.54
ARKADEB CHATTERJEE,408.64,309.67
ARTO THURLIN,301.92,-18.659
ASHLEY HUBKA,-185.24,-165.27
AVI WHOL,-153.29,-112.13
"Aase, Knut Kristian",343.05,139.73
"Abadir, Karim Maher",-55.732,235.92
"Abbott, Ashok",223.01,181.82
"Abel, Andrew B.",20.206,33.519
"Abhyankar, Abhay H.",-54.826,87.432
"Abou-Zied, Khaled",654.12,573.92
"Abrahamson, Mark",-34.648,-356.93
"Abramitzky, Ran",-38.226,185.57
"Acemoglu, Daron",-86.123,-157.47
"Acerbi, Carlo",315.55,62.745
"Acharya, Viral V.",-37.656,-61.24
"Ackert, Lucy F.",262.63,-57.726
"Adam, Alexandre",-98.169,191.52
"Adam, Klaus",-233.63,25.11
"Adam, Tim R.",-73.538,-31.484
"Adam-Müller, Axel F.A.",-81.081,0.22905
"Adams, Mike B.",145.55,-125.89
"Adams, Renée Birgit",-40.182,-124.26
"Adams, Robert M.",-113.34,-337.6
"Adcock, Christopher J.",28.181,134.49
"Adkisson, J. Amanda",188.29,106.79
"Adler, Michael",135.3,9.6146
"Admati, Anat R.",-72.953,-169.55
"Adolfson, Malin",-252.63,-221.6
"Adrian, Tobias",-37.313,62.142
"Aerts, Marc Goov",-49.717,-364.26
"Afonso, Gara",-210.86,-157.44
"Agarwal, Sumit",-135.42,-118.27
"Agarwal, Vikas",95.562,6.1258
"Agarwal, Vineet",228.51,-229.69
"Aggarwal, Rajesh K.",50.403,-107.64
"Aggarwal, Reena",-44.258,-145.65
"Aghion, Philippe",-71.183,-64.366
"Agnew, Julie Richardson",-145.85,-12.524
"Agrawal, Anup",182.6,-76.51
"Aguiar, Mark",-80.697,101.95
"Aguiar-Conraria, Luís",-540.69,-81.968
"Ahlin, Christian R.",66.423,-350.54
"Ahmed, Anwer S.",268.62,43.887
"Ahmed, Shaghil",-307.18,90.599
"Ahn, Seoungpil",-105.61,-72.132
"Ahn, Seung Chan",305.23,154.91
"Airaudo, Marco",-449.19,98.21
"Aisen, Ari",-199.39,1036.2
"Aizenman, Joshua",-332.19,-26.726
