node,x,y
"A. Sullivan, Michael A.",718.0,41.0
AARON LEBOVITZ,-174.4,2.3708
ABHAY SHAH,-152.06,-400.66
AJ SENCHACK,-5.3059,-349.64
"AJINKYA, BIPIN B.",133.32,-18.031
ALAN FRAGEN,-29.68,-334.18
ALAN KIMCHE,-443.78,122.42
ALBERT HERMALIN,-311.75,42.761
ALEX HUMER,16.212,112.23
ALEXANDRE AGANINE,-40.233,-299.87
ALFONSO GUERRA,-130.59,189.99
ALI MUTLU,-424.82,-269.87
ALLAN CAMPBELL,174.0,-124.28
ALLAN EVERHART,-32.968,62.212
AMY CHAN,-259.59,-152.07
ANASTASIOS ANASTASOPOULOS,700.79,686.0
ANDRAS LOEFFLER,-285.94,-61.188
ANDY STURM,262.66,-138.56
ANDY WONG,-27.956,43.854
ANITA KELLY,-245.65,-82.191
ANJI REDISH,275.95,148.26
ANNE FROBERG,239.85,-220.36
ART SNOW,-117.18,-477.5
ASHOK VOHRA,-204.08,-356.78
ASHRAF GHANI,-74.435,-545.88
"Aadland, David M.",114.95,-212.31
"Abarbanell, Jeffery S.",-58.803,-332.5
"Abel, Andrew B.",-58.627,-282.6
"Aboody, David",-91.298,-195.67
"Abreu, Dilip",-126.2,-58.73
"Abrevaya, Jason",-34.541,-63.084
"Abu-Mostafa, Yaser S.",-279.07,-57.594
"Acemoglu, Daron",17.74,4.7931
"Acerbi, Carlo",115.04,56.344
"Acharya, Viral V.",-82.331,-125.04
"Ackermann, Carl",-141.8,-329.82
"Ackert, Lucy F.",-151.4,-404.51
"Adam, Tim R.",-109.74,-125.9
"Adams, Mike B.",606.72,-373.47
"Adams, Robert M.",259.05,-63.41
"Adler, Barry E.",-96.813,65.788
"Admati, Anat R.",-58.063,-87.77
"Affleck-Graves, John F.",-93.376,-326.59
"Aggarwal, Rajesh K.",21.242,-148.47
"Aggarwal, Reena",5.4267,-189.59
"Aghion, Philippe",-25.316,-33.989
"Agrawal, Anup",24.191,-223.79
"Agrawal, Deepak",-295.18,-277.95
"Ahmed, Anwer S.",159.45,-257.86
"Ahmed, Parvez",-393.74,-359.07
"Ahn, Dong Hyun",-120.46,-173.54
"Ahn, HeeJoon",-207.4,-213.08
"Ailawadi, Kusum L.",-11.449,-12.544
"Aitken, Michael J.",-483.21,762.36
"Aizenman, Joshua",-728.6,580.32
"Akhavein, Jalal D.",121.5,-35.069
"Akhigbe, Aigbe O.",217.79,156.21
"Al-Suhaibani, Mohammad I.",777.26,639.21
"Alam, Ila M Semenick",138.29,-52.839
"Albuquerque, Rui",-239.67,-220.62
"Alesina, Alberto F.",-11.15,-274.27
"Alexander, Gordon J.",12.114,-40.161
"Alexandrou, George",28.631,-463.57
