node,x,y
A SPERO,230.09,-22.328
ABBOTT KELLER,105.07,-121.41
ADAM APTER,226.0,-18.203
ADAM DUNSBY,-41.447,125.87
AL FANSOME,-106.1,-124.71
AL HERLANDS,-285.48,110.85
ALASTAIR CRAIG,-151.49,213.11
ALEJANDRO BERUETE,-148.39,-89.67
"ALESSI, LOUIS DE",256.03,111.22
ALFRED BUHLER,169.83,264.93
ALGIS REMEZA,-142.18,218.02
ALLEN HUFFMAN,127.65,-168.89
ANAND GUPTA,-75.854,97.9
ANDREAS RAMSAUER,-193.17,213.06
ANDREI TASKIN,225.97,-39.003
ANDREW JOHNSON,152.98,442.46
ANDY BRUNSON,-173.39,309.2
ANDY MORTON,192.64,60.129
ANNE-LOUISE STATT,40.603,269.5
ANTHONY MARCIANO,-204.24,-194.2
ANTOINE KOTZE,132.98,196.39
ARNOLD JUSTER,-66.938,88.655
ARTHUR MEZHLUMIAN,-17.045,168.4
"Aarstol, Michael P.",-404.23,-160.87
"Abarbanell, Jeffery S.",98.306,-229.28
"Abhyankar, Abhay H.",968.6,155.68
"Abowd, John M.",246.02,30.423
"Abreu, Dilip",-105.78,220.83
"Acharya, Viral V.",156.39,-237.17
"Ackermann, Carl",2.9849,-98.056
"Ackert, Lucy F.",71.123,302.0
"Adams, Renée Birgit",176.64,-40.926
"Adler, Barry E.",-121.56,131.19
"Adler, Michael",178.3,27.035
"Admati, Anat R.",-71.862,-70.589
"Advani, Asheesh",-85.337,90.582
"Affleck-Graves, John F.",-94.802,-100.67
"Agell, Jonas",-32.295,415.94
"Aggarwal, Rajesh K.",-36.792,-126.58
"Aggarwal, Reena",8.2781,32.165
"Aghion, Philippe",-204.39,-165.21
"Agrawal, Anup",-49.683,-16.088
"Agénor, Pierre Richard",187.44,-255.26
"Aharony, Joseph",26.448,-181.58
"Ahmed, Anwer S.",-169.39,85.569
"Ahmed, Shaghil",-257.35,71.489
"Ahn, Dong Hyun",-10.06,43.797
"Ahn, Seoungpil",187.36,-149.63
"Aitken, Michael J.",240.76,-204.33
"Aiyagari, S. Rao",-284.47,-365.77
"Akerlof, George A.",-239.17,-284.67
"Akhigbe, Aigbe O.",-216.39,-539.99
"Al-Jazzaf, Mahdy I.",-125.16,33.164
"Alessie, Rob J.M.",271.4,16.452
"Alexander, Gordon J.",11.792,98.816
"Alexandre, Hervé",210.93,141.79
"Alford, Andrew W.",-59.343,-142.34
"Algert, Peter",77.672,-219.57
"Aliber, Robert Z.",-230.69,-248.0
"Alizadeh, Sassan",236.05,296.54
"Allayannis, George",267.53,14.195
"Allaz, Blaise",87.66,166.39
"Allen, Edward L.",179.48,-17.503
"Allen, Franklin",-39.21,24.841
"Allen, Jeffrey W.",-35.068,20.186
"Allen, Linda",-175.09,106.16
"Alm, James R.",442.77,388.5
"Almeida, Alvaro Santos",289.22,139.65
"Altig, David E.",-71.34,-315.04
"Altman, Edward I.",-53.211,24.284
"Altonji, Joseph G.",188.82,-125.97
"Altuǧ, Sumru G.",-246.79,-232.99
"Alvarez, Fernando E.",270.98,70.332
"Alziary, Bénédicte",33.794,222.46
"Ambrose, Brent William",-116.51,226.79
"Amel, Dean F.",-303.52,46.616
"Amihud, Yakov",53.784,22.056
"Amin, Kaushik I.",136.54,83.111
"Ammer, John",224.45,-66.975
"Amoako-Adu, Ben",109.04,289.4
"Andersen, Torben G.",72.435,85.465
"Anderson, Christopher W.",-55.357,-48.46
"Anderson, Richard G.",-312.81,-153.28
"Anderson, Robert M.",-97.427,-219.38
"Anderson, Ronald W.",-48.918,-112.7
"Andrabi, Tahir",-106.49,-367.04
"Andrade, Gregor",-122.67,-57.41
"Angbazo, Lazarus A.",-136.75,25.539
"Angel, James J.",74.478,21.333
"Angelini, Paolo",-198.13,-49.036
"Anglin, Paul M.",81.467,208.26
"Anshuman, V. Ravi",-48.29,113.96
"Antle, Rick",-47.733,232.85
"Anton, James J.",-171.52,-107.15
"Antunovich, Peter",-95.715,194.62
"Aragon, George O.",-216.62,-64.097
"Aranson, Peter H.",-272.1,-200.62
"Armstrong, Jeff S.",-46.619,-420.19
"Arnold, Tom",25.355,10.032
"Arnott, Richard J.",185.59,-168.08
"Arshadi, Nasser",-295.0,65.454
"Ashman, Thomas D.",274.5,-38.248
"Asquith, Daniel",-2.8219,-85.855
"Atack, Jeremy",-412.36,-39.971
"Atanasova, Christina V.",134.46,-255.75
"Athanasoulis, Stefano G.",215.87,-63.178
"Athanassopoulos, Antreas D.",-259.88,10.66
"Atkins, Allen B.",2.0433,99.956
"Austen-Smith, David",-63.744,202.01
"Ausubel, Lawrence M.",38.514,170.92
"Avellaneda, Marco M.",210.08,265.01
