node,x,y
ABBOTT KELLER,-41.983,103.08
ABE FRIEDMAN,-345.22,-94.386
ABEL ELIZALDE,-278.75,-230.63
ABIMANYU YOOPI,-212.16,268.41
ADAM ZARETSKY,-161.01,-319.66
ADOLF HENGSTSCHLAGER,-279.6,-33.166
ADOLFO CORRALES,105.34,-90.566
ADRIAN VAN RIXTEL,101.74,-200.18
ADRIANNA LOHNES,-236.97,-207.73
AGUEDA MADOZ,160.23,265.87
AHARONI GIL,-336.46,134.68
AHMAD FUAD RAHMANY,-133.57,288.01
AIDYN BIBOLOV,227.11,34.319
AINO LEVONMAA,-326.14,-87.744
AL KLEMKOVSKI,-239.84,-96.102
AL LEMON,-54.218,200.14
ALAN DOUGLAS HARRIS,-354.54,20.277
ALEJANDRO DIAZ DE LEON,-368.7,-274.37
ALEJANDRO GIL ORTIZ,-330.15,97.742
ALEX HANRAHAN,-311.34,-95.903
ALEX REYFMAN,-304.97,-96.019
ALEXANDRE BRUNEL,-276.95,221.96
ALFRED MURATA,-320.29,-60.436
ALICIA WILLIAMS,26.217,-235.83
ALLAN MORTENSEN,-251.94,-29.766
ALLEN MCDOWELL,-54.305,155.75
ALLISON KEANE,-13.962,225.12
AMANDA CARMIGNANI,173.8,-212.66
AMANDA MCCLAIN,126.71,-22.884
AMEDEO DE CESARI,-266.49,54.503
AMR ADDAS,68.376,11.992
AMY CHENG,508.29,880.06
AMY CREW-CUTTS,63.313,-131.93
AMY SLIPOWITZ,979.54,-288.12
ANASTASIOS PLATANIOTIS,-2.6873,-254.53
ANDERSON SILVA,-224.32,-132.7
ANDRE KURMAN,160.46,59.189
ANDREA REED,-167.06,159.32
ANDREAS SAVVA,123.99,-35.897
ANDREW CAFFREY,25.145,90.938
ANDREW DUBINSKY,-14.347,-169.6
ANDREW FRANKEL,-47.667,82.401
ANDREW GRACIE,-201.71,-244.17
ANDREW HARMSTONE,644.81,-338.19
ANDREW LEVENTIS,-274.44,-86.994
ANDREW TUCH,-341.22,74.182
ANDY STURM,110.98,-91.706
ANIL KAYSHUP,-180.68,208.93
ANN BRADENTON,57.11,56.72
ANNA BORDON,-305.34,-26.997
ANNA LUSARDI,92.464,23.622
ANNA RENDINA,-220.65,-295.4
ANNA TRAVIS,55.673,74.427
ANNE BAGUETTE,603.58,407.58
ANTI RIPATTI,68.129,-254.12
ANU GURUNG,60.987,-45.669
AOFIE HANLEY,132.78,-228.58
APOORVA KOTICHA,-250.4,71.57
APOSTOLOS KOURTIES,139.87,62.756
ARI JACOBS,-164.56,153.72
ARNAUD DE SERVIGNY,-187.32,183.07
ART BUSHONVILLE,-116.28,169.28
ARTHUR BERD,-322.87,65.539
ARUN NARAYANASAMY,84.853,185.45
ARY NAIM,-50.847,-276.29
ASHLEY POLLET,-32.37,179.78
ASHWINI AGARWAL,-14.166,118.29
"ASQUITH, PAUL",-12.192,-70.722
AUGIO KONG,-197.13,178.39
AUGUSTA MARIA ALJOVIN,-356.35,-2.6499
AVI NACHMANY,-225.55,129.18
AXEL SPAMANN,-337.83,82.204
AYESHA AFTAB,56.029,-88.551
AZIZ AIMOV,-264.03,-85.827
"Aabo, Tom",31.052,42.242
"Aaken, Anne Van",-34.871,-258.19
"Aaronson, Daniel",-56.61,308.89
"Abadie, Alberto",-202.95,106.18
"Abadir, Karim Maher",-253.21,-145.09
"Abarbanell, Jeffery S.",119.38,86.793
"Abe, Naohito",35.637,-410.21
"Abel, Andrew B.",-149.51,-30.298
"Abhyankar, Abhay H.",-11.163,-681.89
"Abreu, Dilip",-257.2,-134.38
"Abreu, Margarida",-130.22,-344.54
"Abrevaya, Jason",-196.49,111.9
"Abugri, Benjamin A.",-412.69,-222.48
"Acemoglu, Daron",-181.8,-137.52
"Acerbi, Carlo",194.84,-240.18
"Acharya, Viral V.",-101.41,-35.307
"Ackert, Lucy F.",-98.426,145.4
"Adam, Tim R.",-17.795,63.523
"Adam-Müller, Axel F.A.",-198.96,-134.12
"Adams, Brian J.",128.25,36.258
"Adams, John C.",28.565,119.8
"Adams, Mike B.",-407.56,-164.2
"Adams, Renée Birgit",-71.796,-58.484
"Adams, Robert M.",131.57,-42.181
"Adhikari, Ajay",95.079,-55.946
"Adler, Barry E.",-48.103,-80.184
"Adler, Michael",-26.136,126.55
"Admati, Anat R.",-163.94,-23.763
"Adolfson, Malin",12.754,-211.33
"Adrian, Tobias",-77.292,-56.621
"Afonso, Gara",-120.2,-93.476
"Agarwal, Sumit",-42.08,-66.121
"Agarwal, Vikas",-144.69,27.902
"Agell, Jonas",-294.33,-266.89
"Aggarwal, Rajesh K.",-98.318,-60.854
"Aggarwal, Reena",-96.964,11.255
"Aghion, Philippe",-192.54,-74.353
"Agrawal, Anup",-17.494,-36.139
"Agrawal, Ashwini K.",-46.632,-111.43
"Aguerrevere, Felipe L.",-156.35,80.758
"Aguiar, Mark",-39.439,-249.03
"Agus Harjoto, Maretno",119.7,82.734
"Agusman, Agusman",-346.25,220.48
"Agyei-Ampomah, Sam",-47.772,-335.48
"Agénor, Pierre Richard",669.21,-39.129
"Aharoni, Gil",-245.26,124.99
"Ahearne, Alan G.",160.57,-210.06
"Ahern, Kenneth R.",-53.35,-39.291
"Ahmed, Sheraz",266.25,-96.674
"Ahn, Dong Hyun",-206.08,117.09
"Ahn, HeeJoon",-190.89,168.54
"Ahn, Seoungpil",-26.705,207.67
"Ahn, SungYoon",-207.27,-280.03
"Ai, Hengjie",-229.88,28.496
"Aisbett, Emma K.",909.52,73.788
"Aitken, Michael J.",113.78,-50.776
"Akbel, Basak",78.138,27.358
"Akdeniz, Levent",-282.26,23.178
"Akerlof, George A.",-233.37,-66.875
"Akhigbe, Aigbe O.",-187.68,-197.57
"Akhtar, Shumi",-174.04,230.67
"Akimov, Alexandr",-139.42,-235.42
"Akiyoshi, Fumio",-161.75,-369.36
"Akram, Qaisar Farooq",143.27,-93.856
"Aktas, Nihat",-222.12,-10.532
"Al Zaman, Ashraf",-394.28,53.306
"Al-Anaswah, Nael",-192.8,-285.04
"Alañón-Pardo, Ángel",-259.75,28.912
"Albarrán, Pedro",178.57,-161.32
"Albertazzi, Ugo",-31.474,-250.87
"Albrecht, Peter",-306.45,-354.66
"Albuquerque, Ana Maria",89.111,44.713
"Albuquerque, Rui",-141.78,-39.991
"Aldrich, Eric M.",-338.76,-29.931
"Alesii, Giuseppe",35.03,129.33
"Alesina, Alberto F.",18.683,-29.498
"Alessandri, Piergiorgio",115.89,-96.776
"Alessie, Rob J.M.",-173.2,-128.36
"Alexander, Carol O.",-299.18,-137.75
"Alexander, Cindy R.",-18.742,34.498
"Alexander, Gordon J.",-186.59,63.369
"Alexandros Kostakis, Alexandros",17.592,31.776
"Alger, Ingela",55.38,11.737
"Ali, Ashiq",4.6581,57.664
"Aliber, Robert Z.",179.48,-37.286
"Alimov, Azizjon",92.413,141.13
"Allayannis, George",-222.3,37.874
"Allen, Arthur C.",-18.416,170.63
"Allen, Beth E.",-97.227,112.09
"Allen, Franklin",-87.172,-39.247
"Allen, J. M.S.",-177.54,-279.35
"Allen, Linda",-2.4853,-153.89
"Allen, William T.",-217.46,-21.587
"Almazan, Andres",-78.288,-13.807
"Almeida, Caio",-307.88,-100.61
"Almeida, Heitor V.",-119.9,-20.611
"Alpanda, Sami",-261.64,-385.99
"Alper, Koray",640.5,-115.05
"Alphonse, Pascal",158.82,-177.45
"Alsakka, Rasha",-804.75,-486.43
"Altavilla, Carlo",134.85,-291.22
"Alti, Aydoǧan",-179.67,44.299
"Altig, David E.",-252.54,-268.12
"Altinkiliç, Oya",8.3477,56.648
"Altissimo, Filippo",-99.601,-335.56
"Altman, Edward I.",71.675,-16.438
"Alvarez, Fernando E.",-186.63,71.91
"Amato, Jeffery D.",-135.63,202.56
"Amaya, Diego",-426.36,7.0491
"Ambec, Stéfan",-203.22,-236.41
"Ambrose, Brent William",-17.195,-53.803
"Amel, Dean F.",136.3,-18.429
"Amemiya, Takeshi",-24.167,-367.1
"Ameriks, John",-200.46,-75.615
"Amihud, Yakov",-108.42,-11.028
"Amira, Khaled",106.88,142.83
"Amit, Raphael Raffi",-65.862,-81.44
"Ammann, Manuel",-236.97,31.23
"Ammer, John",-115.3,-114.25
"Amoako-Adu, Ben",-96.982,356.16
"Amromin, Gene",-0.11205,-69.052
"An, Xudong",6.3109,97.043
"Anand, Amber",-62.11,137.08
"Andersen, Leif B.G.",53.679,-17.645
"Andersen, Steffen",-256.81,5.3107
"Andersen, Torben G.",-190.48,17.22
"Anderson, Anne Marie",-22.338,-230.2
"Anderson, Bing",-423.11,74.163
"Anderson, Christopher W.",-59.532,168.47
"Anderson, Evan W.",-214.19,-96.726
"Anderson, Heather M.",-346.62,-122.53
"Anderson, Kirsten",88.341,53.726
"Anderson, Robert M.",-314.62,48.899
"Anderson, Ronald C.",-179.44,-159.17
"Anderson, Ronald W.",-153.45,-82.701
"Andrade, Gregor",-256.38,117.31
"Andrade, Sandro C.",-44.219,-40.839
