node,x,y
A SPERO,72.0,-231.63
"A. Sullivan, Michael A.",985.0,714.0
ABBOTT KELLER,130.14,-123.13
ADAM APTER,220.17,81.831
ADAM DUNSBY,43.015,102.93
AJ SENCHACK,-49.154,-206.24
AL FANSOME,24.895,127.88
AL HERLANDS,-299.34,58.035
ALAN FRAGEN,-19.622,181.73
ALAN KIMCHE,-360.38,514.04
ALEJANDRO BERUETE,0.72517,136.62
"ALESSI, LOUIS DE",161.82,192.35
ALEX HUMER,-360.96,-14.012
ALEXANDRE AGANINE,-138.01,-162.37
ALFRED BUHLER,327.89,80.833
ALLEN HUFFMAN,216.22,-11.923
AMY CHAN,47.446,-211.79
ANAND GUPTA,102.99,102.24
ANASTASIOS ANASTASOPOULOS,184.2,-277.86
ANDREAS RAMSAUER,-240.9,-174.31
ANTHONY MARCIANO,-133.65,191.23
ANTOINE KOTZE,127.63,-186.26
ARNOLD JUSTER,-69.263,-100.97
ARTHUR MEZHLUMIAN,192.15,-21.295
"Aadland, David M.",-103.98,-181.95
"Aarstol, Michael P.",-250.06,-337.36
"Abarbanell, Jeffery S.",-56.441,-246.38
"Abhyankar, Abhay H.",-747.4,401.68
"Aboody, David",-38.99,-122.25
"Abowd, John M.",274.44,-35.351
"Abreu, Dilip",118.46,209.29
"Abrevaya, Jason",-129.08,83.965
"Acharya, Viral V.",-35.629,-109.13
"Ackermann, Carl",61.464,-0.26908
"Adams, Mike B.",698.72,638.53
"Adler, Michael",-544.11,-105.75
"Admati, Anat R.",-20.68,-74.925
"Advani, Asheesh",73.487,120.57
"Affleck-Graves, John F.",25.582,-146.76
"Agell, Jonas",-31.04,361.24
"Aggarwal, Rajesh K.",-71.09,49.417
"Aggarwal, Reena",18.504,10.333
"Aghion, Philippe",-53.601,100.94
"Agrawal, Anup",19.716,30.124
"Agénor, Pierre Richard",-13.096,265.22
"Aharony, Joseph",137.82,104.23
"Ahmed, Anwer S.",-161.46,83.886
"Ahmed, Shaghil",-173.68,154.45
