node,positions
A CRAIG MACKINLAY,"(869.12, 927.03)"
A GONEN,"(625.84, 607.2)"
A JORGE PADILLA,"(957.46, 1024.1)"
A SPERO,"(751.98, 733.09)"
ABBIE J SMITH,"(974.24, 854.34)"
ABBOTT KELLER,"(720.58, 893.79)"
ABDULLAH YAVAS,"(618.4, 960.12)"
ABE DE JONG,"(602.13, 685.17)"
ABHAY ABHYANKAR,"(1852.7, 652.64)"
ABHIJIT BANERJEE,"(972.17, 1066.7)"
ABON MOZUMDAR,"(927.92, 781.61)"
ABRAHAM LIOUI,"(588.98, 1201.5)"
ACHIM MACHAUER,"(1022.6, 1182.5)"
ADAM APTER,"(738.46, 753.99)"
ADAM DUNSBY,"(904.0, 822.03)"
ADAM LAND,"(672.02, 787.7)"
ADITYA KAUL,"(959.38, 906.47)"
ADRIAN PAGAN,"(1019.5, 686.88)"
ADRIAN R FLEISSIG,"(1175.8, 590.51)"
ADRIAN TSCHOEGL,"(969.02, 793.05)"
AGNESE SIRONI,"(1180.1, 1090.1)"
AHMET BAYTAS,"(823.94, 1804.6)"
AIGBE AKHIGBE,"(1814.4, 378.0)"
AJAI K SINGH,"(951.05, 825.38)"
AJAY A PATIL,"(279.03, 295.93)"
AJAY KHORANA,"(852.54, 1017.4)"
AJAY PATEL,"(1075.1, 830.52)"
AJAY SHAH,"(562.84, 1026.4)"
AKHTAR R SIDDIQUE,"(776.42, 722.67)"
AKOS VALENTINYI,"(1161.4, 677.48)"
AKSHAY RAO,"(1158.2, 1119.7)"
AL FANSOME,"(989.19, 863.67)"
AL HERLANDS,"(1102.7, 1117.8)"
ALAN C HESS,"(742.25, 852.52)"
ALAN C STOCKMAN,"(1257.7, 908.97)"
ALAN GELB,"(905.05, 1209.9)"
ALAN J MARCUS,"(941.58, 883.78)"
ALAN KRAUS,"(684.52, 995.61)"
ALAN MACNAUGHTON,"(633.12, 1095.7)"
ALAN S BLINDER,"(1212.2, 844.27)"
ALAN SCHWARTZ,"(908.91, 861.74)"
ALAN SHAPIRO,"(696.69, 977.39)"
ALAN WHITE,"(766.62, 819.4)"
ALASTAIR CRAIG,"(1036.3, 764.75)"
ALBERT OKUNADE,"(624.31, 756.13)"
ALBERT S KYLE,"(805.12, 968.81)"
ALBERTO TREJOS,"(1151.3, 894.76)"
ALEJANDRO BALBAS,"(678.43, 1017.6)"
ALEJANDRO BERUETE,"(917.84, 1124.3)"
ALEX CUKIERMAN,"(877.03, 541.83)"
ALEX D PATELIS,"(1031.8, 1031.3)"
ALEX FRINO,"(668.6, 1060.9)"
ALEX LEVIN,"(578.74, 863.87)"
ALEX TABARROK,"(1123.7, 1161.6)"
ALEXANDER KEMPF,"(848.83, 532.1)"
ALEXANDER L WOLMAN,"(1220.3, 900.04)"
ALEXANDER P LJUNGQVIST,"(815.11, 1111.5)"
ALEXANDER TRIANTIS,"(871.51, 876.83)"
ALEXANDROS BENOS,"(612.07, 838.01)"
ALEZANDRO WERNER,"(944.81, 549.12)"
ALFRED BUHLER,"(835.41, 614.57)"
ALFREDO IBANEZ,"(682.35, 1026.7)"
ALGIS REMEZA,"(907.13, 1192.5)"
ALI LAZRAK,"(977.21, 670.13)"
ALISA A ROELL,"(767.5, 875.01)"
ALISON DUNNING,"(1924.0, 642.0)"
ALISTER HUNT,"(699.5, 1026.3)"
ALLAN C EBERHART,"(822.33, 1035.2)"
ALLAN KLEIDON,"(741.62, 896.64)"
ALLAN MALZ,"(484.53, 845.85)"
ALLAN MELTZER,"(1223.4, 965.27)"
ALLAN TIMMERMANN,"(771.78, 806.41)"
ALLAUDEEN S HAMEED,"(917.0, 872.98)"
ALLEN B ATKINS,"(806.92, 1010.6)"
ALLEN HUFFMAN,"(688.85, 841.25)"
ALLEN M WEISS,"(865.47, 756.2)"
ALLEN N BERGER,"(1001.1, 981.27)"
ALOK KUMAR,"(877.07, 844.25)"
ALOKE GHOSH,"(744.9, 1044.5)"
ALON BRAV,"(883.13, 974.03)"
ALVARO ALMEIDA,"(773.08, 622.76)"
ALVIN HARRELL,"(1001.0, 1106.5)"
AMADO PEIRO,"(72.144, 306.0)"
AMAR BHIDE,"(775.02, 1114.8)"
AMAR GANDE,"(898.55, 1013.3)"
AMIR BARNEA,"(1073.4, 849.96)"
AMIR SADR,"(700.95, 966.73)"
AMY DUNBAR,"(952.27, 901.44)"
AMY K DITTMAR,"(904.03, 1125.1)"
ANAND GUPTA,"(855.57, 1091.9)"
ANAND M VIJH,"(920.16, 921.35)"
ANANTH MADHAVAN,"(807.54, 943.94)"
ANASTASIOS G MALLIARIS,"(889.04, 1343.6)"
ANAT R ADMATI,"(806.18, 1003.7)"
ANDERS LOFLUND,"(163.89, 1770.0)"
ANDRE F PEROLD,"(981.53, 940.2)"
ANDRE GRIMAUD,"(980.73, 813.98)"
ANDREA BURASCHI,"(861.68, 789.05)"
ANDREA HEUSON,"(727.2, 1159.5)"
ANDREA RESTI,"(1103.6, 1003.6)"
ANDREAS HACKETHAL,"(990.15, 904.35)"
ANDREAS HORNSTEIN,"(1192.6, 1153.2)"
ANDREAS JACOBS,"(955.86, 1183.4)"
ANDREAS RAMSAUER,"(810.52, 1244.0)"
ANDREI A KIRILENKO,"(691.14, 988.43)"
ANDREI SHLEIFER,"(913.31, 948.9)"
ANDREI TASKIN,"(899.78, 714.73)"
ANDRES VELASCO,"(956.22, 551.65)"
ANDREW ALFORD,"(880.42, 1049.0)"
ANDREW B BERNARD,"(1062.7, 916.68)"
ANDREW CAPLIN,"(1061.3, 1206.2)"
ANDREW CHRISTIE,"(934.11, 859.07)"
ANDREW D CLARE,"(599.29, 1072.6)"
ANDREW F SIEGEL,"(691.04, 888.6)"
ANDREW FILARDO,"(1140.6, 749.65)"
ANDREW H CHEN,"(866.94, 1069.2)"
ANDREW JOHNSON,"(845.19, 450.0)"
ANDREW K ROSE,"(707.12, 816.18)"
ANDREW METRICK,"(909.38, 909.9)"
ANDREW ROPER,"(931.97, 798.22)"
ANDREW SPIELER,"(728.22, 1072.1)"
ANDREW W LO,"(823.95, 879.89)"
ANDREW WHITMAN,"(1068.3, 799.46)"
ANDREW WINTON,"(943.75, 953.93)"
ANDY BRUNSON,"(802.86, 1288.4)"
ANDY LUCHUAN LIU,"(795.52, 998.33)"
ANDY MORTON,"(825.7, 698.01)"
ANDY NARANJO,"(916.69, 1009.1)"
ANEEL KESWANI,"(800.53, 833.99)"
ANGEL SERRAT,"(827.02, 734.7)"
ANGELA REDISH,"(1086.0, 754.7)"
ANGELO MELINO,"(786.33, 779.4)"
ANIL K KASHYAP,"(974.58, 970.26)"
ANIL K MAKHIJA,"(858.86, 1038.8)"
ANIL SHIVDASANI,"(887.95, 1003.7)"
ANJAN V THAKOR,"(962.27, 962.65)"
ANJU SETH,"(1023.3, 1205.6)"
