node,x,y
"(James) Huang Z., Zhijian",-651.63,-679.18
A BEN TAL,-634.21,635.84
A LANGVARDT,76.366,-232.4
"A. Sullivan, Michael A.",199.11,145.97
ABIMANYU YOOPI,-95.098,329.1
ABRAHAM THOMAS,-206.88,61.203
ADAM GILESKI,-307.31,35.568
ADAM LUBIN,109.71,-127.91
ADOLFO CORRALES,241.18,-17.757
AGUEDA MADOZ,-170.31,289.14
AHMAD FUAD RAHMANY,-156.26,314.96
AHMED NAGI,-258.6,-246.57
AINO LEVONMAA,114.04,135.59
AKIKO FUJIMOTO,117.27,-55.513
ALAN RICHERT,103.31,100.42
ALAN SHAFFRAN,-220.86,60.115
ALBERTO NICCOLI,-377.94,305.68
ALEX REYFMAN,-245.84,23.26
ALEXANDRA WEST,92.875,133.56
ALFREDO FERREIRA,1062.4,-55.68
ALLEN SEWARD,435.92,658.56
ALPO KUPARINEN,190.17,-321.03
AMANDA MCCLAIN,-154.75,202.34
AMR ADDAS,-179.67,-133.55
AMY PETRIELLO,-83.99,-434.46
ANASTASIOS PLATANIOTIS,250.99,-15.827
ANDERSON SILVA,50.969,-135.64
ANDRE KURMAN,-38.79,274.66
ANDRE WENT,-307.84,-95.48
ANDREAS SAVVA,153.2,118.11
ANDREAS SCHOENENBERGER,272.55,-95.589
ANDREI SARYCHEV,-4.5486,315.63
ANDREW CAFFREY,29.988,-173.9
ANDREW DEXTER,-249.83,51.424
ANDREW DUBINSKY,124.04,112.89
ANDREW GRACIE,97.617,-70.358
ANDREW GUSTAR,165.59,-204.25
ANDREW HARMSTONE,548.49,-326.5
ANDRIS NOBL,96.798,-103.78
ANDY STURM,175.14,-57.259
ANDY WONG,33.776,-158.51
ANJO KOETER-KANT,-175.42,104.47
ANN BRADENTON,-127.24,-192.98
ANNA CALAMIA,71.782,166.1
ANNA LUSARDI,203.38,127.09
ANNA MEYENDORFF,281.53,69.407
ANNA RENDINA,248.57,-74.952
ANNE BAGUETTE,135.96,406.94
ANNETTE VIS,44.628,-148.3
ANTONELLO D AGOSTINO,186.4,-264.86
ANTONIO DIEZ DE LOS RIOS,-313.06,58.641
ANTONIS PAPANTOLEON,-303.88,-73.606
AOFIE HANLEY,197.44,241.15
APOORVA KOTICHA,-63.986,153.87
AREEDAM CHANDA,-234.23,186.6
ARKADEB CHATTERJEE,-47.095,-409.22
ARTO THURLIN,235.36,108.72
ARUN NARAYANASAMY,146.29,143.48
ASHLEY POLLET,41.029,181.81
"ASQUITH, PAUL",68.033,80.201
AVI NACHMANY,-79.926,154.13
AVI WHOL,-118.9,144.63
"Aabo, Tom",-355.32,-120.1
"Aase, Knut Kristian",-269.1,305.49
"Abadir, Karim Maher",-258.71,-22.918
"Abaffy, József",-851.65,1045.2
"Abbott, Ashok",-321.39,34.774
"Abel, Andrew B.",-49.647,54.671
"Abhyankar, Abhay H.",-171.09,-107.38
"Abou-Zied, Khaled",-352.23,-282.03
"Abrahamson, Mark",136.29,-199.53
"Abramitzky, Ran",-128.5,227.99
"Acemoglu, Daron",47.158,56.026
"Acerbi, Carlo",199.18,-268.66
"Acharya, Viral V.",-7.985,-8.2716
"Ackert, Lucy F.",-190.11,7.2805
"Adam, Alexandre",-216.81,-197.47
"Adam, Klaus",-108.83,-292.9
"Adam, Tim R.",-1.8487,3.2391
"Adam-Müller, Axel F.A.",-127.12,65.161
"Adams, Brian J.",160.64,131.3
"Adams, John C.",-63.401,-227.69
"Adams, Mike B.",49.741,-158.7
"Adams, Renée Birgit",9.5844,-47.729
"Adams, Robert M.",245.79,153.76
"Adcock, Christopher J.",-12.856,122.75
"Adkisson, J. Amanda",-28.725,-230.84
"Adler, Michael",51.603,-159.23
"Admati, Anat R.",-34.102,73.249
"Adolfson, Malin",-6.3424,230.31
"Adrian, Tobias",-39.86,40.041
"Afonso, Gara",57.155,192.95
"Agarwal, Sumit",-513.23,-528.78
"Agarwal, Vikas",-55.104,-76.591
"Agarwal, Vineet",36.935,-318.42
"Agell, Jonas",138.01,274.93
"Aggarwal, Rajesh K.",6.1477,-84.678
"Aggarwal, Reena",16.891,-54.225
"Aghion, Philippe",25.933,49.341
"Agrawal, Anup",-1.575,-120.34
"Aguerrevere, Felipe L.",-78.169,-92.124
