node,x,y
"(James) Huang Z., Zhijian",-595.63,-203.18
A BEN TAL,1064.8,27.838
A GAYTAN,239.69,-150.82
A LANGVARDT,-174.25,-159.84
"A. Sullivan, Michael A.",365.73,129.65
ABRAHAM THOMAS,-134.12,16.597
ADAM GILESKI,-165.11,171.74
ADAM LUBIN,181.08,-66.139
AHMED NAGI,-224.76,215.35
AKIKO FUJIMOTO,-39.616,-147.52
AKIKO MITSUI,-102.66,110.33
ALAN PETERSEN,245.14,241.76
ALAN RICHERT,-128.15,-106.72
ALAN SHAFFRAN,137.13,129.05
ALBERTO NICCOLI,386.39,318.84
ALEXANDRA WEST,-137.32,-149.46
ALFREDO FERREIRA,-883.6,488.32
ALFREDO LARREA-FALCONY,151.8,-77.738
ALLEN SEWARD,-378.71,-114.45
ALPO KUPARINEN,0.28063,-400.71
AMY PETRIELLO,505.26,828.05
ANDRE WENT,199.32,196.71
ANDREA PEDERZOLLI,-134.4,148.54
ANDREAS SCHOENENBERGER,121.61,-298.51
ANDREI SARYCHEV,-61.5,-327.36
ANDREI ZAVIDONOV,-73.677,285.71
ANDREW CLASTER,39.905,-211.03
ANDREW DEXTER,-118.69,154.78
ANDREW GRACIE,17.818,-158.57
ANDREW GUSTAR,33.551,288.19
ANDREW MARQUEZ,63.139,-209.23
ANDREW WASIBURD,-98.24,243.7
ANDRIS NOBL,-26.614,-152.85
ANDY MESSIER,31.653,-283.73
ANDY STURM,115.13,-231.92
ANDY WONG,-56.538,-140.48
ANJO KOETER-KANT,146.25,141.69
ANNA CALAMIA,-134.39,134.9
ANNA LUSARDI,162.71,73.031
ANNA MEYENDORFF,47.066,-351.82
ANNETTE VIS,-122.9,126.52
ANTONELLO D AGOSTINO,-51.174,-349.5
ANTONIO DIEZ DE LOS RIOS,69.974,278.29
ANTONIS PAPANTOLEON,-215.92,127.78
ANTONY THOMPSON,-54.096,-335.67
AREEDAM CHANDA,-98.05,-256.58
ARKADEB CHATTERJEE,-489.68,9.9216
ARTO THURLIN,316.87,-47.577
ASHLEY HUBKA,198.47,-102.03
AVI WHOL,-79.59,-168.54
"Aase, Knut Kristian",-358.58,70.059
"Abadir, Karim Maher",122.17,236.48
"Abaffy, József",431.92,897.88
"Abbott, Ashok",216.23,245.66
"Abel, Andrew B.",26.205,78.245
"Abhyankar, Abhay H.",-14.185,-108.0
"Abou-Zied, Khaled",-329.87,606.61
"Abrahamson, Mark",186.75,242.41
"Abramitzky, Ran",162.83,186.53
"Acemoglu, Daron",26.561,-141.99
"Acerbi, Carlo",-268.62,173.32
"Acharya, Viral V.",52.237,-29.956
"Ackert, Lucy F.",-243.43,44.204
"Adam, Alexandre",-16.999,251.11
"Adam, Klaus",220.05,-128.59
"Adam, Tim R.",56.043,-22.281
"Adam-Müller, Axel F.A.",-35.348,98.364
"Adams, Mike B.",45.853,166.06
"Adams, Renée Birgit",27.014,-90.639
"Adams, Robert M.",209.38,-265.14
"Adcock, Christopher J.",66.606,148.41
"Adkisson, J. Amanda",-220.06,2.152
"Adler, Michael",182.65,-3.3759
"Admati, Anat R.",-97.856,-87.618
"Adolfson, Malin",117.38,-296.03
"Adrian, Tobias",-27.524,-49.808
"Aerts, Marc Goov",-3.2563,-334.45
"Afonso, Gara",207.98,-132.19
"Agarwal, Sumit",48.344,-129.46
"Agarwal, Vikas",-96.131,15.616
"Agarwal, Vineet",153.34,-270.07
"Aggarwal, Rajesh K.",91.408,20.569
"Aggarwal, Reena",27.644,-107.88
"Aghion, Philippe",99.557,-16.393
"Agnew, Julie Richardson",95.037,139.55
"Agrawal, Anup",-157.31,-74.09
"Aguiar, Mark",140.76,-52.842
"Aguiar-Conraria, Luís",356.89,282.07
"Agusman, Agusman",587.35,-762.0
"Ahlin, Christian R.",-202.47,-223.71
"Ahmed, Anwer S.",-216.62,147.62
"Ahmed, Shaghil",343.89,12.362
"Ahmed, Shaista",112.19,-312.32
"Ahn, Seoungpil",-108.59,-57.842
"Ahn, Seung Chan",-26.615,-276.47
"Airaudo, Marco",424.46,-231.25
"Aisen, Ari",-83.109,-841.62
"Aizenman, Joshua",315.98,-134.08
"Akdoĝu, Evrim",-124.97,-114.94
"Akerlof, George A.",384.68,43.857
"Akhigbe, Aigbe O.",46.701,796.9
"Akram, Qaisar Farooq",380.61,-35.819
"Aksoy, Yunus",519.36,-255.7
"Aktas, Nihat",-38.024,91.816
"Al-muharrami, Saeed M.",377.92,280.23
"Alavi, Arash",53.005,133.09
"Albanese, Claudio",-86.798,145.12
"Albuquerque, Rui",92.637,13.494
"Alderson, Michael J.",-162.42,-52.671
"Alegría, Carlos Manuel",235.43,-377.19
"Alessandrini, Pietro",285.14,302.71
"Alessie, Rob J.M.",307.48,-207.06
"Alevy, Jonathan E.",-223.71,-200.97
"Alexander, Carol O.",-235.94,152.04
"Alexander, Gordon J.",124.24,-3.5449
"Alexander, S.",867.85,-269.5
"Alexandros Kostakis, Alexandros",-110.39,237.42
"Alford, Andrew W.",-154.35,-16.133
"Ali, Ashiq",31.821,237.93
"Alizadeh, Amir H.",476.33,-902.45
"Allayannis, George",-52.069,-28.668
"Allen, Beth E.",122.03,138.82
"Allen, Franklin",34.249,-66.191
"Allen, Linda",17.714,-52.003
"Allen;, David Edmund",-287.01,115.69
"Allsopp, Christopher J.",387.5,-144.77
"Allsopp, Louise",-295.38,-279.83
"Almazan, Andres",27.882,-54.092
"Almeida, Caio",-22.032,137.96
"Almeida, Heitor V.",32.299,-22.999
"Almgren, Robert F.",-127.83,-74.939
"Alpanda, Sami",-202.21,222.41
"Alphonse, Pascal",14.188,255.6
"Alsleben, Christoph",-444.15,-542.32
"Alti, Aydoǧan",-25.921,-19.002
"Altman, Edward I.",-42.373,-33.224
"Altunbaş, Yener",189.14,-216.54
"Alvarez, Fernando E.",52.211,169.85
"Alworth, Julian S.",31.153,-177.63
"Amador, Manuel",-21.388,-222.81
"Amato, Jeffery D.",-117.41,-269.12
"Ambrose, Brent William",115.34,-78.092
"Amel, Dean F.",-198.93,430.33
"Amemiya, Takeshi",124.57,121.77
"Amenc, Noël",-8.2858,239.61
"Amihud, Yakov",12.443,-15.997
"Amin, Kaushik I.",36.12,199.63
"Amir, Eli",143.7,225.27
"Amit, Raphael Raffi",-30.802,-60.446
"Ammann, Manuel",-267.21,114.77
"Ammer, John",103.52,-55.861
"Anand, Amber",-187.45,-79.353
"Andersen, Torben G.",13.635,141.42
"Anderson, Anne Marie",126.64,124.6
"Anderson, Christopher W.",-43.936,101.73
"Anderson, Evan W.",342.7,24.818
"Anderson, Gary A.",353.93,25.189
"Anderson, Kirsten",-94.229,-112.2
"Anderson, Richard G.",291.27,-158.54
"Anderson, Robert M.",-211.24,-3.5099
"Anderson, Ronald W.",-85.147,-41.345
"Andrade, Sandro C.",62.377,58.963
"Andreani, Ettore",882.29,-584.0
"Andres, Christian",242.91,-229.88
"Andrews, Donald W.K.",17.803,-149.25
"Andrews, Peter",-53.442,-252.38
"Andricopoulos, Ari D.",-716.65,-382.0
"Andrés, Javier",339.91,-222.39
"Andrés, Pablo De",213.11,-135.1
"Ang, Andrew",19.929,20.493
"Ang, James",91.163,170.61
"Angel, James J.",-109.5,-91.958
"Angelelli, Enrico",881.94,1120.0
"Angeletos, George Marios",166.28,6.5804
"Angelini, Paolo",95.559,-258.45
"Angeloni, Ignazio",330.97,220.01
"Angrist, Joshua D.",274.93,-82.73
"Annaert, Jan",102.21,-269.8
"Antecol, Heather",-210.16,-131.81
"Antell, Jan",-236.52,-105.31
"Antonelli, Cristiano",695.56,549.0
"Antoniou, Antonios",-36.06,999.96
"Antweiler, Werner",108.8,84.024
"Aoki, Kosuke",351.08,-47.256
"Aoki, Masahiko",-172.74,-141.29
"Apilado, Vincent P.",-558.6,-951.68
"Arad, Ruth W.",111.56,133.68
"Aragon, George O.",-42.781,-68.484
"Ararat, Melsa",-51.53,-142.64
"Arbatskaya, Maria",-40.719,-262.01
"Arellano, Manuel",-41.188,-279.86
"Arena, Marco",194.37,-69.336
"Arend, Richard J.",-191.87,-333.01
"Ariga, Kenn",-237.48,-163.3
"Arin, Kerim Peren",467.03,123.05
"Ariño, áfrica",-44.457,-146.61
"Arlen, Jennifer H.",-191.81,4.4089
"Armendáriz, Beatriz",183.53,-29.637
"Armenter, Roc",269.4,-60.273
"Armour, John H.",-190.35,-24.223
"Armstrong, Vaughn S.",-155.41,-205.91
"Arnold, Glen C.",-165.99,-39.546
"Arnold, Ivo J.M.",-37.362,-166.42
"Arnold, Tom",-175.96,-191.89
"Arnott, Robert D.",205.55,297.79
"Arping, Stefan",-228.6,-48.0
"Arquette, Gregory C.",-274.02,-204.83
"Artis, Michael J.",396.67,-106.46
"Aruoba, S. Boraǧan",103.78,130.67
"Arzac, Enrique R.",-14.795,153.28
"Asaftei, Gabriel",-1112.0,618.0
"Asdrubali, Pierfederico",1124.9,399.96
"Ashcraft, Adam B.",138.11,-81.062
"Ashton, John K.",156.76,-355.5
"Asness, Clifford S.",-13.105,186.68
"Astic, Fabian",-181.4,-154.81
"Atack, Jeremy",-190.66,-235.85
"Atanasov, Vladimir",150.86,26.386
"Athey, Susan",64.187,-125.72
"Atkeson, Andrew G.",67.932,202.48
"Atoian, Rouben",345.83,-0.89626
"Attanasio, Orazio P.",284.07,-74.292
"Attari, Mukarram",51.394,163.36
"Attig, Najah",-4.5014,-77.197
"Auerbach, Alan J.",-91.876,-115.36
"Aunon-Nerin, Daniel",-66.161,30.46
"Aussenegg, Wolfgang",-208.73,109.71
"Ausubel, Lawrence M.",63.812,156.96
"Avellaneda, Marco M.",-157.78,187.2
