node,x,y
"A. Sullivan, Michael A.",454.0,-1784.0
"Abhyankar, Abhay H.",-1508.4,561.68
"Aboody, David",-1659.4,-1495.3
"Acharya, Viral V.",127.69,-146.46
"Ackermann, Carl",1586.9,-345.04
"Ackert, Lucy F.",-1139.4,1367.9
"Adams, Mike B.",-422.6,1592.3
"Admati, Anat R.",425.6,1717.7
"Affleck-Graves, John F.",1650.6,1258.7
"Aggarwal, Rajesh K.",1186.1,-787.99
"Aggarwal, Reena",168.81,-395.66
"Agrawal, Deepak",1390.3,1293.0
"Agénor, Pierre Richard",-624.4,1632.7
"Ahmed, Parvez",-631.0,1939.0
"Ahn, Dong Hyun",291.64,877.31
"Ahn, HeeJoon",-163.78,209.52
"Aitken, Michael J.",632.94,1559.0
"Akhigbe, Aigbe O.",1132.1,708.01
"Al-Suhaibani, Mohammad I.",1491.4,-617.68
"Alam, Ila M Semenick",-1522.0,1854.0
"Alexander, Gordon J.",-322.4,1666.7
"Allayannis, George",-1159.6,902.6
"Allen, Franklin",-467.08,535.42
"Altinkiliç, Oya",-1604.4,-883.32
"Altman, Edward I.",220.9,-320.5
"Altunbaş, Yener",-1185.6,-1290.7
"Alvarez, Fernando E.",1107.4,-1603.7
"Amato, Amedeo",-541.6,-1654.7
"Amel, Dean F.",666.6,-1733.3
"Amihud, Yakov",-985.4,-97.835
"Amoako-Adu, Ben",258.41,1116.2
"Andersen, Leif B.G.",1630.4,-957.68
"Andersen, Torben G.",144.37,-1273.7
"Anderson, Christopher W.",653.6,-1461.3
"Anderson, Ronald C.",1343.6,721.93
"Anderson, Ronald W.",-845.53,290.27
"Andreasen, Jesper",1701.6,-968.32
"Ang, James",-1326.1,895.96
"Angel, James J.",93.775,-424.48
"Angelini, Paolo",-1345.0,-1920.0
"Anshuman, V. Ravi",641.32,-244.44
"Ané, Thierry",-487.79,205.32
"Arestis, Philip",-986.67,-1393.4
"Arnold, Tom",941.83,-190.94
"Atanasova, Christina V.",-79.054,790.36
"Athanasoulis, Stefano G.",1213.6,-1444.3
"Avard, Stephen L.",-1298.1,1032.0
"Avery, Robert B.",463.35,1189.8
"Avkiran, Necmi Kemal",-602.0,1803.0
"Aziz, Andrew R.",-1398.4,-1546.3
"Aït-Sahalia, Yacine",867.6,1615.7
"Bacidore, Jeffrey M.",680.0,1871.0
"Back, Kerry",-700.87,616.24
"Backus, David K.",-417.03,1109.1
"Bagella, Michele",1529.3,-543.45
"Bagliano, Fabio Cesare",1402.7,1048.5
"Bailey, Warren",-799.85,-482.62
"Baker, Malcolm P.",871.6,-1682.3
"Baks, Klaas P.",-1348.3,-5.5133
"Bakshi, Gurdip S.",-256.62,239.62
"Balduzzi, Pierluigi",-1078.6,-372.61
"Ball, Clifford A.",787.49,-294.06
"Balvers, Ronald J.",-1001.7,-1100.4
"Barber, Brad M.",-409.07,813.37
"Barberis, Nicholas C.",-1578.6,1235.3
"Barclay, Michael J.",1052.2,305.39
"Barron, John M.",-1579.6,-5.6804
"Bartolini, Leonardo",-1245.3,759.49
"Baruch, Lev",-1730.6,-1484.7
"Basak, Suleyman",-651.36,1259.6
"Bates, David S.",1749.4,-481.68
"Baytas, Ahmet",30.605,-1750.3
"Beattie, Vivien A.",-961.27,1507.5
"Becchetti, Leonardo",1564.9,-481.04
"Beck, Thorsten",-955.38,678.61
"Becker, Connie",-55.627,-126.48
"Beetsma, Roel M.W.J.",1688.6,289.68
"Bekaert, Geert",-232.08,-257.75
"Belay, Halefom",-1496.6,-498.68
"Benartzi, Shlomo",1994.0,1650.0
"Bencivenga, Valerie R.",939.99,816.85
"Bennedsen, Morten",-615.4,-1563.3
"Bennett, Paul",-1352.3,-736.51
"Benveniste, Lawrence M.",1581.3,-1461.4
"Berentsen, Aleksander",-1728.0,511.0
"Bergen, Mark E.",924.99,-1241.6
"Berger, Allen N.",467.52,344.81
"Berger, Philip G.",303.54,95.103
"Berger, Tommy",-1089.4,495.01
"Berk, Jan Marc",-1192.6,1728.3
"Berk, Jonathan B.",1297.2,375.14
"Berkman, Henk",560.73,1558.5
"Berkovitch, Elazar",-1571.4,884.68
"Berlin, Mitchell",170.02,539.19
"Bernardo, Antonio E.",-504.07,611.0
"Bertola, Giuseppe",-1173.1,759.96
"Bertsimas, Dimitris J.",-158.07,-484.93
"Bessembinder, Hendrik",248.0,171.0
"Bessler, Wolfgang",1573.4,1796.3
"Bettis, J. Carr",616.53,935.68
"Betton, Sandra",-139.69,952.68
"Betts, Caroline M.",1692.4,-1076.7
"Bhattacharya, Utpal",-206.74,-650.45
"Bhattacharyya, Sugato",1023.4,486.06
"Biais, Bruno",1399.6,-1716.3
"Billett, Matthew T.",-158.6,-1637.7
"Birchler, Urs W.",1975.0,1922.0
"Bischoff, Charles W.",-1425.4,-509.32
"Bittlingmayer, George",1603.6,510.68
"Bizer, David S.",932.6,1700.7
"Blair, Bevan J.",216.47,1217.8
"Blass, Asher A.",-1683.6,1167.3
"Bliss, Richard T.",-875.4,1683.7
"Bloomfield, Robert J.",831.14,316.26
"Blum, Jürg M.",1186.0,1310.0
"Boehm, Thomas P.",912.73,-1365.5
"Boehmer, Ekkehart",-1756.0,647.0
"Bohn, Henning",-1856.0,1208.0
"Bollerslev, Tim",146.74,-1213.7
"Bomfim, Antúlio N.",-470.4,-1478.3
"Bonaccorsi di Patti, Emilia",-1083.6,-1467.7
"Bondarenko, Oleg",741.25,1351.0
"Bonime, Seth D.",501.17,281.4
"Boone, Peter D.",595.05,-1254.4
"Boot, Arnoud W. A.",-392.2,-990.66
"Booth, Laurence D.",4.1073,795.3
"Borjas, George J.",1687.4,62.32
"Borokhovich, Kenneth A.",1538.3,1445.6
"Bossaerts, Peter",697.35,1293.6
"Bossone, Biagio",936.0,1939.0
"Bostic, Raphael W.",547.6,1162.9
"Boudoukh, Jacob",265.96,950.23
"Bovenberg, Arij Lans",1617.4,300.32
"Boyd, John H.",1021.5,852.98
"Brandt, Michael W.",796.4,1626.3
"Brav, Alon",-995.01,-566.21
"Breach, Alasdair",631.61,-1205.0
"Brealey, Richard A.",-275.6,-1705.7
"Brennan, Michael J.",-707.4,765.68
"Brenner, Menachem",197.86,-30.855
"Brewer, Elijah",1234.9,-1052.8
"Bricker, Robert J.",1573.9,1508.0
"Brickley, James A.",556.34,1061.5
"Britten-Jones, Mark",472.69,-763.51
"Brockman, Paul D.",-1297.6,-1620.7
"Brooks, Chris S.",1116.9,1576.0
"Brown, David T.",-1833.0,-1223.0
"Brown, Gregory W.",1782.4,-396.68
"Bruce, Neil",1827.6,119.68
"Brumm, Harold J.",-1811.0,885.0
"Bruner, Robert F.",-981.0,-1869.0
"Brunner, Allan D.",-1234.0,1922.0
"Buffie, Edward F.",-1608.0,1922.0
"Bunch, David S.",177.6,1734.7
"Buraschi, Andrea",-564.4,1530.7
"Burch, Timothy R.",-1774.0,-390.0
"Burdekin, Richard C.K.",1727.4,-770.68
"Burkart, Mike",-1339.1,351.96
"Busaba, Walid Y.",1616.9,-1399.0
"Busse, Jeffrey A.",1976.0,-832.0
"Bättig, Robert J.",1138.3,-16.332
"Bühler, Wolfgang J.",1293.3,-271.0
"Cai, Hongbin",-504.45,690.28
"Cakici, Nusret",-40.605,-1739.7
"Calem, Paul S.",519.66,1221.2
"Calomiris, Charles W.",-1728.0,86.0
"Calvo, Guillermo A.",1699.0,1871.0
"Campbell, Cynthia J.",-995.62,-967.79
"Campbell, John Y.",-840.15,17.081
"Campbell, Rachel A.J.",1228.2,1219.0
"Canner, Glenn B.",493.94,1139.7
"Cantillo, Miguel",1951.6,1564.7
"Cantor, Richard",2023.0,1174.0
"Cao, Charles Q.",-168.26,278.05
"Cao, H. Henry",-703.19,690.74
"Caporale, Tony",1922.6,-237.32
"Caprio, Gerard Jr",303.55,-172.05
"Carey, Mark",-1087.6,69.596
"Carkovic, Maria",-1034.8,562.3
"Carling, Kenneth",-1298.1,487.96
"Carow, Kenneth A.",29.0,341.0
"Carpenter, Jennifer N.",-1010.8,-246.99
"Carpentieri, Andrea",1492.7,-481.51
"Carr, Peter P.",-400.82,283.2
"Carter, David A.",-898.6,-1722.7
"Carter, Mary Ellen",-873.6,1779.3
"Casamatta, Catherine",1328.4,-1705.7
"Cason, Timothy N.",351.0,1650.0
"Cavalcanti, Ricardo de O.",-872.4,1581.7
"Cetorelli, Nicola",596.4,1728.3
"Chacko, George C.",1078.1,-310.14
"Chakrabarti, Rajesh",1968.0,-1359.0
"Chakravarty, Sugato",-376.0,-1852.0
"Chalmers, John M.R.",-693.8,141.8
"Champ, Bruce",988.16,1043.0
"Chan, Kalok",-847.11,-538.33
"Chan, Louis Kuo Chi",-88.657,-1100.4
"Chan, Yue-Cheong",-1654.6,164.32
"Chance, Don M.",-514.65,-844.8
"Chang, Eric C.",-653.7,-84.045
"Chang, Fwuranq",1991.0,120.0
"Chapman, David A.",1392.3,221.55
"Charemza, Wojciech W.",-1162.4,1547.7
"Chaudhry, Mukesh K.",-449.65,-1172.0
"Chay, Jong Bom",0.97439,-983.38
"Chemmanur, Thomas J.",479.9,-59.389
"Chen, Carl R.",-1452.3,-872.51
"Chen, Hsuanchi",-222.89,66.674
"Chen, Joseph",-367.29,-373.25
"Chen, Sheng-Syan",417.05,-1135.4
"Chen, Zhiwu",-234.3,288.36
"Cheng, Joseph W.",-593.03,-55.763
"Chernov, Mikhail",-117.16,444.72
"Chevalier, Judith A.",1476.4,1728.3
"Chia, Ngee Choon",1680.6,-1682.3
"Chiang, Raymond C.",-882.89,-679.39
"Chidambaran, Nemmara K.",229.25,-829.79
"Chiesa, Gabriella",72.0,-1903.0
"Choe, Hyuk",-101.37,222.18
"Choi, Jongmoo Jay",-1238.7,-509.45
"Choi, Woon Gyu",-1832.0,1565.0
"Chordia, Tarun",705.59,-269.83
"Chow, Yingfoon",-66.266,-243.51
"Christie, William Gary",1089.6,333.91
"Christie-David, Rohan A.",-413.01,-1122.6
"Chu, Kamhon",-1877.0,-458.0
"Chun, Rodney M.",1996.0,358.0
"Chung, Dennis",-1226.4,-1631.3
"Chung, Kee H.",138.33,1326.6
