node,x,y
AARON LEBOVITZ,57.465,269.77
ABHAY SHAH,-260.01,4.391
ADAM NUNES,-82.715,231.48
AGOSTINO FUSCONI,-49.858,-350.96
"AJINKYA, BIPIN B.",184.85,-16.574
AKIHIRO KANAYA,4.8747,-261.19
AKIRA ARIYOSHI,34.914,-258.32
AKIRA IEDA,-151.79,-155.56
ALEX URBINA,61.808,-155.52
ALEXANDER CAPPELLO,-137.4,303.07
ALEXANDRE AGANINE,-205.19,-83.021
ALLAN BROWN,-178.74,-241.62
ALLAN CAMPBELL,147.95,122.97
AMAR MOITON,-564.22,-426.17
AMY CHAN,120.13,87.031
ANDRE STERN,64.047,301.44
ANDREAS GINTSCHEL,-191.85,200.14
ANDREI DRAGANESCU,-401.16,249.27
ANDREI KHINCHUK,-126.37,32.173
ANDREW HAUSER,111.89,-187.69
ANDY LUTZ,78.13,236.01
ANDY STURM,265.78,-64.761
ANDY WONG,148.41,14.449
ANITA KELLY,42.017,274.61
ANJI REDISH,309.33,-143.21
ANNA SANZ DE GALDEANO,217.45,-145.57
ANNE VALETTE,-217.0,-215.34
ANU ARRO,70.436,-151.7
ARCHISMAN CHAKRABORTY,-291.6,107.06
ARI WEINBERGER,-153.07,186.27
ART DENZAU,-238.55,222.81
ART GOLDSMITH,-22.659,-207.63
ASHOK VOHRA,-236.2,191.32
ASHRAF GHANI,378.59,77.983
AV SEKHAR,44.962,-161.38
"Abadie, Alberto",230.59,122.89
"Abadir, Karim Maher",-179.88,-90.222
"Abarbanell, Jeffery S.",40.31,262.67
"Abel, Andrew B.",126.46,69.253
"Aboody, David",20.933,220.67
"Abrams, Burton A.",77.932,-282.63
"Abreu, Dilip",92.886,106.15
"Abrevaya, Jason",210.37,72.149
"Acemoglu, Daron",70.502,-0.22136
"Acerbi, Carlo",-100.48,-209.64
"Acharya, Viral V.",-11.455,27.182
"Acito, Franklin",206.3,69.424
"Ackermann, Carl",127.26,163.9
"Ackert, Lucy F.",-159.08,256.74
"Adam, Tim R.",-15.673,65.423
"Adams, Renée Birgit",17.637,275.44
"Adams, Robert M.",-102.12,-199.63
"Admati, Anat R.",93.939,108.05
"Affleck-Graves, John F.",-183.96,-23.485
"Agarwal, Vikas",-86.287,118.87
"Aggarwal, Rajesh K.",-38.899,140.39
"Aggarwal, Reena",-47.438,141.58
"Aghion, Philippe",-241.34,61.845
"Aglietta, Michel",125.34,-77.082
"Agrawal, Anup",-107.18,201.48
"Agrawal, Deepak",-215.09,93.077
"Aguerrevere, Felipe L.",-4.0369,175.41
"Aguiar, Mark",259.76,-61.553
"Agénor, Pierre Richard",163.11,-283.42
"Ahmed, Anwer S.",-250.85,-28.545
"Ahn, Dong Hyun",-43.784,62.042
"Ahn, Seoungpil",-108.77,184.34
"Aizcorbe, Ana M.",-22.997,-144.92
"Akdoĝu, Evrim",-82.214,2.077
"Akhigbe, Aigbe O.",-159.44,-128.77
"Albuquerque, Rui",194.38,273.03
"Alderson, Michael J.",-89.509,343.79
"Alesina, Alberto F.",109.72,-9.5784
"Alexander, Carol O.",73.291,-116.78
"Alexander, Gordon J.",-118.61,61.763
"Alexandrou, George",-222.88,243.06
"Alford, Andrew W.",-58.617,341.47
"Ali, Ashiq",-27.599,313.23
"Ali, Mukhtar M.",-179.66,213.51
"Alizadeh, Sassan",-40.012,168.5
"Allayannis, George",7.7569,66.881
"Allen, Franklin",17.261,40.838
"Allen, Jeffrey W.",-207.1,93.974
"Allen, Linda",12.657,-53.206
"Almazan, Andres",9.6435,75.097
"Almeida, Heitor V.",-20.584,57.054
"Alphonse, Pascal",-183.0,325.49
"Alti, Aydoǧan",26.484,200.72
"Altig, David E.",146.52,-109.93
"Altinkiliç, Oya",-65.768,157.41
"Altissimo, Filippo",144.56,-56.569
"Altman, Edward I.",-27.272,-18.371
"Altshuler, Rosanne",65.266,219.7
"Altunbaş, Yener",-49.499,-354.05
"Amable, Bruno",129.57,-82.829
"Amato, Jeffery D.",256.01,-41.129
"Ambrose, Brent William",64.277,117.41
"Amel, Dean F.",-80.863,-177.2
