node,x,y
A BEN TAL,-695.21,-132.16
A LANGVARDT,195.99,89.203
"A. Sullivan, Michael A.",246.0,-93.494
ABBOTT KELLER,-95.536,78.086
ABE FRIEDMAN,47.593,197.2
ABEL ELIZALDE,-167.99,231.99
ABIMANYU YOOPI,-186.84,-281.17
ADAM LUBIN,-141.22,-211.91
ADAM ZARETSKY,-39.053,304.44
ADOLFO CORRALES,6.9996,240.55
AGUEDA MADOZ,-61.303,271.59
AHMAD FUAD RAHMANY,-172.69,185.64
AINO LEVONMAA,-258.1,-139.38
AKIKO FUJIMOTO,103.89,-83.56
AL KLEMKOVSKI,148.39,11.228
ALAN DOUGLAS HARRIS,194.54,64.066
ALAN SHAFFRAN,-246.51,-26.908
ALBERTO NICCOLI,90.5,249.24
ALEJANDRO DIAZ DE LEON,-241.37,-300.06
ALEJANDRO GIL ORTIZ,207.96,9.4441
ALEX REYFMAN,-262.0,18.9
ALEXANDRA WEST,131.79,34.468
ALEXANDRE BRUNEL,-318.44,8.3131
ALFRED MURATA,-153.01,-178.52
ALFREDO FERREIRA,-243.6,-911.68
ALICIA WILLIAMS,117.19,223.51
ALLAN MORTENSEN,-91.093,185.07
ALLEN MCDOWELL,-67.071,-188.38
ALLEN SEWARD,349.27,9.1243
ALPO KUPARINEN,-402.96,134.83
AMANDA CARMIGNANI,167.78,240.4
AMANDA MCCLAIN,153.21,-167.29
AMEDEO DE CESARI,-196.12,-63.139
AMR ADDAS,-39.993,-222.86
AMY CHENG,116.54,416.85
AMY PETRIELLO,-147.4,392.91
ANASTASIOS PLATANIOTIS,-39.352,261.94
ANDERSON SILVA,126.83,-30.567
ANDRE KURMAN,-330.93,15.908
ANDREAS SAVVA,174.08,-122.01
ANDREW CAFFREY,-194.82,-140.84
ANDREW DUBINSKY,107.57,94.709
ANDREW FRANKEL,79.138,4.0012
ANDREW GRACIE,-122.17,124.91
ANDREW GUSTAR,215.23,-151.98
ANDREW HARMSTONE,-432.51,694.5
ANDREW TUCH,150.96,137.39
ANDRIS NOBL,123.27,6.9315
ANDY WONG,62.507,109.7
ANIL KAYSHUP,-178.96,107.4
ANJO KOETER-KANT,-179.45,89.837
ANN BRADENTON,-53.294,-216.07
ANNA LUSARDI,198.47,-81.934
ANNA MEYENDORFF,255.47,143.42
ANNA RENDINA,-87.347,256.41
ANNE BAGUETTE,25.286,-487.4
ANTI RIPATTI,-253.07,188.55
ANTONELLO D AGOSTINO,-302.27,239.38
ANTONIO DIEZ DE LOS RIOS,-329.12,-24.135
AOFIE HANLEY,-343.75,111.15
APOORVA KOTICHA,-52.477,-193.72
AREEDAM CHANDA,201.27,102.71
ARI JACOBS,-80.635,-239.41
ARKADEB CHATTERJEE,47.658,-561.92
ART BUSHONVILLE,86.665,-140.37
ARTO THURLIN,177.66,173.94
ARUN NARAYANASAMY,-132.13,207.53
ARY NAIM,-38.29,177.97
ASHLEY POLLET,96.588,-175.95
"ASQUITH, PAUL",-62.205,110.87
AUGIO KONG,-76.516,154.31
AUGUSTA MARIA ALJOVIN,8.6027,215.29
AVI NACHMANY,139.28,-53.183
AXEL SPAMANN,182.01,92.701
AYESHA AFTAB,4.6791,166.21
"Aabo, Tom",-139.79,24.986
"Aaronson, Daniel",-360.43,80.011
"Aase, Knut Kristian",-433.53,-50.249
"Abad, Pilar",-341.86,46.46
"Abadie, Alberto",5.9824,74.49
"Abadir, Karim Maher",-121.58,-181.62
"Abarbanell, Jeffery S.",106.85,-232.69
"Abel, Andrew B.",-6.4942,-52.931
"Abhyankar, Abhay H.",-261.34,118.77
"Abou-Zied, Khaled",163.11,-297.51
"Abrahamson, Mark",-56.146,230.67
"Abramitzky, Ran",184.7,-2.5385
"Abrevaya, Jason",-154.36,-125.21
