node,x,y
"Argandoña, Antonio",87.641,-402.61
"Arikan, Asli M.",108.89,-72.2
"Arlen, Jennifer H.",41.297,198.9
"Arnold, Tom",106.53,-138.3
"Arnott, Richard J.",190.54,38.922
"Arnott, Robert D.",-107.46,181.85
"Arora, Navneet",42.92,215.15
"Arping, Stefan",95.567,-141.44
"Arslanalp, Serkan",-30.494,150.86
"Aruoba, S. Boraǧan",-328.71,-427.49
"Aruǧaslan, Onur",154.25,-149.92
"Ashcraft, Adam B.",-49.611,-147.95
"Ashenfelter, Orley C.",65.2,-192.82
"Asness, Clifford S.",-90.439,5.0477
"Asparouhova, Elena",164.53,133.91
"Asquith, Daniel",128.0,127.94
"Assarsson, Bengt",-410.24,-144.6
"Assoé, Kodjovi",213.8,-168.05
"Aste, Tomaso",-530.39,-555.99
"Atanasov, Vladimir",136.7,-17.368
"Atanasova, Christina V.",865.73,497.49
"Athanassakos, George",333.2,49.379
"Athey, Susan",176.36,-197.18
"Atiase, Rowland K.",-271.83,233.54
"Atkeson, Andrew G.",-252.23,18.118
"Attanasio, Orazio P.",-156.33,42.104
"Attari, Mukarram",-9.1164,-81.703
"Au, Andrea S.",115.07,-60.98
"Audrino, Francesco",-91.055,369.22
"Auerbach, Alan J.",38.479,130.72
"Auernheimer, Leonardo",-375.02,-326.27
"Austria, Myrna S.",202.65,-479.34
"Ausubel, Lawrence M.",-35.403,-227.06
"Avellaneda, Marco M.",96.368,202.87
"Avery, Robert B.",-74.913,-132.35
"Avramov, Doron",-35.645,60.248
"Axelson, Ulf",30.387,-25.798
"Ayadi, Mohamed A.",152.33,121.43
"Aydoǧdu, Murat",189.89,87.554
"Ayers, Benjamin C.",230.85,24.993
"Ayuso, Juan",-115.82,-212.82
"Ayyagari, Meghana",-82.613,162.41
"Azoulay, Pierre",209.05,-235.79
"Aït-Sahalia, Yacine",-84.984,100.83
B CHAN,-168.9,215.5
B HOUVARDAS,-120.63,356.42
"BAIMAN, STANLEY",-57.683,197.04
BARRY JOHNSTON,-140.77,-206.31
BASIL PETROU,-143.28,-304.59
BEN ROSS,205.89,-2.2067
BENNY GOODMAN,96.845,-145.41
BERT SCHOONBEEK,271.38,-664.24
BERTH SMOLUK,126.29,-344.18
"BHATTACHARYA, SUDIPTO",-111.73,-18.563
"BICKSLER, JAMES L.",178.93,-135.91
BILL ATKINSON,162.29,28.153
BILL HOOD,-185.2,-288.38
BILL HORACE,224.22,388.44
BILL JACKSON,63.999,-276.08
BIRGIT UHLENBROCK,19.422,-374.18
BJOERN CHRISTENSEN,-11.121,-263.99
BONNIE CLARK MOSKOWITZ,129.72,-83.53
BRANSON KWOK,71.244,197.97
BRIAN SLINGERLAND,53.24,191.03
BRITT TUNICK,190.65,64.3
"BROOKS, LEROY D.",73.343,333.96
BRUCE FOERSTER,112.18,87.339
BRUNO HUSSON,164.82,155.46
BUD GIBSON,130.63,115.04
"Bacchetta, Philippe",64.816,-215.94
"Bacidore, Jeffrey M.",113.77,-25.6
"Back, Kerry",-4.4963,76.927
"Backus, David K.",15.41,135.53
"Badrinath, Swaminathan G.",-402.4,-818.32
"Baek, Jaeseung",55.906,-127.67
"Baer, Herbert L.",-114.92,-136.75
"Baglioni, Angelo",-126.83,-241.16
"Bai, Jushan",-201.67,16.47
"Bailey, Warren",-0.67561,10.281
"Baird, Douglas G.",43.862,-127.81
"Baker, George P.",177.8,40.839
"Baker, Malcolm P.",11.83,1.9079
"Baks, Klaas P.",-37.131,203.53
"Bakshi, Gurdip S.",-16.201,48.321
"Balakrishnan, Narayanaswamy",934.4,842.32
"Balduzzi, Pierluigi",-23.631,130.39
"Bali, Turan G.",-92.291,-29.427
"Baliga, Sandeep",-25.994,-202.43
"Ball, Clifford A.",136.97,187.57
"Ball, Laurence M.",-226.59,-71.479
"Baltagi, Badi H.",-33.601,-290.67
"Bamber, Linda Smith",-286.24,217.13
"Banasik, John",-841.6,-587.68
"Bandi, Federico M.",-167.82,142.58
"Banerjee, Abhijit V.",-58.292,-96.106
"Banerjee, Priyodorshi",816.64,724.61
"Banerjee, Suman",182.82,-65.652
"Banerji, Sanjay",73.569,89.146
"Bange, Mary M.",118.62,88.923
"Bansal, Ravi",-53.737,49.896
"Baptista, Alexandre M.",-37.998,217.93
"Barajas, Adolfo",15.496,-276.95
"Barber, Brad M.",195.2,-76.019
"Barberis, Nicholas C.",-14.243,2.1838
"Barclay, Michael J.",59.417,51.96
"Bardenhewer, Martin M.",-215.51,219.47
"Bareket, Moshe",51.802,213.64
"Barigozzi, Francesca",-6.9473,-553.74
"Barkume, Anthony J.",169.0,185.55
"Barlevy, Gadi",-279.47,-81.62
"Barnea, Amir",163.65,-115.65
"Barnea, Emanuel",-251.16,-140.07
"Barnes, Colleen",-76.565,-251.72
"Barnett, William A.",-330.33,40.238
"Barnhill, Theodore M.",326.79,-105.17
"Barone-Adesi, Giovanni",-66.866,281.79
"Barr, David G.",-418.12,718.01
"Barrett, W. Brian",38.686,168.72
"Barrios, Víctor E.",40.489,-316.81
