node,x,y
AARON LEBOVITZ,-178.73,225.22
ABHAY SHAH,-329.37,62.74
AJ SENCHACK,-273.64,119.94
"AJINKYA, BIPIN B.",-279.81,-78.97
ALAN FRAGEN,-246.37,89.481
ALAN KIMCHE,392.19,163.94
ALBERT HERMALIN,-267.48,-149.55
ALEX HUMER,153.57,-96.738
ALEXANDRE AGANINE,-217.56,100.63
ALFONSO GUERRA,302.39,11.405
ALI MUTLU,259.26,-15.236
ALLAN CAMPBELL,-261.2,-84.398
ALLAN EVERHART,-310.84,69.147
AMY CHAN,71.202,172.26
ANASTASIOS ANASTASOPOULOS,738.12,606.95
ANDRAS LOEFFLER,104.74,226.42
ANDY STURM,149.82,-183.84
ANDY WONG,-172.08,-105.18
ANITA KELLY,-156.2,238.59
ANJI REDISH,202.55,-314.47
ANNE FROBERG,152.31,-136.84
ART SNOW,-182.09,368.11
ASHOK VOHRA,-308.52,129.91
ASHRAF GHANI,-426.2,-148.8
"Aadland, David M.",-175.46,-85.542
"Abarbanell, Jeffery S.",-81.01,257.97
"Abel, Andrew B.",52.618,127.58
"Aboody, David",-16.535,86.018
"Abreu, Dilip",-35.184,162.05
"Abrevaya, Jason",-26.119,-22.804
"Abu-Mostafa, Yaser S.",137.34,150.53
"Acemoglu, Daron",-116.05,-100.84
"Acerbi, Carlo",-129.93,-211.12
"Acharya, Viral V.",-17.2,40.748
"Ackermann, Carl",-132.3,234.43
"Ackert, Lucy F.",-329.3,114.6
"Adam, Tim R.",-99.346,1.7273
"Adams, Mike B.",645.63,89.674
"Adams, Robert M.",-116.06,-277.31
"Adler, Barry E.",125.3,-49.92
"Admati, Anat R.",14.313,28.793
"Affleck-Graves, John F.",-156.49,198.37
"Aggarwal, Rajesh K.",-109.5,-14.189
"Aggarwal, Reena",-155.39,14.561
"Aghion, Philippe",18.001,-30.669
"Agrawal, Anup",-166.42,-8.4072
"Ahmed, Anwer S.",-285.64,-69.313
"Ahmed, Parvez",-433.77,186.47
"Ahn, Dong Hyun",-48.558,78.042
"Ahn, HeeJoon",-38.55,242.25
"Ailawadi, Kusum L.",-259.66,110.31
"Aitken, Michael J.",-659.58,-385.02
"Akhavein, Jalal D.",-80.001,-165.21
"Akhigbe, Aigbe O.",1081.6,-512.78
"Al-Suhaibani, Mohammad I.",767.62,666.85
"Alam, Ila M Semenick",-50.458,-170.16
"Albuquerque, Rui",9.8248,222.83
"Alesina, Alberto F.",55.497,213.72
"Alexander, Gordon J.",-108.4,-74.378
"Alexandrou, George",-395.13,2.2279
"Alizadeh, Sassan",10.549,166.1
"Allayannis, George",-43.628,61.884
"Allen, Franklin",-48.726,67.971
"Allen, Jeffrey W.",-267.13,194.7
"Allen, Linda",-133.56,-91.516
"Allen, William A.",-172.64,-131.88
"Almazan, Andres",-111.21,-27.044
"Almeida, Heitor V.",108.33,179.95
"Altig, David E.",18.003,-333.97
"Altinkiliç, Oya",-180.59,21.382
"Altman, Edward I.",-65.864,-21.592
"Altunbaş, Yener",169.41,180.62
"Alvarez, Fernando E.",109.68,62.941
"Amable, Bruno",-208.3,-136.72
"Ambrose, Brent William",-213.53,-44.621
"Amemiya, Takeshi",-76.463,268.27
"Amihud, Yakov",-11.987,97.383
"Amin, Kaushik I.",112.11,107.42
"Amin, Magdi",-217.77,-35.198
"Ammer, John",170.78,112.24
"Anand, Bharat N.",-130.92,-84.537
"Anandarajan, Asokan A.",31.569,-272.94
"Andersen, Leif B.G.",117.8,139.59
"Andersen, Torben G.",-0.054358,114.16
"Anderson, Christopher W.",-351.38,-43.85
"Anderson, Gary A.",907.67,-787.75
"Anderson, Richard G.",-207.45,-106.93
"Anderson, Ronald C.",-327.13,151.64
"Anderson, Ronald W.",-119.4,-40.605
"Andrade, Gregor",-162.19,254.43
"Andreasen, Jesper",56.496,165.09
"Ang, Andrew",13.945,138.78
"Ang, James",-221.07,26.578
"Angel, James J.",-83.437,-9.9767
"Angelini, Paolo",138.19,-25.814
"Angeloni, Ignazio",-306.13,-194.67
"Annaert, Jan",198.32,126.72
"Anshuman, V. Ravi",-49.588,183.01
"Aoki, Masahiko",39.488,-112.39
"Appleyard, Melissa M.",-157.26,395.75
"Appleyard, Tony R.",-650.11,-690.43
"Arachi, Giampaolo",-206.87,-157.38
"Aragon, George O.",-520.54,84.796
"Aranson, Peter H.",200.52,-77.172
"Arnold, Tom",-236.65,239.8
"Arora, Ashish",-35.829,-140.95
"Arping, Stefan",272.29,256.35
"Arya, Anil",-331.08,193.64
"Arzac, Enrique R.",-122.04,302.27
"Asad, Talal",-434.78,-131.04
"Athanasoulis, Stefano G.",154.79,43.538
"Athey, Susan",181.26,84.294
"Attanasio, Orazio P.",218.93,114.39
"Ausubel, Lawrence M.",-264.38,-30.304
"Avard, Stephen L.",-276.09,295.96
"Avellaneda, Marco M.",65.703,163.59
"Avery, Robert B.",-70.064,-126.14
"Avkiran, Necmi Kemal",971.6,172.68
"Avouyi-Dovi, Sanvi",229.08,101.25
"Avramov, Doron",-16.16,144.71
"Axelson, Ulf",-29.69,146.57
"Aziz, Andrew R.",373.36,223.21
"Aït-Sahalia, Yacine",27.057,74.673
"BAIMAN, STANLEY",-343.5,164.14
BEATRICE RUBINI,-210.16,-118.19
BEN WAISBREN,49.067,28.275
BENGT LUCKE,-161.79,-263.78
BENJAMIN SAHEL,198.84,156.25
BERNARD COMPAIJEN,246.89,-270.6
BERNARD MIRAT,97.188,-32.319
BERNARDO PAASCHE,303.21,19.246
BERT SCHOONBEEK,49.972,-414.29
BERTRAND VILLENEUVE,107.93,-14.252
BHARATH KUMAR,-286.08,-226.86
BHARATHRAM THOTHADRI,-251.02,213.95
"BHATTACHARYA, SUDIPTO",-14.949,-58.218
BILL ATKINSON,-303.72,-12.556
BILL RUDNICK,14.726,249.91
BO HILER,-137.49,260.32
"BOEHMER, ROBERT G.",-384.19,210.6
BRIAN MCTIGUE,-57.406,305.33
"BROOKS, LEROY D.",-170.02,-385.29
BRUCE FOERSTER,-195.33,22.437
"Babbel, David F.",98.826,-14.708
"Bacchetta, Philippe",34.799,-271.59
"Bacidore, Jeffrey M.",-152.03,55.376
"Back, Kerry",-6.4282,123.19
"Backus, David K.",29.518,87.352
"Bacmann, Jean François",89.709,142.52
"Badrinath, Swaminathan G.",-132.46,146.56
"Bae, Sangkun",599.89,-286.97
"Baer, Herbert L.",-244.43,-122.83
"Bagella, Michele",64.46,-151.46
"Bagliano, Fabio Cesare",-47.373,-291.15
"Bagnoli, Mark",-222.27,-70.03
"Bagwell, Kyle W.",-62.41,313.82
"Bai, Jushan",67.646,209.1
"Bailey, Warren",-60.329,145.71
"Baillie, Richard T.",186.31,-30.182
"Baird, Douglas G.",-109.13,270.66
"Baker, Alan R.H.",-605.03,390.39
"Baker, George P.",67.457,-56.121
"Baker, Malcolm P.",-65.737,73.657
"Baks, Klaas P.",-40.038,89.929
"Bakshi, Gurdip S.",-22.197,88.031
"Balachandran, Bala V.",-127.54,80.173
"Balbás, Alejandro",937.76,-726.16
"Balduzzi, Pierluigi",16.205,114.91
"Baldwin, Carliss Y.",-247.04,54.274
"Balke, Nathan S.",297.81,-110.48
"Ball, Clifford A.",-62.536,148.81
"Ball, Laurence M.",141.85,-143.54
"Ball, Ray",-71.181,209.75
"Baltagi, Badi H.",-336.84,176.17
"Baltensperger, Ernst",241.91,271.47
"Balvers, Ronald J.",-17.93,289.9
"Bamber, E. Michael",-409.0,137.94
"Bamber, Linda Smith",-270.68,112.79
"Bamberg, Günter",62.263,318.95
"Bandi, Federico M.",85.611,83.012
"Bandyopadhyay, Taradas",-548.75,761.67
"Banerjee, Abhijit V.",48.67,-134.62
"Banerjee, Ajeyo",219.8,705.53
"Bangia, Anil",236.3,38.277
"Bansal, Ravi",41.095,131.42
"Baptista, Alexandre M.",75.554,242.25
"Bar-Hillel, Maya",-149.09,295.18
"Bar-Yosef, Sasson",-263.5,169.11
"Barber, Brad M.",-87.707,109.62
"Barberis, Nicholas C.",-25.674,58.457
"Barca, Fabrizio",-148.3,-101.63
"Barclay, Michael J.",-117.6,155.18
"Barlevy, Gadi",62.661,270.94
"Barnea, Amir",-189.18,266.19
"Barnett, William A.",56.264,-58.897
"Barnhill, Theodore M.",-119.36,372.88
"Barone-Adesi, Giovanni",117.2,192.81
"Barro, Robert T.",68.299,201.54
"Barron, John M.",317.25,-876.43
"Barros, Pedro Pita",-14.461,-507.22
"Barry, Christopher B.",-9.587,3.3362
"Barsky, Robert B.",193.2,-96.023
"Barth, James R.",-12.161,-136.12
"Barth, Mary E.",142.6,36.682
"Bartolini, Leonardo",102.42,-282.82
"Bartov, Eli L.I.",-300.33,244.36
"Baruch, Lev",15.021,17.885
"Baruch, Shmuel",-12.325,-98.307
"Barut, Yasar N.",-80.739,-230.12
"Basak, Gopal K.",-98.291,196.93
"Basak, Suleyman",26.746,30.137
"Basu, Sudipta",-170.47,232.29
"Basu, Susanto",187.79,-101.05
"Batchelor, Roy A.",-64.594,-509.16
"Bates, David S.",62.094,124.78
"Bateson, Richard D.",-285.51,-331.3
"Battalio, Robert H.",-196.93,96.786
"Bauer, Gregory H.",43.41,101.59
"Baums, Theodor",-273.25,-116.59
"Baxter, Marianne",33.873,246.72
"Bayless, Mark E.",-232.49,-161.5
"Bayoumi, Tamim A.",-84.151,-458.62
"Bean, Charles R.",303.46,134.83
"Beattie, Vivien A.",-676.45,-637.45
"Beatty, Randolph P.",15.003,215.87
"Beaudry, Paul",-67.926,-271.27
"Beaulieu, Joseph",157.51,-203.59
"Beaver, William H.",-17.408,193.38
"Bebchuk, Lucian A.",-45.422,-2.4377
"Becchetti, Leonardo",70.872,-146.5
"Becht, Marco",-204.83,-131.74
"Beck, Thorsten",-74.057,9.2983
"Becker, Gary S.",19.495,-323.31
"Beetsma, Roel M.W.J.",155.74,-787.54
"Beim, David O.",-31.999,-73.64
"Beja, Avraham",98.833,8.7987
"Bekaert, Geert",9.5819,86.874
"Benartzi, Shlomo",-29.812,137.52
"Bencivenga, Valerie R.",67.547,-49.358
"Bennedsen, Morten",-132.85,-30.959
"Bennett, James A.",-131.27,232.63
"Bennett, Paul",28.619,-234.0
"Benston, George J.",-166.46,36.243
"Benveniste, Lawrence M.",-98.749,5.0334
"Benzoni, Luca",57.873,84.93
"Berentsen, Aleksander",211.24,88.915
"Berg, Joyce E.",-241.7,251.72
"Berga, Dolors",277.9,-483.22
"Bergeijk, Peter A G Van",-150.54,-450.53
"Bergen, Mark E.",89.431,-59.491
"Berger, Allen N.",-61.096,-64.329
"Berger, Philip G.",-179.03,217.57
"Berglof, Erik",-88.683,-56.639
"Berglund, Tom",-174.27,-33.016
"Bergstresser, Daniel",-105.18,141.32
"Bergstrom, Theodore C.",-436.89,34.222
"Bergström, Clas",83.623,-32.569
"Berk, Jan Marc",-101.94,-376.06
"Berk, Jonathan B.",-79.77,123.4
"Berkovitch, Elazar",13.924,23.911
"Berkowitz, Jeremy",147.47,100.15
"Berlin, Mitchell",-111.16,-97.3
"Bernanke, Ben S.",55.895,-231.2
"Bernard, Andrew B.",-176.61,16.875
"Bernardo, Antonio E.",-55.279,136.41
"Bernhardt, Dan",-486.2,-51.468
"Bernheim, B. Douglas",-215.04,-190.67
"Berrada, Tony",-165.03,302.73
"Bertola, Giuseppe",67.152,-102.49
"Bertrand, Marianne",-83.999,191.48
"Bertsimas, Dimitris J.",-8.0442,186.52
"Bessembinder, Hendrik",-104.55,119.79
"Bessler, Wolfgang",-189.79,-123.76
"Bethel, Jennifer E.",-296.47,46.392
"Bettis, J. Carr",-123.1,103.58
"Betton, Sandra",-100.58,54.429
"Bewley, Ronald A.",206.01,362.71
"Bhagat, Sanjai",-300.04,144.3
"Bharath, Sreedhar T.",-30.683,-121.54
"Bhattacharya, Utpal",-151.31,126.33
"Bhattacharyya, Sugato",-92.271,-19.537
"Bhojraj, Sanjeev",-283.06,-73.688
"Biais, Bruno",-24.69,22.919
"Bichsel, Robert",-96.07,-251.03
"Bierman, Harold",-10.305,242.2
"Bierwag, Gerald O.",154.06,41.018
"Bigelli, Marco",-272.74,6.1493
"Billett, Matthew T.",-82.375,0.93108
"Billingsley, Randall S.",-209.36,315.55
"Binder, Michael",313.18,173.98
"Birchler, Urs W.",-13.261,-94.378
"Birinyi, Laszlo",-179.27,244.42
"Bisignano, Joseph",-44.591,-203.58
"Bisière, Christophe",-271.12,16.163
"Bittlingmayer, George",-163.77,219.64
"Bizjak, John M.",-233.85,83.681
"Bjønnes, Geir Høidal",-225.56,-143.5
"Black, Harold A.",-352.39,316.75
"Black, Sandra E.",-40.679,-169.61
"Blackwell, David W.",-150.09,158.08
"Blair, Bevan J.",31.839,182.61
"Blake, Christopher R.",-46.255,249.52
"Blanchard, Olivier Jean",65.597,16.954
"Blass, Asher A.",-215.21,-51.384
"Bliss, Richard T.",-299.54,1.6319
"Bliss, Robert R.",-51.13,-16.67
"Bloomfield, Robert J.",-46.381,190.08
"Blum, Jürg M.",-41.346,-131.1
"Blume, Marshall E.",-82.378,150.94
"Blumenthal, Tuvia",-306.99,-157.12
"Blundell, Richard W.",-132.15,-173.22
"Boatright, John R.",-454.79,-76.973
"Bodnar, Gordon M.",-116.09,59.438
"Bodurtha, James N.",70.566,1.0342
"Boebel, Richard B.",-347.1,149.96
"Boehm, Thomas P.",-312.3,221.57
"Boehme, Rodney D.",-39.16,-44.718
"Boehmer, Beatrice",-70.841,-207.13
"Boehmer, Ekkehart",-137.08,-58.048
"Boeschoten, Willem C.",45.793,-414.42
"Boldin, Michael",117.88,-201.17
"Bollen, Kenneth Alan",941.46,289.71
"Bollen, Nicolas P.B.",-212.87,86.395
"Bollerslev, Tim",9.9955,107.05
"Bolliger, Guido",-187.16,292.33
"Bollinger, Christopher R.",-348.9,18.106
"Bolster, Paul J.",-345.82,2.0189
"Bolton, Patrick",-36.39,-28.934
"Bonaccorsi di Patti, Emilia",-11.444,-135.28
"Bond, Philip",29.702,-107.15
"Bondarenko, Oleg",-277.91,-80.793
"Bonime, Seth D.",-88.393,-90.11
"Bonin, John P.",84.54,-123.81
"Bonnisseau, Jean Marc",201.02,131.04
"Boone, Peter D.",-64.709,-30.537
"Boot, Arnoud W. A.",-63.039,-28.856
"Booth, Geoffrey Geoffrey",-255.72,173.76
"Booth, James R.",-177.06,29.344
"Booth, Laurence D.",-23.465,337.22
"Bordo, Michael David",219.53,-329.62
"Borenstein, Severin",-177.01,-98.318
"Borensztein, Eduardo R.",243.7,-45.899
"Borio, Claudio",62.254,-213.21
"Borokhovich, Kenneth A.",-112.04,225.32
"Borrmann, Jörg",38.182,-62.836
"Bosch, Jean Claude",204.93,629.23
"Boschen, John F.",141.43,-117.75
"Bose, Subir",135.38,234.79
"Bossaerts, Peter",37.079,46.839
"Bossone, Biagio",-97.943,-91.704
"Boudoukh, Jacob",-14.186,109.62
"Bouwman, Christa H.S.",-58.195,-132.32
"Bovenberg, Arij Lans",87.618,-662.07
"Boyd, John H.",-63.785,-106.53
"Boyle, Phelim P.",116.74,99.927
"Brace, Alan",130.9,126.87
"Bradley, Michael D.",-155.03,113.89
"Brakman, Steven",11.587,-258.14
"Branch, Ben S.",-242.51,111.35
"Brander, James A.",16.164,-85.815
"Brandt, Michael W.",3.2778,124.24
"Branson, William H.",274.45,48.647
"Brau, James C.",-55.968,-59.86
"Braun, R. Anton",-178.67,456.59
"Brav, Alon",-79.369,93.904
"Breach, Alasdair",-68.766,-30.464
"Brealey, Richard A.",-99.023,-72.892
"Breeden, Douglas T.",77.038,232.0
